lookup_value,region,status
PE23 5HU,Lincolnshire,AUTO
Spilsby,Lincolnshire,AUTO
GU12 5PX,Surrey,AUTO
Ash Vale,Surrey,AUTO
WF11 0BZ,Yorkshire - West,AUTO
Knottingley,Yorkshire - West,AUTO
SN7 7LB,Oxfordshire,AUTO
Faringdon,Oxfordshire,AUTO
E10 6EJ,London,AUTO
Leyton,London,AUTO
WD3 6EW,Hertfordshire,AUTO
Chorleywood,Hertfordshire,AUTO
GL8 8AE,Gloucestershire,AUTO
Tetbury,Gloucestershire,AUTO
S33 6SD,Derbyshire,AUTO
Hope Valley,Derbyshire,AUTO
WA4 4GE,Cheshire - Warrington & Halton,AUTO
Daresbury,Cheshire - Warrington & Halton,AUTO
ME12 3AP,Kent,AUTO
Sheerness,Kent,AUTO
HX7 5QN,Yorkshire - West,AUTO
Hebden Bridge,Yorkshire - West,AUTO
OX18 3AD,Oxfordshire,AUTO
Carterton,Oxfordshire,AUTO
LS21 2HX,Yorkshire - North,AUTO
DE74 2SN,Leicestershire,AUTO
Castle Donington,Leicestershire,AUTO
NR26 8ND,Norfolk,AUTO
Sheringham,Norfolk,AUTO
NG34 9DL,Lincolnshire,AUTO
Ruskington,Lincolnshire,AUTO
GU47 0SD,Berkshire,AUTO
Sandhurst,Berkshire,AUTO
