run_date,source,source_job_id,canonical_url,title,employer,location,postcode,salary_text,posted_date,closing_date,employment_type,description_excerpt,first_discovery_route,first_discovery_query,first_discovery_page,discovery_routes,discovery_occurrences,detail_fetch_status,factual_fingerprint
2026-08-07,Teaching Vacancies,260514r1-director-of-finance-chief-financial-officer,https://teaching-vacancies.service.gov.uk/jobs/260514r1-director-of-finance-chief-financial-officer,[260514R1] Director of Finance & Chief Financial Officer,Reach South Academy Trust,"Plymouth, PL1 4RL",PL1 4RL,"£90,000.00 - £114,225.00 Annually (Actual)",2026-07-31,2026-08-25T23:59:00+01:00,['FULL_TIME'],"Post: [260514R1] Director of Finance & Chief Financial Officer Location: Fully Remote Salary: £90,000 to £114,225 per annum, depending on experience, skills and knowledge pending 3.3% pay award. Contract Type: Permanent, Full-time Contract Hours: 37.5 Hours per week, Monday to Friday For more information about the role, please view our Applicant Pack -Director of Finance Applicant Pack Please note: We are not accepting applications via recruitment agencies or search firms for this vacancy. About the Role We are seeking an exceptional, strategic and values-driven leader to join Reach South Academy Trust as Director of Finance and Chief Financial Officer. This is a pivotal Executive Leadership Team role at a defining stage in the Trust's development, combining system-wide financial leadership with executive accountability for governance, assurance and organisational sustainability. This is far more than a finance leadership position. As CFO, you will be a key architect of the Trust's future, working alongside the CEO, Trustees and Executive colleagues to shape strategy, drive sustainable growth and ensure that every decision supports our mission to improve outcomes for children and y",administration-category,"Administration, HR, data and finance",8,"[{""page"": 8, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 9, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",2,OK,91af3bcc92b0d7b2e7222ed891154f8422ef5d5153cbde0634ff913b0f3851fa
2026-08-07,Teaching Vacancies,260720a-office-manager,https://teaching-vacancies.service.gov.uk/jobs/260720a-office-manager,[260720A] Office Manager,SAIL (Salisbury Academy for Inspirational Learning),"Salisbury, South West, SP2 7EU",SP2 7EU,"£31,537.00 - £33,699.00 Annually (FTE) NJC Grade H pt 15 - 17",2026-07-15,2026-08-31T23:59:00+01:00,['FULL_TIME'],"Job Title: Office Manager Location: SAIL Academy, Salisbury, Wiltshire, SP2 9HS FTE Salary Range: £31,537 - £33,699 Actual Salary: £29,879 - £31,928 Job type: Full Time, Permanent - term time (including inset days) plus 3 weeks equating to 42 working weeks of the year Job overview We are looking for candidates who have excellent organisation and administrative skills and be able communicate effectively. To manage a busy school office including a team of administrators, working with financial and HR systems and processes, implementing and maintaining new office systems, taking minutes, handling correspondences and dealing with sensitive and confidential issues. Training will be available for key duties. The position would suit someone who is able to multi task and work accurately and efficiently under pressure in a fast-changing environment. Please see the attached job description for more information. Our school SAIL academy is an academy school (Reach South Academy Trust) for pupils aged 5-19 with SEMH, ASD, and complex needs, all with EHCPs. We take a therapeutic, relationship-based approach where behaviour is understood as communication. You will work in an immensely rewarding,",administration-category,"Administration, HR, data and finance",42,"[{""page"": 42, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""office"", ""route"": ""keyword:office""}]",2,OK,b173706373dcb1583f06b3e64bb8a03b1972034ab23c30b51992b29b5d836fa2
2026-08-07,Teaching Vacancies,260720b-administrator,https://teaching-vacancies.service.gov.uk/jobs/260720b-administrator,[260720B] Administrator,Hill View Primary Academy,"Bournemouth, South West, BH10 5BD",BH10 5BD,"£25,989.00 - £27,254.00 Annually (FTE) NJC Grade 4 Pt 6-9",2026-07-16,2026-08-23T23:59:00+01:00,['PART_TIME'],"Hill View Primary, Reach South Academy Trust is seeking to appoint an experienced Administrator to join the school 1st October 2026 Post: Administrator Location: Hill View Primary, Hill View Road, Bournemouth, BH10 5BD FTE Salary Range: NJC Grade 4 point 6 - point 9; £25,989 - £27,694 Actual Annual Salary: £18,752 - £19,665 Contract Type: Permanent Contract Hours: 32.5 hours per week, Monday to Friday, 9.00am - 4.30pm About the role We are seeking to appoint an excellent administrator to support the Office Manager in the management and delivery of all office and administrative services for Hill View Primary. About the successful candidate This is a great opportunity for a self-motivated, self-sufficient, dynamic ability to work well in a team and to use their own initiative and well organised with a can do attitude to be part of a fast-growing team. We are looking for people who have the following experience and qualities: GCSE mathematics and English - grade C and above or equivalent NVQ level 3 in administration or equivalent Good Knowledge of general computer packages, office equipment, Microsoft office, photocopiers, telephone systems etc Good keyboard and typing skills for the",administration-category,"Administration, HR, data and finance",39,"[{""page"": 39, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 9, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",2,OK,f72bf258a0002b822edcfbc421fe30725fec6747668fab2028bee7c89f6d8325
2026-08-07,Teaching Vacancies,academy-administrator-chepping-view-primary-academy,https://teaching-vacancies.service.gov.uk/jobs/academy-administrator-chepping-view-primary-academy,Academy Administrator,Chepping View Primary Academy,"High Wycombe, South East, HP12 4PR",HP12 4PR,"£15,197.00 - £16,683.00 Annually (Actual) Bucks Pay Range 2-3 (dependent on experience). Salary is pro rata to hours and weeks worked. Actual estimated gross salary £15,197-£16,683 pro rata",2026-07-14,2026-08-28T23:59:00+01:00,['PART_TIME'],"Academy Administrator Job title: Academy Administrator Salary: Bucks Pay Range 2-3 (dependent on experience). Salary is pro rata to hours and weeks worked. Actual estimated gross salary £15,197-£16,683 pro rata Hours: 25 hours per week -Monday -Friday 8:00am-1:00pm Weeks 39 weeks per annum this includes INSET days as set by the Trust. Closing date: Friday 28th August 2026 - Midday Provisional Start date: October /November subject to satisfactory completion of all pre-employment checks Beneﬁts: Trustee Day (one well-being paid day oﬀ per year), Wrap Around Child Care available to staﬀ. Interviews: Week commencing 4th September 2026 Early applications are encouraged, we reserve the right to interview strong applicants before the closing date of this advert. Job Description: This Job Description is indicative of the role for the current status of the Trust, the role may vary as the Trust develops and grows. Job Purpose: To provide administrative support to the Principal to support in the efficient and effective operational functioning of the academy. Main Duties : The post-holder will be expected to carry out the following- please also refer to the attached recruitment pack for a full",administration-category,"Administration, HR, data and finance",43,"[{""page"": 43, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 11, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",2,OK,f7e66b255404cd81fe7ac61d43817525cae45c48cab4c64443a0fb381e4110ff
2026-08-07,Teaching Vacancies,academy-administrator-crowan-primary-school,https://teaching-vacancies.service.gov.uk/jobs/academy-administrator-crowan-primary-school,Academy Administrator,Crowan Primary School,"Camborne, South West, TR14 0LG",TR14 0LG,,2026-07-31,2026-08-31T23:59:00+01:00,['PART_TIME'],"We are seeking an Administrator who will be required to work 14 hours per week, on a permanent basis, term time plus 2 INSET days. The hours of work will be 08:30am to 12:00pm, Monday to Thursday. The successful candidate will have proficient organisation skills, competent IT knowledge in a range of applications and software systems. An excellent range of communication skills is also essential for this position. The interview date will be during the week commencing 7th September 2026",keyword:administrator,administrator,2,"[{""page"": 2, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",1,OK,08801c1f4e7544294776d85e04376057ea9306912e21f4a91d957c63cd382191
2026-08-07,Teaching Vacancies,academy-administrator-cubert-primary-school,https://teaching-vacancies.service.gov.uk/jobs/academy-administrator-cubert-primary-school,Academy Administrator,Cubert Primary School,"Newquay, South West, TR8 5HE",TR8 5HE,,2026-07-31,2026-09-06T23:59:00+01:00,['PART_TIME'],"We are seeking an organised and efficient Administrator to support the smooth day to day running of our school. This is a permanent position for 32.5 hours per week, term time plus 2 INSET days. The hours of work are 08:30am - 03:30pm, Monday to Friday. The proposed interview date is 11th September2026",administration-category,"Administration, HR, data and finance",9,"[{""page"": 9, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 2, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",2,OK,cb2a7751402e908aea6faa7bf1120e4c881a53d68c7cb860ec582d2db2c8cb85
2026-08-07,Teaching Vacancies,academy-administrator-havelock-academy,https://teaching-vacancies.service.gov.uk/jobs/academy-administrator-havelock-academy,Academy Administrator,Havelock Academy,"Grimsby, Yorkshire and the Humber, DN32 8JH",DN32 8JH,"£24,796.00 - £24,796.00 Annually (FTE) NJC3 : 7.30am-3.30pm Mon-Th : 7.30am-3.00pm Fri - Term Time",2026-07-15,2026-08-15T23:59:00+01:00,['FULL_TIME'],"We are now recruiting for an Academy Administrator, to be based at Havelock Academy. About the role This is a key role within the Academy to work alongside the Senior Administrator and/ or the Academy Operations Manager (AOM) to provide competent clerical, administrative and secretarial support to the senior leadership team (SLT) and wider team. The post holder will be primarily responsible for orchestrating the daily staff cover rota to ensure all classes are supervised during planned and unplanned teacher absence, communicating with the principal, SLT, parents/ carers, DRET Head Office team and third party suppliers and contractors. Provide administrative support to the Academy team, dealing with confidential and sensitive issues in a timely, professional and competent manner. Support the Principal and support the wider staff team as appropriate Support the Principal and SLT with coordinating events including, but not limited to, Opening Evenings, Parents Evenings and Music Concerts. Undertake general administration duties including photocopying, scanning and filing and front of house reception presence. Support with the coordination of often confidential meetings as agreed with",administration-category,"Administration, HR, data and finance",42,"[{""page"": 42, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 11, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",2,OK,b075c6ce9b741c3a8cbb92cd3d5bdf1ee09bccb5d8dd36e9d47d4f897f1b7605
2026-08-07,Teaching Vacancies,academy-administrator-the-eresby-school-spilsby,https://teaching-vacancies.service.gov.uk/jobs/academy-administrator-the-eresby-school-spilsby,Academy Administrator,"The Eresby School, Spilsby","Spilsby, East Midlands, PE23 5HU",PE23 5HU,"£25,185.00 - £25,815.00 Annually (FTE) NJC04 : £25185pa FTE (£22,121pa pro rata) - pay review pending",2026-07-21,2026-08-10T23:59:00+01:00,['FULL_TIME'],"This is a key role within the Academy to work alongside the Senior Administrator to provide competent clerical, administrative and secretarial support to the senior leadership team (SLT) and wider team. To provide administrative support to the Academy team, dealing with confidential and sensitive issues in a timely, professional and competent manner. To support the Principal and SLT with coordinating events including, but not limited to, Opening Evenings, Parents Evenings and Music Concerts. To provide a ‘keyboard resource’ including: typing letters, building and maintaining records and preparing files to support the staff team to meet internal and external deadlines as required. Undertake general administration duties including photocopying, scanning and filing and front of house reception presence. Support with the coordination of often confidential meetings as agreed with the Principal and SLT. Communicate with Parents and Carers verbally and via written letters, e-mails and ‘Bromcom’ messages. Liaise with the Principal, SLT, Staff, and Head Office teams to communicate and bring matters to resolution. Further details can be found in the Job Description/Person Specification. 37 h",administration-category,"Administration, HR, data and finance",26,"[{""page"": 26, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 28, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 7, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",3,OK,5e20c34f86de18c0a93ca4a46921bc342a01c0aa8b801f2ab181dbf6cb0ed5c4
2026-08-07,Teaching Vacancies,academy-administrator-tregolls-academy,https://teaching-vacancies.service.gov.uk/jobs/academy-administrator-tregolls-academy,Academy Administrator,Tregolls Academy,"Truro, South West, TR1 1LH",TR1 1LH,,2026-07-31,2026-08-11T23:59:00+01:00,['PART_TIME'],"We require an Administrator to provide first-class administrative support. The successful applicant will be required to work 19.5 hours per week, with the hours worked across three days. This position is term-time only, plus two INSET days, on a permanent contract.",administration-category,"Administration, HR, data and finance",8,"[{""page"": 8, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",1,OK,bd6f61cfacbb9c4b4ddbaf01bdc0f1c5ff5b36f009babc6fceaffb4b91cc2445
2026-08-07,Teaching Vacancies,academy-receptionist-administrator-the-queen-elizabeth-academy,https://teaching-vacancies.service.gov.uk/jobs/academy-receptionist-administrator-the-queen-elizabeth-academy,Academy Receptionist / Administrator,The Queen Elizabeth Academy,"Atherstone, West Midlands, CV9 1LZ",CV9 1LZ,"£21,545.00 - £22,004.00 Annually (Actual) FTE Salary: £24,795 - £25,583 per annum",2026-07-21,2026-08-12T09:00:00+01:00,['FULL_TIME'],"Contract Type: Permanent Hours : 37 hours per week, 39 weeks per year (term time only) Salary: NJC 3 - 5 Actual Salary: £21,545 - £22,004 per annum / FTE Salary: £24,795 - £25,583 per annum Expires: Wednesday 12th August 2026 at 9am or sooner should we receive sufficient applications Start Date: As soon as possible Interviews: Wednesday 19th August 2026 Are you looking for a fantastic new opportunity? The Queen Elizabeth Academy is looking for an Academy Receptionist/Administrator, who will strive to share their passion for education with our students and join our dedicated team to uphold the Academy’s vision and values. About you:- We are looking for a positive and committed individual who has excellent organisational and interpersonal skills, has a pro-active approach and the ability to work independently, as well as the ability to relate well to visitors, staff and students. This is a fantastic opportunity to develop your skills within a friendly team. The successful candidate will be enthusiastic and well organised and will undertake duties including welcoming visitors to the academy, sorting the daily post and undertake general administration duties. Previous experience of wor",administration-category,"Administration, HR, data and finance",25,"[{""page"": 25, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 26, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 7, ""query"": ""administrator"", ""route"": ""keyword:administrator""}, {""page"": 3, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",4,OK,5bb077724acf9c51eea5f5ae0d2ef09bf5bc68a061beec7f3ab99a7b901d90f6
