decision,region,title,town,salary_text,manual_override,manual_select,job_id
POSS - HAMPSHIRE,Hampshire,Administrator / SEN Administrator (SEND Support),Southampton,£24000 per year,,,107546331
POSS - HAMPSHIRE,Hampshire,German Speaking Administrator,Fareham,£28000 - £31000 per year,,,cae50eca-4516-4796-b1ed-5bc6de72a34a
POSS - HAMPSHIRE,Hampshire,Senior Windows Server Administrator,Southampton,£50000 - £70000 per year,,,edfb6bfb-1af8-4aa8-bf4e-faad98367d1e
POSS - HAMPSHIRE,Hampshire,Italian speaking Administrator,Fareham,£28000 - £31000 per year,,,bc4834aa-75a5-4e16-9fe2-24c4e3e865e1
POSS - HAMPSHIRE,Hampshire,Accounts Administrator,Southampton,£15 per hour,,,43fee591-7b5c-4468-ad51-16ca088a4e5b
POSS - HAMPSHIRE,Hampshire,Assistant Philanthropy & Partnerships Officer (Fundraising),Southampton,£26000 per year,,,107574787
POSS - HAMPSHIRE,Hampshire,Optometrist,Fleet,£70000 per year,,,fbf9feca-d2f6-4a37-9a70-7b0b13873ac4
POSS - HAMPSHIRE,Hampshire,Private Client Legal Secretary,Basingstoke,£27000 - £32000 per year,,,d7dcf25d-7573-4e5b-8b99-3d47a36efeeb
POSS - HAMPSHIRE,Hampshire,Sales Administrator,Winchester,£30000 - £33000 per year,,,d54fc5b5-0ff3-4926-9190-c12703e95a9a
POSS - HAMPSHIRE,Hampshire,Legal Secretary Criminal Law,Ringwood,£25000 - £27000 per year,,,acf09187-da02-4060-83ce-ca2b0a8179ef
POSS - HAMPSHIRE,Hampshire,Associate Architect or Technologist,Winchester,,,,107664202
POSS - LONDON,London,Logisitics Administrator,Loughton,£30000 - £35000 per year,,,494d9e2f-3e44-4bcc-a85f-e92a085a5e77
POSS - LONDON,London,Credit Administrator,Harrow,£29000 per year,,,33eab37d-af87-4704-9471-df90f5cef85c
POSS - LONDON,London,Optical Assistant job in Bexleyheath,Bexleyheath,£28k per year,,,1402261326
POSS - LONDON,London,Advocate,Barnet,"£34000 - £38000 per year ((pro rata to, £20,400 - £22,800))",,,328136
POSS - LONDON,London,Payroll Administrator / Payroll Officer,City Of Westminster,£34100 - £35055 per year (+ Benefits),,,1164743 [JSP51552]
POSS - LONDON,London,Audiology Partner,Harrow,,,,d8c795e5-bc77-49e4-9f80-73cf2a98d8d0
POSS - LONDON,London,School Administrator,Romford,,,,881b6f20-32fe-4d0c-be91-bcc368aed973
POSS - LONDON,London,Multi Department Legal Secretary,Orpington,,,,aaffe5af-5f41-4661-9b0e-735bc5e97e88
POSS - LONDON,London,Welfare and Income Assistant,Croydon,,,,107609157
POSS - LONDON,London,Locum Optometrist,Sutton,£275 - £325 per daily,,,9b6ce91d-395b-4b98-83c3-e1810195954b
POSS - LONDON,London,Retail Optical Assistant,Barnet,Competitive,,,1402262185
POSS - SURREY,Surrey,Housing & Support Officer,Farnham,£28000 per year,,,107631782
POSS - SURREY,Surrey,Clinical Team Leader (RMN/RNLD),Woking,£25.7 per hour,,,fe767858-0f4e-4e78-ad0a-affa8aa23ef3
POSS - SURREY,Surrey,HR Administrator,Redhill,£14 - £15 per hour,,,d3b55772-fb7f-43b0-9267-343d4efd0ab2
POSS - SURREY,Surrey,Dental Receptionist,Esher,£16 per hour,,,a6a06e9f-fb06-462d-ac7e-b7fe41873cb7
POSS - SURREY,Surrey,Administration Assistant - Sustainability,Weybridge,,,,107671201
