decision,target_slice,region_cluster,geo_lookup_source,title,town_location,area,advertiser,salary_text,job_id,apply_url,reason_classification,title_classification
REVIEW_CANDIDATE,Sussex,Sussex,area,Residential Childcare Support Worker (Casual),Sussex,Horsham,Apple Orchard,13.05 | 13.05 | Hourly,107515151,https://www.jobg8.com/Traffic.aspx?vAYWCB8ag%2fj7PwCHca%2fJ%2fy7YVPXMa5zCi,support high-confidence title,HIGH_CONFIDENCE
REVIEW_CANDIDATE,Hampshire,Hampshire,area,Specialist Care Support Worker,Hampshire,Winchester,SCA Care,13.0 | 14.75 | Hourly | + Paid training and Birthday Day Off,107494562,https://www.jobg8.com/Traffic.aspx?31Q%2fsvDzOVbCwZ8SGb%2bZJxqOWB1BBYsbj,support high-confidence title,HIGH_CONFIDENCE
REVIEW_CANDIDATE,Lancashire - North,Lancashire - North,area,Residential Childcare Support Worker (Sessional/Casual),Lancashire,Morecambe,Bay View Childcare,12.79 | 12.79 | Hourly,107515190,https://www.jobg8.com/Traffic.aspx?nbYVUHO1tX73Vkfe9lSPWlpbAi6O2qmAz,support high-confidence title,HIGH_CONFIDENCE
REVIEW_CANDIDATE,Hampshire,Hampshire,area,Healthcare Support Worker,Hampshire,Emsworth,Bluestar Care & Support Ltd,13.0 | 14.5 | Hourly,107513788,https://www.jobg8.com/Traffic.aspx?nbYVUHO1tX6Nwkt2djGIaNkqxKlux8aKz,support high-confidence title,HIGH_CONFIDENCE
REVIEW_CANDIDATE,Hampshire,Hampshire,area,Childrens Residential Support Worker,Hampshire,Aldershot,SCR Recruitment Services,12.75 | 12.75 | Hourly,107318709,https://www.jobg8.com/Traffic.aspx?aziU08XVyRGosA8i63smtPIxSdKZp7O5d,support high-confidence title,HIGH_CONFIDENCE
REVIEW_CANDIDATE,Cumbria - South,Cumbria - South,area,Complex Care Assistant,Cumbria,Dalton-in-furness,Routes Healthcare (North),16.5 | 16.5 | Hourly | (including holiday pay),107453554,https://www.jobg8.com/Traffic.aspx?UzhMt9n%2bTsS80M9tfbcSdBMWxCu%2b67fYm,support high-confidence title,HIGH_CONFIDENCE
REVIEW_CANDIDATE,Sussex,Sussex,area,Supported Living Worker,Sussex,Hailsham,Nocturnal Recruitment Solutions Ltd,13.0 | 14.0 | Hourly,107605465,https://www.jobg8.com/Traffic.aspx?G%2b5YiGNoEgqu9mlndUTSEsSO0bUAZ9izn,support high-confidence title,HIGH_CONFIDENCE
REVIEW_CANDIDATE,Lancashire - North,Lancashire - North,area,Complex Care Assistant,Lancashire,Morecambe,Routes Healthcare (North),16.53 | 16.53 | Hourly | (including holiday pay),107464373,https://www.jobg8.com/Traffic.aspx?6WDmO0cNttoU5%2fa%2f26xFTQaXlipmwo7ra,support high-confidence title,HIGH_CONFIDENCE
REVIEW_CANDIDATE,Lancashire - North,Lancashire - North,area,Complex Care Assistant,Lancashire,Lancaster,Routes Healthcare (North),16.53 | 16.53 | Hourly | (including holiday pay),107464388,https://www.jobg8.com/Traffic.aspx?1tcg6Aj2zaykNi2%2bSblnUe7FR2JyrWBjb,support high-confidence title,HIGH_CONFIDENCE
REVIEW_CANDIDATE,Cumbria - South,Cumbria - South,area,Complex Care Assistant,Cumbria,Barrow-in-furness,Routes Healthcare (North),16.5 | 16.5 | Hourly | (including holiday pay),107450160,https://www.jobg8.com/Traffic.aspx?1tcg6Aj2zawd2EzwF%2fFWyQ%2bLKAgc0hMMb,support high-confidence title,HIGH_CONFIDENCE
