decision,region,title,town,salary_text,manual_override,manual_select,job_id
SELECTED,London,IT Administrator - Japanese speaking,London,£40000 per year,,,d8f7eb2b-27a9-444b-9308-88e5b79e4450
SELECTED,London,NetSuite Administrator Hyper-Growth Retail,London,£60000 - £80000 per year,,,5292868c-8ca9-4001-9c66-343a70ec9606
SELECTED,London,Finance Administrator INNOVATIVE FIRM,London,£27000 - £30000 per year,,,7a0c9b11-2e40-4e96-b556-bffc8b642da8
SELECTED,London,Treasury Settlement Administrator,London,,,,6c733630-2b4f-4b6a-bfa8-41aecaa829c9
SELECTED,London,Finance Administrator (Part-Time),City,£30000 per year,,,1d6e4c9b-bcef-4e95-becf-fff7b09ade46
SELECTED,London,Logisitics Administrator,Loughton,£30000 - £35000 per year,,,494d9e2f-3e44-4bcc-a85f-e92a085a5e77
SELECTED,London,Employability Administrator,Morden,£29470 - £32156 per year,,,c70bad86-3329-4410-9255-007ae5e341cf
SELECTED,London,Accounts Administrator,Orpington,£14 - £16 per hour,,,4c6a069d-6bb2-488e-ab37-f5a62c7c2966
SELECTED,London,Payments Administrator,London,£35000 - £40000 per year,,,e589857a-2537-4bf9-9962-905a8a530b61
SELECTED,London,Logistics Administrator,Croydon,£28000 - £30000 per year,,,5d9fb5dd-9dfb-459d-9e5c-26e1da48ab22
SELECTED,London,Purchasing and Shipping Administrator,London,£32000 per year,,,81e1c860-ef3d-4e7e-81ca-dec75acfc8de
SELECTED,London,Credit Administrator,Harrow,£29000 per year,,,33eab37d-af87-4704-9471-df90f5cef85c
SELECTED,London,Mandarin Treasury Settlement Administrator,London,,,,42f2808f-43ea-45ed-b1cf-4b387896856a
SELECTED,London,Graduate - Quality & Compliance Administrator,London,£26000 per year,,,107609680
SELECTED,London,Payroll & Data Coordinator,London,£35000 per year,,,107609016
SELECTED,London,Payroll Administrator / Payroll Officer,City Of Westminster,£34100 - £35055 per year (+ Benefits),,,1164743 [JSP51552]
SELECTED,London,Administrator,London,£28000 - £30000 per year,,,fea38d29-e674-44cf-a4ad-58b740083e94
SELECTED,London,Research Grants Administrator,City,£21.42 per hour,,,107461563
SELECTED,London,Legal Secretary,London,£40000 - £43000 per year,,,faad204b-1073-443d-a1fe-2fe55a11a635
SELECTED,London,Legal Secretary / Legal Administrator (Private Client),London,£35000 per year,,,f5e8e30b-1418-4972-8b69-89a8d0be61d4
SELECTED,London,Talent Administrator,London,£35000 - £40000 per year,,,e0be1e2c-2f53-4f53-bab6-251d67488b8a
SELECTED,London,People & Culture Administrator,London,£27500 - £29187 per year,,,de18dc84-cb43-4743-99f6-a3d16e406cc7
SELECTED,London,Commercial Property Legal Secretary,London,,,,c5d96f98-5957-49dd-a820-1562582caf76
SELECTED,London,Company Secretary,London,£100000 per year,,,c5d8f5f4-b759-46de-91b1-258001fb3746
SELECTED,London,IT Administrator,Croydon,£32000 - £37000 per year,,,a39777bf-ea97-4765-aa67-7bc5816b084d
SELECTED,London,Evening Legal Secretary,London,£50000 - £65000 per year,,,c05fb70f-0622-4751-93ea-9141e25de21c
SELECTED,London,HR Administrator,London,£30000 - £34000 per year,,,b1cd6534-0cc7-47a9-92b2-2c663e7451be
SELECTED,London,Patient Coordinator,London,£28000 - £35000 per year,,,ae8f6386-56f4-4fe2-b1dd-c734c98e586a
SELECTED,London,Academic Administrator,London,£35000 - £40000 per year,,,3863154f-7ddf-4d93-b79d-3f6e577a407f
SELECTED,London,Multi Department Legal Secretary,Orpington,"£1,300 per year",,,aaffe5af-5f41-4661-9b0e-735bc5e97e88
SELECTED,London,Insolvency Administrator,London,,,,aa5f426d-7db3-449f-a970-bbe6d8dff752
SELECTED,London,Internal Communications & Executive Coordinator,London,,,,107663038
SELECTED,London,Company Secretary Assistant,London,,,,a28c6112-4b4f-46b0-91e7-cfaa547c936e
SELECTED,London,Receptionist and Administrator,London,£29436 - £29856 per year,,,2a81eb8b-f97e-4a40-a549-7b8a5d9978d3
SELECTED,London,Office Administrator,City,£50 per month,,,24879_101888085
SELECTED,London,Extra Care Support Coordinator,Harrow,£15.36 per hour,,,107652249
SELECTED,London,Senior Administrator,London,£24.31 per hour,,,f1ecf607-8ba3-47e0-b8f9-14a41725eed8
SELECTED,London,Sales Admin Coordinator,London,"£35,000 per year",,,107604881
SELECTED,London,CRM Data Administrator,London,,,,107657111
SELECTED,London,Assistant Design & Technical Coordinator,London,"£39,685 - £43,978 per annum",,,107649502
