section,report_month,run_date,total_jobs_month_to_date,total_support_worker_jobs,total_admin_service_jobs,overall_status,headline_recommendation,main_red_flags,region,slice_family,month_to_date_count,today_count,status,recommendation,red_flags,warning_type,severity,finding,source_file,source_column,source_filter_used,validation_note
EXECUTIVE_SUMMARY,2026-06,2026-06-03,2968,189,219,INVESTIGATE,Admin-service slices look usable; support-worker remains thin,2807 of 2968 jobs map to Other / Unknown.; 241 of 2968 jobs use generic Yorkshire as the raw location.; Mars accounts for 835 title/company appearances across 2968 jobs.,,,,,,,,,,,output-feed-profiler/daily/2026-06-daily-summary.csv; output-feed-profiler/monthly/2026-06-family-trends.csv; output-feed-profiler/regional/2026-06-family-region-breakdown.csv; output-feed-profiler/regional/2026-06-regional-location-audit.csv; output-feed-profiler/title-analysis/2026-06-title-breadth.csv,"daily-summary.total_jobs; family-trends.total_jobs; family-trends regional columns; family-region-breakdown.total_count; regional-location-audit total_count/top_families; title-breadth top_companies,total_count","month == 2026-06; support-worker families: support_worker; service-admin families: service_administrator, administrator_general",daily-summary contains unknown_date only; run_date uses current run date; support_worker: matched family-trends row; service_administrator: matched family-trends row; administrator_general: matched family-trends row; executive totals read from existing profiler reports and cross-checked against profiler input rows
SLICE_DECISIONS,2026-06,2026-06-03,,,,,,,West Yorkshire,support-worker,0,,HOLD,Hold support-worker slice unless manually topped up.,too few jobs for a credible slice: 0 MTD,,,,output-feed-profiler/regional/2026-06-family-region-breakdown.csv; output-feed-profiler/monthly/2026-06-family-trends.csv; output-feed-profiler/monthly/2026-06-slice-viability.csv,family-region-breakdown.total_count; family-trends.west_yorkshire; slice-viability.viability; profiler input date/region/job_family for today_count,region == West Yorkshire; likely_family/job_family in support_worker,no matching family-region rows because the validated slice count is zero; validated against profiler input rows and monthly family-trends region column; today_count unavailable because source export dates are unknown_date; slice-viability report has no dated slice rows for this month; support_worker: matched family-trends row
SLICE_DECISIONS,2026-06,2026-06-03,,,,,,,South Yorkshire,support-worker,0,,HOLD,Hold support-worker slice unless manually topped up.,too few jobs for a credible slice: 0 MTD,,,,output-feed-profiler/regional/2026-06-family-region-breakdown.csv; output-feed-profiler/monthly/2026-06-family-trends.csv; output-feed-profiler/monthly/2026-06-slice-viability.csv,family-region-breakdown.total_count; family-trends.south_yorkshire; slice-viability.viability; profiler input date/region/job_family for today_count,region == South Yorkshire; likely_family/job_family in support_worker,no matching family-region rows because the validated slice count is zero; validated against profiler input rows and monthly family-trends region column; today_count unavailable because source export dates are unknown_date; slice-viability report has no dated slice rows for this month; support_worker: matched family-trends row
SLICE_DECISIONS,2026-06,2026-06-03,,,,,,,West Yorkshire,service-admin,9,,OK,Usable service-admin slice; keep an eye on depth.,none,,,,output-feed-profiler/regional/2026-06-family-region-breakdown.csv; output-feed-profiler/monthly/2026-06-family-trends.csv; output-feed-profiler/monthly/2026-06-slice-viability.csv,family-region-breakdown.total_count; family-trends.west_yorkshire; slice-viability.viability; profiler input date/region/job_family for today_count,"region == West Yorkshire; likely_family/job_family in service_administrator, administrator_general",matched family-region-breakdown row(s); validated against profiler input rows and monthly family-trends region column; today_count unavailable because source export dates are unknown_date; slice-viability report has no dated slice rows for this month; service_administrator: matched family-trends row; administrator_general: matched family-trends row
SLICE_DECISIONS,2026-06,2026-06-03,,,,,,,South Yorkshire,service-admin,1,,HOLD,Hold service-admin slice unless manually topped up.,too few jobs for a credible slice: 1 MTD,,,,output-feed-profiler/regional/2026-06-family-region-breakdown.csv; output-feed-profiler/monthly/2026-06-family-trends.csv; output-feed-profiler/monthly/2026-06-slice-viability.csv,family-region-breakdown.total_count; family-trends.south_yorkshire; slice-viability.viability; profiler input date/region/job_family for today_count,"region == South Yorkshire; likely_family/job_family in service_administrator, administrator_general",matched family-region-breakdown row(s); validated against profiler input rows and monthly family-trends region column; today_count unavailable because source export dates are unknown_date; slice-viability report has no dated slice rows for this month; service_administrator: matched family-trends row; administrator_general: matched family-trends row
RECONCILIATION,2026-06,2026-06-03,,,,,,,total support-worker jobs month-to-date,support-worker,189,,,,,,,,output-feed-profiler/monthly/2026-06-family-trends.csv,total_jobs,job_family in support_worker,support_worker: matched family-trends row; validated against profiler input family counts
RECONCILIATION,2026-06,2026-06-03,,,,,,,support-worker jobs in tracked Ontap regions,support-worker,0,,,,,,,,output-feed-profiler/regional/2026-06-family-region-breakdown.csv; output-feed-profiler/monthly/2026-06-family-trends.csv,"family-region-breakdown.total_count; family-trends west_yorkshire,south_yorkshire","regions in West Yorkshire, South Yorkshire; families in support_worker",support-worker jobs exist but not in tracked West/South Yorkshire
RECONCILIATION,2026-06,2026-06-03,,,,,,,support-worker jobs outside tracked Ontap regions,support-worker,189,,,,,,,,output-feed-profiler/monthly/2026-06-family-trends.csv,"total_jobs,west_yorkshire,south_yorkshire,lancashire,greater_manchester,cumbria,north_east,other_unknown",total_jobs minus tracked Ontap regions for families in support_worker,outside tracked includes other Ontap regions and Other / Unknown; family-trends other_unknown contributes 181
RECONCILIATION,2026-06,2026-06-03,,,,,,,unmapped/generic Yorkshire support-worker jobs,support-worker,6,,,,,,,,output-feed-profiler/regional/2026-06-regional-location-audit.csv,"raw_location,top_families,total_count",raw_location lower-case == yorkshire; parsed top_families for support_worker,available from regional-location-audit top_families; 0 means no matching family listed for generic Yorkshire
RECONCILIATION,2026-06,2026-06-03,,,,,,,total service-admin jobs month-to-date,service-admin,219,,,,,,,,output-feed-profiler/monthly/2026-06-family-trends.csv,total_jobs,"job_family in service_administrator, administrator_general",service_administrator: matched family-trends row; administrator_general: matched family-trends row; validated against profiler input family counts
