month,region,is_active_ontap_slice_region,likely_family,total_count,unique_companies,unique_locations,top_titles
2026-06,Borders / South Scotland,no,care_assistant,1,1,1,shared lives carer (1)
2026-06,Borders / South Scotland,no,customer_service,1,1,1,retail optical assistant (1)
2026-06,Carmarthenshire,no,support_worker,1,1,1,support worker (1)
2026-06,Central Scotland,no,sales,30,1,6,veterinary practice sales representative - royal canin (6); veterinary client relationship manager - royal canin (6); veterinary practice business consultant - royal canin (6); animal wellness business manager - royal canin (6); veterinary account manager - royal canin (6)
2026-06,Central Scotland,no,unclassified,9,8,5,"pharmacist (1); optometrist / falkirk / independent (1); perth optometrist role - up to £65,000 (1); senior project manager - toronto, canada - new build hospital/health care projects (1); wca nurse assessor (1); social care operations officer (1); team leader (1); hygiene operative (1); registered nurse (1)"
2026-06,Central Scotland,no,customer_service,3,3,3,audiologist/hearing aid dispenser (1); administrator (1); retail optical assistant (1)
2026-06,County Armagh,no,unclassified,1,1,1,occupational health nurse advisor (1)
2026-06,County Down,no,unclassified,1,1,1,british sign language bsl interpreter - work from home (1)
2026-06,Cumbria,yes,support_worker,17,7,9,childrens residential support worker (4); relief support worker (2); senior residential childrens support worker (2); childrens residential support worker bank (2); residential support worker (1); regional support worker (1); support worker (1); residential child care worker sessional/casual (1); peripatetic support worker (1); female support worker (1)
2026-06,Cumbria,yes,unclassified,10,8,6,registered manager- childrens residential (2); occupational health nurse (1); band-5 rmn (1); rmn- block bookings / (1); housing manager (1); deputy manager children s home (1); registered nurse/paramedic-police custody - barrow - ft/pt (1); principal commercial officer (1); operational trainer - healthcare (1)
2026-06,Cumbria,yes,customer_service,3,2,3,retail optical assistant (2); optical assistant (1)
2026-06,Cumbria,yes,healthcare_assistant,2,2,2,paediatric care assistant (1); clinical complex care assistant (1)
2026-06,Cumbria,yes,administrator_general,1,1,1,sipp administrator property acquisitions (1)
2026-06,Cumbria,yes,care_assistant,1,1,1,complex care assistant (1)
2026-06,"Dumfries & Galloway, Scotland",no,unclassified,1,1,1,registered manager (1)
2026-06,East Midlands / Derbyshire,no,unclassified,26,18,7,registered manager (2); dispensing optician (2); optometrist (1); opticians practice manager - chesterfield (1); residential team leader (1); optical branch manager - chesterfield (1); optical branch manager - derby (1); weekend optical assistant (1); projects operations implementation coordinator (1); senior barber (1)
2026-06,East Midlands / Derbyshire,no,administrator_general,8,6,5,business administrator (2); finance administrator - multi site (1); administrator/data cleansing (1); project coordinator/administrator hire business (1); inside sales admin (1); private client legal assistant / administrator (1); compliance operations administrator (1)
2026-06,East Midlands / Derbyshire,no,care_assistant,1,1,1,complex care assistant (1)
2026-06,East Midlands / Derbyshire,no,customer_service,1,1,1,optical assistant apprentice 1 (1)
2026-06,East Midlands / Derbyshire,no,healthcare_assistant,1,1,1,community healthcare assistant (1)
2026-06,East Midlands / Derbyshire,no,support_worker,1,1,1,team leader - residential childrens home (1)
