month,raw_location,raw_jobg8_area,raw_jobg8_location,suspected_region,suspected_reason,job_family_counts,total_count,unique_companies,top_titles,recommended_action,suggested_lookup_area,suggested_lookup_cluster,confidence
2026-06,Boreham,Boreham (3),Essex (3),East of England / Essex,UK county from jobg8_location,sales: 3,3,1,veterinary practice relationship manager - royal canin (1); veterinary account manager - royal canin (1); veterinary commercial manager - royal canin (1),ADD_TO_LOOKUP_OUTSIDE_ACTIVE_SLICE,Boreham,East of England / Essex,high
2026-06,Bradley Cross,Bradley Cross (3),Somerset (3),South West England / Somerset,UK county from jobg8_location,sales: 3,3,1,veterinary practice relationship manager - royal canin (1); veterinary account manager - royal canin (1); veterinary commercial manager - royal canin (1),ADD_TO_LOOKUP_OUTSIDE_ACTIVE_SLICE,Bradley Cross,South West England / Somerset,high
2026-06,Dundonald,Dundonald (2),Belfast (2),Northern Ireland,UK city from jobg8_location,unclassified: 2,2,2,ct radiogrpahers x2 - dundonald (1); radiographer - ct / plain film imaging (1),ADD_TO_LOOKUP_OUTSIDE_ACTIVE_SLICE,Dundonald,Northern Ireland,high
2026-06,Dunmurry,Dunmurry (1),Belfast (1),Northern Ireland,UK city from jobg8_location,unclassified: 1,1,1,medical receptionist 18 hrs pw (1),ADD_TO_LOOKUP_OUTSIDE_ACTIVE_SLICE,Dunmurry,Northern Ireland,high
2026-06,Surrey,Not Specified (8),Surrey (8),South East England / Surrey,UK county,unclassified: 7; administrator_general: 1,8,7,"dispensing optician job in surey (1); dispensing optician job in surrey (1); mobile optometrist, surrey (1); optometrist / staines / £58,000 (1); financial administrator leatherhead / fetcham, surrey £35,000 benefits (1); registered manager (1); vision rehabilitation specialist (1); asb case officer (1)",AMBIGUOUS_REVIEW,,,medium
2026-06,Cheshire,Not Specified (6),Cheshire (6),North West England / Cheshire,UK county,unclassified: 4; support_worker: 1; administrator_general: 1,6,4,senior support worker- young people (1); administrator (1); tenancy sustainment and floating support officer - homelessness 22.5 (1); registered manager- young people (1); social worker (1); tenancy sustainment and floating support officer homelessness (1),AMBIGUOUS_REVIEW,,,medium
2026-06,Gloucestershire,Not Specified (6),Gloucestershire (6),South West England / Gloucestershire,UK county,unclassified: 5; administrator_general: 1,6,6,social worker - children families (1); receptionist / office administrator (1); dispensing optician job in gloucestershire (1); housing officer (1); operations executive leader (1); experienced social worker (1),AMBIGUOUS_REVIEW,,,medium
2026-06,Lincolnshire,Not Specified (5),Lincolnshire (5),East Midlands / Lincolnshire,UK county,unclassified: 5,5,5,"social worker (1); social worker - children in care (1); optometrist / lincoln / £64,000 doe (1); lincolnshire optometrist role - up to £65,000 (1); cqc registered manager (1)",AMBIGUOUS_REVIEW,,,medium
2026-06,Warwickshire,Not Specified (5),Warwickshire (5),West Midlands / Warwickshire,UK county,unclassified: 2; administrator_general: 2; sales: 1,5,4,opticians practice manager - coleshill (1); ivanti administrator enterprise patching (1); ground care specialist (1); ivanti neurons administrator enterprise patch management (1); registered manager- young people (1),AMBIGUOUS_REVIEW,,,medium
2026-06,West Midlands,Not Specified (5),West Midlands (5),,unmapped UK possibility connected to support-worker/admin-service families; needs human geo review,unclassified: 3; support_worker: 1; customer_service: 1,5,5,domestic abuse support worker advocate (1); trainee manager to registered manager pathway (1); occupational therapist (1); registered manager childrens home (1); hygiene operative (1),AMBIGUOUS_REVIEW,,,low
2026-06,Derbyshire,Not Specified (4),Derbyshire (4),East Midlands / Derbyshire,UK county,unclassified: 3; administrator_general: 1,4,3,dispensing optician job in (1); optical assistant job in derbyshire (1); hr administrator (1); 111 clinical advisor - homeworking (1),AMBIGUOUS_REVIEW,,,medium
2026-06,Kent,Not Specified (4),Kent (4),South East England / Kent,UK county,unclassified: 4,4,4,"team manager - fostering team (1); newly qualified optometrist - kent - packages of up to £60,000 (1); nhs 111 pathways trained clinical advisor (1); senior housing environmental health officer (1)",AMBIGUOUS_REVIEW,,,medium
2026-06,Leicestershire,Not Specified (4),Leicestershire (4),East Midlands / Leicestershire,UK county,unclassified: 2; administrator_general: 2,4,4,optical assistant job in leicestershire (1); opticians practice manager - ashby-de-la-zouch (1); connections policy administrator (1); ifa administrator (1),AMBIGUOUS_REVIEW,,,medium
2026-06,Wiltshire,Not Specified (4),Wiltshire (4),South West England / Wiltshire,UK county,unclassified: 4,4,4,"optometrist store manager (1); hearing aid audiologist, wiltshire (1); educational psychologist (1); children s social worker (1)",AMBIGUOUS_REVIEW,,,medium
2026-06,Hampshire,Not Specified (3),Hampshire (3),South East England / Hampshire,UK county,unclassified: 2; administrator_general: 1,3,3,"employee benefits administrator (1); optometrist opportunity hampshire / independent practice / mobile / £71,000 company car (1); case worker (1)",AMBIGUOUS_REVIEW,,,medium
2026-06,Magherafelt,Magherafelt (3),County Londonderry (3),,unmapped UK possibility connected to support-worker/admin-service families; needs human geo review,care_assistant: 2; support_worker: 1,3,3,night support worker - waking (1); care assistant - magherafelt (1); care assistant - marriott house (1),AMBIGUOUS_REVIEW,,,low
2026-06,Midlothian,Not Specified (3),Midlothian (3),,unmapped UK possibility connected to support-worker/admin-service families; needs human geo review,unclassified: 2; support_worker: 1,3,3,locum support worker (1); fostering service manager (1); hygiene operative (1),AMBIGUOUS_REVIEW,,,low
2026-06,Norfolk,Not Specified (3),Norfolk (3),East of England / Norfolk,UK county,unclassified: 2; customer_service: 1,3,3,supervising social worker (1); office administrator (1); health social care assessor (1),AMBIGUOUS_REVIEW,,,medium
2026-06,Staffordshire,Not Specified (3),Staffordshire (3),West Midlands / Staffordshire,UK county,unclassified: 3,3,3,optical assistant job in staffordshire (1); nhs 111 pathways trained clinical advisor (1); registered manager (1),AMBIGUOUS_REVIEW,,,medium
2026-06,Ballycastle,Ballycastle (2),County Antrim (2),,unmapped UK possibility connected to support-worker/admin-service families; needs human geo review,support_worker: 1; care_assistant: 1,2,1,support worker - ballycastle (1); care assistant - ballycastle (1),AMBIGUOUS_REVIEW,,,low
2026-06,Berkshire,Not Specified (2),Berkshire (2),South East England / Berkshire,UK county,administrator_general: 1; unclassified: 1,2,2,finance administrator (1); veterinary surgeon (1),AMBIGUOUS_REVIEW,,,medium
2026-06,Buckinghamshire,Not Specified (2),Buckinghamshire (2),South East England / Buckinghamshire,UK county,unclassified: 2,2,2,repairs support operative (1); pharmacy dispenser (1),AMBIGUOUS_REVIEW,,,medium
2026-06,Cookstown,Cookstown (2),County Tyrone (2),,unmapped UK possibility connected to support-worker/admin-service families; needs human geo review,unclassified: 1; administrator_general: 1,2,2,librarian (1); hr administrator cookstown (1),AMBIGUOUS_REVIEW,,,low
2026-06,Cornwall,Not Specified (2),Cornwall (2),South West England / Cornwall,UK county,unclassified: 2,2,2,health social care assessor- nationwide locations (1); health social care assessor (1),AMBIGUOUS_REVIEW,,,medium
2026-06,Cumbria,Not Specified (2),Cumbria (2),,unmapped UK possibility connected to support-worker/admin-service families; needs human geo review,support_worker: 1; unclassified: 1,2,1,senior support worker- young people (1); registered manager- young people (1),AMBIGUOUS_REVIEW,,,low
2026-06,Dorset,Not Specified (2),Dorset (2),South West England / Dorset,UK county,unclassified: 2,2,2,"optometrist opportunity dorset / no weekends / £80,000 (1); health social care assessor- nationwide locations (1)",AMBIGUOUS_REVIEW,,,medium
2026-06,England,Not Specified (2),England (2),West Yorkshire,broad/ambiguous location; target-region town term 'leeds' appears in raw location in title/description,unclassified: 2,2,1,pet care client success manager - vetsource (1); veterinary business growth lead - vetsource (1),AMBIGUOUS_REVIEW,,,medium
2026-06,England,Not Specified (2),England (2),,broad/ambiguous location; do not add blindly,unclassified: 2,2,1,digital veterinary business manager (1); veterinary digital partnerships manager (1),AMBIGUOUS_REVIEW,,,medium
2026-06,Hertfordshire,Not Specified (2),Hertfordshire (2),East of England / Hertfordshire,UK county,unclassified: 2,2,2,junior assistant project manager m e / construction (1); children s social worker (1),AMBIGUOUS_REVIEW,,,medium
2026-06,Lancashire,Not Specified (2),Lancashire (2),,unmapped UK possibility connected to support-worker/admin-service families; needs human geo review,administrator_general: 1; unclassified: 1,2,2,transport warehouse administrator (1); health social care assessor- nationwide locations (1),AMBIGUOUS_REVIEW,,,low
2026-06,Lisburn,Lisburn (2),County Antrim (2),,unmapped UK possibility connected to support-worker/admin-service families; needs human geo review,administrator_general: 2,2,2,medical receptionist/ administrator 19.5 hrs pw (1); sales and marketing administrator (1),AMBIGUOUS_REVIEW,,,low
2026-06,Northamptonshire,Not Specified (2),Northamptonshire (2),East Midlands / Northamptonshire,UK county,unclassified: 2,2,2,optical assistant job in northamptonshire (1); recovery practitioner (1),AMBIGUOUS_REVIEW,,,medium
2026-06,Nottinghamshire,Not Specified (2),Nottinghamshire (2),East Midlands / Nottinghamshire,UK county,care_assistant: 1; unclassified: 1,2,2,care worker (1); registered manager - children s residential home (1),AMBIGUOUS_REVIEW,,,medium
2026-06,Somerset,Not Specified (2),Somerset (2),South West England / Somerset,UK county,unclassified: 2,2,2,senior supervising social worker (1); occupational therapist - mental health team (1),AMBIGUOUS_REVIEW,,,medium
2026-06,Wales,Not Specified (2),Wales (2),,broad/ambiguous location; do not add blindly,unclassified: 2,2,2,"social worker - safeguarding / assessments (1); calling out to all up-coming osce optometrists in south wales packages of up to £55,000 (1)",AMBIGUOUS_REVIEW,,,medium
2026-06,Yorkshire,Not Specified (2),Yorkshire (2),,broad/ambiguous location; do not add blindly,unclassified: 2,2,2,assistant manager job in north yorkshire (1); registered manager (1),AMBIGUOUS_REVIEW,,,medium
2026-06,Ammanford,Ammanford (1),Dyfed (1),,unmapped UK possibility connected to support-worker/admin-service families; needs human geo review,administrator_general: 1,1,1,welsh speaking hr administrator (1),AMBIGUOUS_REVIEW,,,low
2026-06,Bedale,Bedale (1),Yorkshire (1),,unmapped UK possibility connected to support-worker/admin-service families; needs human geo review,administrator_general: 1,1,1,administrator (1),AMBIGUOUS_REVIEW,,,low
2026-06,Bedfordshire,Not Specified (1),Bedfordshire (1),East of England / Bedfordshire,UK county,unclassified: 1,1,1,optometrist job in bedfordhsire (1),AMBIGUOUS_REVIEW,,,medium
2026-06,Bishopton,Bishopton (1),Renfrewshire (1),,unmapped UK possibility connected to support-worker/admin-service families; needs human geo review,administrator_general: 1,1,1,supply chain administrator (1),AMBIGUOUS_REVIEW,,,low
2026-06,Cambridgeshire,Not Specified (1),Cambridgeshire (1),East of England / Cambridgeshire,UK county,unclassified: 1,1,1,health social care assessor- nationwide locations (1),AMBIGUOUS_REVIEW,,,medium
2026-06,Devon,Not Specified (1),Devon (1),South West England / Devon,UK county,unclassified: 1,1,1,health social care assessor- nationwide locations (1),AMBIGUOUS_REVIEW,,,medium
2026-06,Duns,Duns (1),Berwickshire (1),,unmapped UK possibility connected to support-worker/admin-service families; needs human geo review,support_worker: 1,1,1,housing care worker (1),AMBIGUOUS_REVIEW,,,low
2026-06,Freshwater,Freshwater (1),Isle of Wight (1),,unmapped UK possibility connected to support-worker/admin-service families; needs human geo review,support_worker: 1,1,1,care support worker (1),AMBIGUOUS_REVIEW,,,low
2026-06,Merseyside,Not Specified (1),Merseyside (1),North West England / Merseyside,UK county,unclassified: 1,1,1,clinical deputy manager (1),AMBIGUOUS_REVIEW,,,medium
2026-06,Shropshire,Not Specified (1),Shropshire (1),West Midlands / Shropshire,UK county,unclassified: 1,1,1,registered manager- young people (1),AMBIGUOUS_REVIEW,,,medium
2026-06,Staines,Staines (1),Middlesex (1),,unmapped UK possibility connected to support-worker/admin-service families; needs human geo review,service_administrator: 1,1,1,customer service administrator (1),AMBIGUOUS_REVIEW,,,low
2026-06,Teddington,Teddington (1),Middlesex (1),,unmapped UK possibility connected to support-worker/admin-service families; needs human geo review,administrator_general: 1,1,1,administrator (1),AMBIGUOUS_REVIEW,,,low
2026-06,Walton-le-dale,Walton-le-dale (1),Lancashire (1),,unmapped UK possibility connected to support-worker/admin-service families; needs human geo review,support_worker: 1,1,1,support worker (1),AMBIGUOUS_REVIEW,,,low
2026-06,Wawne,Wawne (1),Yorkshire (1),,unmapped UK possibility connected to support-worker/admin-service families; needs human geo review,support_worker: 1,1,1,bank support worker (1),AMBIGUOUS_REVIEW,,,low
2026-06,Yapton,Yapton (1),Sussex (1),,unmapped UK possibility connected to support-worker/admin-service families; needs human geo review,support_worker: 1,1,1,support worker (1),AMBIGUOUS_REVIEW,,,low
2026-06,Ireland,Ireland (5),Bedfordshire (5),,"blank, bad, or explicitly non-UK location",unclassified: 5,5,1,"optometrist / cork / €75,000 (1); independent cork - €80k (1); dispensing optician opportunity, swords / €50,000 (1); hospital optometrist opportunity, waterford / £55,000 (1); clinical optometrist opportunity, kildare / €65,000 (1)",IGNORE_BAD_OR_NON_UK,,,medium
2026-06,Waterford,Waterford (1),Hertfordshire (1),,non-UK signal in JobG8 area/location/title,unclassified: 1,1,1,private eye surgery - waterford €80k (1),IGNORE_BAD_OR_NON_UK,,,medium
