month,normalised_title,likely_family,total_count,days_seen,unique_companies,unique_locations,top_companies,top_locations,top_regions,example_titles
2026-06,veterinary account manager - royal canin,sales,85,1,1,85,Mars (85),Whitburn (1); Honiton (1); Scone (1); Mayfield (1); Ottery St. Mary (1),Other / Unknown (85),Veterinary Account Manager - Royal Canin
2026-06,veterinary client success lead - vetsource,unclassified,68,1,1,68,Mars (68),Thorngumbald (1); Washwood Heath (1); Keyingham (1); Knowle (1); Burstwick (1),Other / Unknown (67); West Yorkshire (1),Veterinary Client Success Lead - Vetsource
2026-06,pet care client success manager - vetsource,unclassified,68,1,1,68,Mars (68),Acocks Green (1); Attleborough (1); Castle Vale (1); Thorngumbald (1); Keyingham (1),Other / Unknown (67); West Yorkshire (1),Pet Care Client Success Manager - Vetsource
2026-06,veterinary business growth lead - vetsource,unclassified,68,1,1,68,Mars (68),Knowle (1); Shirley (1); Solihull (1); Patrington (1); Keyingham (1),Other / Unknown (67); West Yorkshire (1),Veterinary Business Growth Lead - Vetsource
2026-06,veterinary client engagement lead - vetsource,unclassified,66,1,1,66,Mars (66),Solihull (1); Shirley (1); Burstwick (1); Patrington (1); Keyingham (1),Other / Unknown (65); West Yorkshire (1),Veterinary Client Engagement Lead - Vetsource
2026-06,veterinary client relationship manager - royal canin,sales,58,1,1,58,Mars (58),Gillingham (1); Musselburgh (1); Arbroath (1); Coupar Angus (1); Dalkeith (1),Other / Unknown (58),Veterinary Client Relationship Manager - Royal Canin
2026-06,animal wellness business manager - royal canin,sales,58,1,1,58,Mars (58),Prestonpans (1); Whitburn (1); Warminster (1); Sherborne (1); Gillingham (1),Other / Unknown (58),Animal Wellness Business Manager - Royal Canin
2026-06,veterinary practice business consultant - royal canin,sales,58,1,1,58,Mars (58),Bathgate (1); Manston (1); Sherborne (1); Arbroath (1); Broxburn (1),Other / Unknown (58),Veterinary Practice Business Consultant - Royal Canin
2026-06,veterinary practice sales representative - royal canin,sales,58,1,1,58,Mars (58),Warminster (1); Livingston (1); Bonnyrigg (1); Sherborne (1); Forfar (1),Other / Unknown (58),Veterinary Practice Sales Representative - Royal Canin
2026-06,registered manager,unclassified,53,1,30,47,Leaders In Care Recruitment Ltd (7); Coburg Banks Limited (4); Recruited UK (4); SCR Recruitment Services (4); Consensus Support Services Limited (3),Oldbury (2); Nottingham (2); Leicester (2); Canterbury (2); London (2),Other / Unknown (45); North East (4); Lancashire (1); Greater Manchester (1); West Yorkshire (1),Registered Manager
2026-06,veterinary digital partnerships manager,unclassified,43,1,1,43,Mars (43),Shaftesbury (1); Yeadon (1); Gillingham (1); Manston (1); Sherborne (1),Other / Unknown (21); West Yorkshire (18); South Yorkshire (4),Veterinary Digital Partnerships Manager
2026-06,digital veterinary business manager,unclassified,42,1,1,42,Mars (42),Warminster (1); England (1); Sherborne (1); Manston (1); Yeadon (1),Other / Unknown (20); West Yorkshire (18); South Yorkshire (4),Digital Veterinary Business Manager
2026-06,veterinary business manager-digital services,unclassified,42,1,1,42,Mars (42),Gillingham (1); Shaftesbury (1); Morley (1); Sherborne (1); Warminster (1),Other / Unknown (20); West Yorkshire (18); South Yorkshire (4),Veterinary Business Manager-Digital Services
2026-06,veterinary digital solutions manager,unclassified,42,1,1,42,Mars (42),Manston (1); Warminster (1); Gillingham (1); Sherborne (1); Yeadon (1),Other / Unknown (20); West Yorkshire (18); South Yorkshire (4),Veterinary Digital Solutions Manager
2026-06,veterinary practice relationship manager - royal canin,sales,37,1,1,37,Mars (37),Cullompton (1); Honiton (1); Willand (1); Colyton (1); Axminster (1),Other / Unknown (37),Veterinary Practice Relationship Manager - Royal Canin
2026-06,veterinary commercial manager - royal canin,sales,37,1,1,37,Mars (37),Willand (1); Axminster (1); Cullompton (1); England (1); Tiverton (1),Other / Unknown (37),Veterinary Commercial Manager - Royal Canin
2026-06,optometrist,unclassified,33,1,4,32,Specsavers (20); ASDA Opticians (6); Vision Express (6); Costco (1),Swansea (2); Havant (1); Blackwood (1); Farnborough (1); Nottingham (1),Other / Unknown (32); North East (1),Optometrist; Part time Optometrist
2026-06,retail optical assistant,customer_service,32,1,1,29,Vision Express (32),Portsmouth (2); Swansea (2); Haywards Heath (2); Berkhamsted (1); King's Lynn (1),Other / Unknown (26); Cumbria (2); North East (2); West Yorkshire (1); Greater Manchester (1),Retail Optical Assistant
