title,classification,reason,example_title,july_occurrences,days_present,first_seen,last_seen
children's support worker,ELASTIC_FIT,"Direct children's support role, but residential setting is not always explicit.",Children's Support Worker,27,6,2026-07-01,2026-07-09
youth support worker,ELASTIC_FIT,"Direct children's support role, but residential setting is not always explicit.",Youth support worker,13,13,2026-07-01,2026-07-14
youth support worker (in school support),ELASTIC_FIT,"Direct children's support role, but residential setting is not always explicit.",Youth Support Worker (In School Support),13,13,2026-07-01,2026-07-14
youth support worker - witney,ELASTIC_FIT,"Direct children's support role, but residential setting is not always explicit.",Youth Support Worker - Witney,8,8,2026-07-07,2026-07-14
youth support worker - maidenhead,ELASTIC_FIT,"Direct children's support role, but residential setting is not always explicit.",Youth Support Worker - Maidenhead,7,7,2026-07-08,2026-07-14
children's support worker (weekends),ELASTIC_FIT,"Direct children's support role, but residential setting is not always explicit.",Children's Support Worker (Weekends),6,5,2026-07-01,2026-07-05
"youth support worker, primary school based",ELASTIC_FIT,"Direct children's support role, but residential setting is not always explicit.","Youth Support Worker, Primary School based",6,6,2026-07-09,2026-07-14
children's support worker- nights,ELASTIC_FIT,"Direct children's support role, but residential setting is not always explicit.",Children's Support Worker- Nights,5,5,2026-07-01,2026-07-05
youth support worker - wantage,ELASTIC_FIT,"Direct children's support role, but residential setting is not always explicit.",Youth Support Worker - Wantage,5,5,2026-07-10,2026-07-14
youth support worker - wokingham,ELASTIC_FIT,"Direct children's support role, but residential setting is not always explicit.",Youth Support Worker - Wokingham,5,5,2026-07-10,2026-07-14
residential child support worker,ELASTIC_FIT,"Direct children's support role, but residential setting is not always explicit.",Residential Child Support Worker,3,3,2026-07-01,2026-07-03
residential childrens support worker,ELASTIC_FIT,"Direct children's support role, but residential setting is not always explicit.",Residential Childrens Support Worker,3,3,2026-07-12,2026-07-14
complex needs residential childrens support worker,ELASTIC_FIT,"Direct children's support role, but residential setting is not always explicit.",complex needs Residential childrens support worker,2,2,2026-07-01,2026-07-02
night youth support worker,ELASTIC_FIT,"Direct children's support role, but residential setting is not always explicit.",Night Youth Support Worker,2,2,2026-07-01,2026-07-02
temporary to permanent- childrens support worker,ELASTIC_FIT,"Direct children's support role, but residential setting is not always explicit.",Temporary to Permanent- Childrens Support Worker,2,2,2026-07-02,2026-07-03
registered manager - childrens home,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Registered Manager - Childrens Home,161,14,2026-07-01,2026-07-14
childrens home registered manager,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Childrens Home Registered Manager,75,14,2026-07-01,2026-07-14
