title,classification,reason,example_title,july_occurrences,days_present,first_seen,last_seen
behaviour mentor,ELASTIC_FIT,Adjacent pupil-learning support role suitable for exploratory testing.,Behaviour Mentor,28,14,2026-07-01,2026-07-14
behaviour and learning mentor,ELASTIC_FIT,Adjacent pupil-learning support role suitable for exploratory testing.,Behaviour and Learning mentor,14,14,2026-07-01,2026-07-14
behaviour learning mentor,ELASTIC_FIT,Adjacent pupil-learning support role suitable for exploratory testing.,Behaviour Learning Mentor,14,14,2026-07-01,2026-07-14
psychology graduate learning mentor,ELASTIC_FIT,Adjacent pupil-learning support role suitable for exploratory testing.,Psychology Graduate Learning Mentor,14,14,2026-07-01,2026-07-14
graduate behaviour mentor - reading,ELASTIC_FIT,Adjacent pupil-learning support role suitable for exploratory testing.,Graduate Behaviour Mentor - Reading,8,8,2026-07-01,2026-07-08
sen teaching assistant -aspiring educational psychologist,HARD_PASS,"Qualified teacher, tutor or education specialist rather than classroom support.",SEN Teaching Assistant -Aspiring Educational Psychologist,5,5,2026-07-10,2026-07-14
psychology graduate sen teaching assistant,HIGH_CONFIDENCE,"Complete title clearly describes teaching, SEN or classroom-assistant support.",Psychology Graduate SEN Teaching Assistant,27,14,2026-07-01,2026-07-14
reception teaching assistant,HIGH_CONFIDENCE,"Complete title clearly describes teaching, SEN or classroom-assistant support.",Reception Teaching Assistant,22,14,2026-07-01,2026-07-14
11 sen support assistant - asd & adhd,HIGH_CONFIDENCE,"Complete title clearly describes teaching, SEN or classroom-assistant support.",11 SEN Support Assistant - ASD & ADHD,14,14,2026-07-01,2026-07-14
russell group teaching assistant,HIGH_CONFIDENCE,"Complete title clearly describes teaching, SEN or classroom-assistant support.",Russell Group Teaching Assistant,14,14,2026-07-01,2026-07-14
send teaching assistant,HIGH_CONFIDENCE,"Complete title clearly describes teaching, SEN or classroom-assistant support.",SEND Teaching Assistant,14,14,2026-07-01,2026-07-14
social science graduate teaching assistant,HIGH_CONFIDENCE,"Complete title clearly describes teaching, SEN or classroom-assistant support.",Social Science Graduate Teaching Assistant,13,13,2026-07-02,2026-07-14
special needs assistant / sen teaching assistant,HIGH_CONFIDENCE,"Complete title clearly describes teaching, SEN or classroom-assistant support.",Special Needs Assistant / SEN Teaching Assistant,13,13,2026-07-01,2026-07-14
roma speaking teaching assistant and school administrator,HIGH_CONFIDENCE,"Complete title clearly describes teaching, SEN or classroom-assistant support.",Roma Speaking Teaching Assistant and School Administrator,12,12,2026-07-03,2026-07-14
sen teaching assistant,HIGH_CONFIDENCE,"Complete title clearly describes teaching, SEN or classroom-assistant support.",SEN Teaching Assistant,12,12,2026-07-01,2026-07-14
reception class teaching assistant,HIGH_CONFIDENCE,"Complete title clearly describes teaching, SEN or classroom-assistant support.",Reception Class Teaching Assistant,11,11,2026-07-04,2026-07-14
ellesmere port teaching assistant,HIGH_CONFIDENCE,"Complete title clearly describes teaching, SEN or classroom-assistant support.",Ellesmere Port Teaching Assistant,10,10,2026-07-01,2026-07-10
russell group graduate teaching assistant,HIGH_CONFIDENCE,"Complete title clearly describes teaching, SEN or classroom-assistant support.",Russell Group Graduate Teaching Assistant,10,10,2026-07-05,2026-07-14
cannock area teaching assistant roles!,HIGH_CONFIDENCE,"Complete title clearly describes teaching, SEN or classroom-assistant support.",Cannock area teaching assistant roles!,9,9,2026-07-01,2026-07-09
psychology graduate - sen teaching assistant,HIGH_CONFIDENCE,"Complete title clearly describes teaching, SEN or classroom-assistant support.",Psychology Graduate - SEN Teaching Assistant,7,7,2026-07-08,2026-07-14
teaching assistant co-ordinator,HIGH_CONFIDENCE,"Complete title clearly describes teaching, SEN or classroom-assistant support.",Teaching Assistant Co-ordinator,7,7,2026-07-08,2026-07-14
classroom assistant (special educational needs),HIGH_CONFIDENCE,"Complete title clearly describes teaching, SEN or classroom-assistant support.",Classroom Assistant (Special Educational Needs),6,6,2026-07-02,2026-07-07
healthcare/learning support assistant,HIGH_CONFIDENCE,"Complete title clearly describes teaching, SEN or classroom-assistant support.",Healthcare/Learning Support Assistant,6,6,2026-07-09,2026-07-14
inclusion teaching assistant,HIGH_CONFIDENCE,"Complete title clearly describes teaching, SEN or classroom-assistant support.",Inclusion Teaching Assistant,4,4,2026-07-11,2026-07-14
11 sen learning support assistant,HIGH_CONFIDENCE,"Complete title clearly describes teaching, SEN or classroom-assistant support.",11 SEN Learning Support Assistant,3,3,2026-07-12,2026-07-14
learning support assistant + personal care assistant,HIGH_CONFIDENCE,"Complete title clearly describes teaching, SEN or classroom-assistant support.",Learning Support Assistant + Personal Care Assistant,3,3,2026-07-01,2026-07-03
psychology graduate - sen support role,REVIEW_CONTEXT_DEPENDENT,Education-support wording is present but the role meaning remains ambiguous.,Psychology Graduate - SEN Support Role,14,14,2026-07-01,2026-07-14
administrator / sen administrator (send support),REVIEW_CONTEXT_DEPENDENT,Education-support wording is present but the role meaning remains ambiguous.,Administrator / SEN Administrator (SEND Support),13,13,2026-07-01,2026-07-14
learning support worker,REVIEW_CONTEXT_DEPENDENT,Education-support wording is present but the role meaning remains ambiguous.,Learning Support Worker,13,13,2026-07-02,2026-07-14
learning support coach for apprentices,REVIEW_CONTEXT_DEPENDENT,Education-support wording is present but the role meaning remains ambiguous.,Learning Support Coach for Apprentices,12,12,2026-07-01,2026-07-12
send learning support worker - lewisham college,REVIEW_CONTEXT_DEPENDENT,Education-support wording is present but the role meaning remains ambiguous.,SEND Learning Support Worker - Lewisham College,12,12,2026-07-03,2026-07-14
