location_id,canonical_location,canonical_region,latitude,longitude,coordinate_method,coordinate_source,status,active,priority,reason,evidence_reference,approval_status,approved_by,approved_date,approval_notes
LOC0001,Ellon,Aberdeenshire,57.36405,-2.07313,GEONAMES_EXACT_NAME,GeoNames GB extract 2026-09-05; geoname_id=2650086,REVIEW,FALSE,2,Single exact UK populated-place match for canonical geo area,pipeline/geo/geo_lookup.xlsx,PENDING,,,
LOC0002,Inverurie,Aberdeenshire,57.28446,-2.37736,GEONAMES_EXACT_NAME,GeoNames GB extract 2026-09-05; geoname_id=2646073,REVIEW,FALSE,2,Single exact UK populated-place match for canonical geo area,pipeline/geo/geo_lookup.xlsx,PENDING,,,
LOC0003,Stonehaven,Aberdeenshire,56.96365,-2.21177,GEONAMES_EXACT_NAME,GeoNames GB extract 2026-09-05; geoname_id=2636814,REVIEW,FALSE,2,Single exact UK populated-place match for canonical geo area,pipeline/geo/geo_lookup.xlsx,PENDING,,,
LOC0004,Westhill,Aberdeenshire,57.15263,-2.27966,GEONAMES_NAME_REGION_DISAMBIGUATED,GeoNames GB extract 2026-09-05; geoname_id=6640068,REVIEW,FALSE,1,Repeated UK place name resolved against canonical Ontap region; verify before approval,pipeline/geo/geo_lookup.xlsx,PENDING,,,
LOC0005,Arlesey,Bedfordshire,52.00713,-0.26565,GEONAMES_EXACT_NAME,GeoNames GB extract 2026-09-05; geoname_id=2657073,REVIEW,FALSE,2,Single exact UK populated-place match for canonical geo area,pipeline/geo/geo_lookup.xlsx,PENDING,,,
LOC0006,Barton-le-clay,Bedfordshire,51.96598,-0.42731,GEONAMES_EXACT_NAME,GeoNames GB extract 2026-09-05; geoname_id=2656212,REVIEW,FALSE,2,Single exact UK populated-place match for canonical geo area,pipeline/geo/geo_lookup.xlsx,PENDING,,,
LOC0007,Bedford,Bedfordshire,52.13459,-0.46632,GEONAMES_NAME_REGION_DISAMBIGUATED,GeoNames GB extract 2026-09-05; geoname_id=2656046,REVIEW,FALSE,1,Repeated UK place name resolved against canonical Ontap region; verify before approval,pipeline/geo/geo_lookup.xlsx,PENDING,,,
LOC0008,Biggleswade,Bedfordshire,52.08652,-0.26493,GEONAMES_EXACT_NAME,GeoNames GB extract 2026-09-05; geoname_id=2655689,REVIEW,FALSE,2,Single exact UK populated-place match for canonical geo area,pipeline/geo/geo_lookup.xlsx,PENDING,,,
LOC0009,Dunstable,Bedfordshire,51.88571,-0.52288,GEONAMES_EXACT_NAME,GeoNames GB extract 2026-09-05; geoname_id=2650657,REVIEW,FALSE,2,Single exact UK populated-place match for canonical geo area,pipeline/geo/geo_lookup.xlsx,PENDING,,,
LOC0010,Henlow,Bedfordshire,52.03021,-0.28599,GEONAMES_EXACT_NAME,GeoNames GB extract 2026-09-05; geoname_id=2647097,REVIEW,FALSE,2,Single exact UK populated-place match for canonical geo area,pipeline/geo/geo_lookup.xlsx,PENDING,,,
LOC0011,Leighton Buzzard,Bedfordshire,51.91722,-0.65802,GEONAMES_EXACT_NAME,GeoNames GB extract 2026-09-05; geoname_id=2644652,REVIEW,FALSE,2,Single exact UK populated-place match for canonical geo area,pipeline/geo/geo_lookup.xlsx,PENDING,,,
LOC0012,Luton,Bedfordshire,51.87967,-0.41748,GEONAMES_NAME_REGION_DISAMBIGUATED,GeoNames GB extract 2026-09-05; geoname_id=2643339,REVIEW,FALSE,1,Repeated UK place name resolved against canonical Ontap region; verify before approval,pipeline/geo/geo_lookup.xlsx,PENDING,,,
LOC0013,Potton,Bedfordshire,52.12911,-0.21561,GEONAMES_EXACT_NAME,GeoNames GB extract 2026-09-05; geoname_id=2639964,REVIEW,FALSE,2,Single exact UK populated-place match for canonical geo area,pipeline/geo/geo_lookup.xlsx,PENDING,,,
LOC0014,Sandy,Bedfordshire,52.12927,-0.28925,GEONAMES_NAME_REGION_DISAMBIGUATED,GeoNames GB extract 2026-09-05; geoname_id=2638530,REVIEW,FALSE,1,Repeated UK place name resolved against canonical Ontap region; verify before approval,pipeline/geo/geo_lookup.xlsx,PENDING,,,
LOC0015,Shefford,Bedfordshire,52.03870,-0.33399,GEONAMES_EXACT_NAME,GeoNames GB extract 2026-09-05; geoname_id=2638074,REVIEW,FALSE,2,Single exact UK populated-place match for canonical geo area,pipeline/geo/geo_lookup.xlsx,PENDING,,,
LOC0016,Ascot,Berkshire,51.41082,-0.67480,GEONAMES_EXACT_NAME,GeoNames GB extract 2026-09-05; geoname_id=2656992,REVIEW,FALSE,2,Single exact UK populated-place match for canonical geo area,pipeline/geo/geo_lookup.xlsx,PENDING,,,
