rule_id,match_field,match_type,match_value,sector,evidence_strength,on_conflict,status,active,priority,reason,evidence_reference,approval_status,approved_by,approved_date,approval_notes
ES001,employer_identity,exact,Belfast City Council,council,HIGH,council,APPROVED,TRUE,0,Exact current employer identity confirmed by high-strength repository rule evidence,current published app inventory; supporting draft rules ES169,APPROVED,John Bacon,2026-09-05,Owner reviewed and approved
ES002,employer_identity,exact,Yorkswood Primary School,education,HIGH,education,APPROVED,TRUE,0,Exact current employer identity confirmed by high-strength repository rule evidence,current published app inventory; supporting draft rules ES168,APPROVED,John Bacon,2026-09-05,Owner reviewed and approved
ES003,employer_identity,exact,Prince Albert Junior and Infant School,education,HIGH,education,APPROVED,TRUE,0,Exact current employer identity confirmed by high-strength repository rule evidence,current published app inventory; supporting draft rules ES168,APPROVED,John Bacon,2026-09-05,Owner reviewed and approved
ES004,employer_identity,exact,Highfield Junior and Infant School,education,HIGH,education,APPROVED,TRUE,0,Exact current employer identity confirmed by high-strength repository rule evidence,current published app inventory; supporting draft rules ES168,APPROVED,John Bacon,2026-09-05,Owner reviewed and approved
ES005,employer_identity,exact,North London NHS Foundation Trust,nhs,HIGH,nhs,APPROVED,TRUE,0,Exact current employer identity confirmed by high-strength repository rule evidence,current published app inventory; supporting draft rules ES173,APPROVED,John Bacon,2026-09-05,Owner reviewed and approved
ES006,employer_identity,exact,Dixons McMillan Academy,education,HIGH,education,APPROVED,TRUE,0,Exact current employer identity confirmed by high-strength repository rule evidence,current published app inventory; supporting draft rules ES168,APPROVED,John Bacon,2026-09-05,Owner reviewed and approved
ES007,employer_identity,exact,Appleton Academy,education,HIGH,education,APPROVED,TRUE,0,Exact current employer identity confirmed by high-strength repository rule evidence,current published app inventory; supporting draft rules ES168,APPROVED,John Bacon,2026-09-05,Owner reviewed and approved
ES008,employer_identity,exact,Sussex Community NHS Foundation Trust,nhs,HIGH,nhs,APPROVED,TRUE,0,Exact current employer identity confirmed by high-strength repository rule evidence,current published app inventory; supporting draft rules ES173,APPROVED,John Bacon,2026-09-05,Owner reviewed and approved
ES009,employer_identity,exact,Sussex Partnership NHS Foundation Trust,nhs,HIGH,nhs,APPROVED,TRUE,0,Exact current employer identity confirmed by high-strength repository rule evidence,current published app inventory; supporting draft rules ES173,APPROVED,John Bacon,2026-09-05,Owner reviewed and approved
ES010,employer_identity,exact,Parson Street Primary School,education,HIGH,education,APPROVED,TRUE,0,Exact current employer identity confirmed by high-strength repository rule evidence,current published app inventory; supporting draft rules ES168,APPROVED,John Bacon,2026-09-05,Owner reviewed and approved
