title,classification,review_status,reason,count_in_feed,west_south_regions_seen,example_towns
pensions administrator,ELASTIC_FIT,DRAFT_V2_REBUILT,credible finance/administration crossover,8,Yorkshire (South) (1); North West England / Merseyside (1); South East England / Surrey (1); South East England / Hampshire (1); South West England (1); South East (ex-London) (1),Yorkshire (2); Merseyside (1); Surrey (1); Hampshire (1); Somerset (1); London (1)
mortgage administrator,ELASTIC_FIT,DRAFT_V2_REBUILT,credible finance/administration crossover,3,South East (ex-London) (2); North West England / Cheshire (1),London (2); Cheshire (1)
accounts and office administrator,ELASTIC_FIT,DRAFT_V2_REBUILT,credible finance/administration crossover,1,South East England / Kent (1),Kent (1)
accounts and office assistant maternity cover,ELASTIC_FIT,DRAFT_V2_REBUILT,credible finance/administration crossover,1,South East England / Berkshire (1),Berkshire (1)
assistant pensions administrator,ELASTIC_FIT,DRAFT_V2_REBUILT,credible finance/administration crossover,1,South East England / Hampshire (1),Hampshire (1)
db pensions administrator,ELASTIC_FIT,DRAFT_V2_REBUILT,credible finance/administration crossover,1,South East England / Berkshire (1),Berkshire (1)
mortgage administrator north leicester salary up to 28 000,ELASTIC_FIT,DRAFT_V2_REBUILT,credible finance/administration crossover,1,East Midlands / Leicestershire (1),Leicestershire (1)
pensions administrator york,ELASTIC_FIT,DRAFT_V2_REBUILT,credible finance/administration crossover,1,Yorkshire (North/East) (1),Yorkshire (1)
senior pensions administrator,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",10,South East (ex-London) (2); Yorkshire (South) (1); South West England (1); South East England / Hampshire (1); South East England / Surrey (1); South East England / Berkshire (1),Yorkshire (1); London (1); Somerset (1); Hampshire (1); Surrey (1); Belfast (1)
accounts purchasing administration supervisor,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",2,South East England / Buckinghamshire (2),Buckinghamshire (2)
administration supervisor mortgages,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",2,South East (ex-London) (2),Leicestershire (2)
accounts and admin supervisor,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",1,South East England / Buckinghamshire (1),Buckinghamshire (1)
accounts office manager,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",1,Greater Manchester (1),Lancashire (1)
administrator paraplanner,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",1,East of England / Norfolk (1),Norfolk (1)
db senior pensions administrator,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",1,South East England / Berkshire (1),Berkshire (1)
ifa administrator paraplanner ifa firm,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",1,Greater Manchester (1),Lancashire (1)
mortgage case manager administrator,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",1,South West England / Wiltshire (1),Wiltshire (1)
office manager senior paraplanner,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",1,South East England / Buckinghamshire (1),Buckinghamshire (1)
pensions administration manager,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",1,South East (ex-London) (1),London (1)
pensions quality assurance analyst,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",1,South East (ex-London) (1),London (1)
quality auditor data analysis technician,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",1,South East (ex-London) (1),Birmingham (1)
senior dc pensions administrator,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",1,South East England / Surrey (1),Surrey (1)
senior finance administrator,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",1,South East (ex-London) (1),Derbyshire (1)
senior financial services administrator,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",1,East Midlands / Leicestershire (1),Leicestershire (1)
senior financial support advisor,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",1,South Wales (1),Gwent (1)
senior ifa administrator trainee paraplanner,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",1,South East (ex-London) (1),Wolverhampton (1)
senior pensions administator,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",1,South East England / Surrey (1),Surrey (1)
senior pensions administrator defined benefit,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",1,Greater Manchester (1),Lancashire (1)
senior pensions project administrator,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",1,South East England / Surrey (1),Surrey (1)
senior pensions projects administrator,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",1,South East England / Surrey (1),Surrey (1)
technical ifa administrator junior paraplanner,HARD_PASS,DRAFT_V2_REBUILT,"professional, senior or management finance role",1,South East (ex-London) (1),Birmingham (1)
accounts administrator,HIGH_CONFIDENCE,DRAFT_V2_REBUILT,clear entry/intermediate finance or accounts support title,6,West Midlands / Shropshire (1); East of England / Norfolk (1); South East England / Buckinghamshire (1); London (1); South East (ex-London) (1); East of England / Hertfordshire (1),Hertfordshire (3); Shropshire (1); Norfolk (1); Buckinghamshire (1)
finance administrator,HIGH_CONFIDENCE,DRAFT_V2_REBUILT,clear entry/intermediate finance or accounts support title,4,South West England / Wiltshire (1); Other / Unknown (1); East of England / Norfolk (1); South East (ex-London) (1),Wiltshire (1); Renfrewshire (1); Norfolk (1); Devon (1)
administration and finance officer,HIGH_CONFIDENCE,DRAFT_V2_REBUILT,clear entry/intermediate finance or accounts support title,1,East Midlands / Lincolnshire (1),Lincolnshire (1)
billing administrator,HIGH_CONFIDENCE,DRAFT_V2_REBUILT,clear entry/intermediate finance or accounts support title,1,Yorkshire (South) (1),Yorkshire (1)
finance administrator enniskillen,HIGH_CONFIDENCE,DRAFT_V2_REBUILT,clear entry/intermediate finance or accounts support title,1,County Fermanagh (1),County Fermanagh (1)
finance administrator newry,HIGH_CONFIDENCE,DRAFT_V2_REBUILT,clear entry/intermediate finance or accounts support title,1,South East (ex-London) (1),Not Specified (1)
finance administrator part time,HIGH_CONFIDENCE,DRAFT_V2_REBUILT,clear entry/intermediate finance or accounts support title,1,South East (ex-London) (1),Shetland (1)
part time finance administrator,HIGH_CONFIDENCE,DRAFT_V2_REBUILT,clear entry/intermediate finance or accounts support title,1,Greater Manchester (1),Cheshire (1)
ifa administrator,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,18,South East (ex-London) (4); North West England / Merseyside (3); South West England / Somerset (2); Yorkshire (West) (2); East of England / Hertfordshire (1); Other / Unknown (1),Merseyside (3); Yorkshire (3); Somerset (2); Hertfordshire (1); Worcestershire (1); Cheshire (1)
senior ifa administrator,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,4,South East England / Kent (1); East Midlands / Leicestershire (1); Yorkshire (North/East) (1); South East (ex-London) (1),Kent (1); Leicestershire (1); Yorkshire (1); London (1)
wealth planning administrator,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,4,South East England / Hampshire (1); South West England (1); East Midlands / Derbyshire (1); South East (ex-London) (1),Hampshire (1); Somerset (1); Derbyshire (1); London (1)
bankruptcy administrator,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,Greater Manchester (1),Lancashire (1)
business development account manager healthcare ambulance servic,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,Wales (1),South Glamorgan (1)
client services manager pension administration,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,South West England (1),Somerset (1)
community fundraising and engagement officer,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,South East (ex-London) (1),Belfast (1)
corporate and m a transactions assistant manager,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,South East (ex-London) (1),Manchester (1)
home collected credit manager,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,South East England / Oxfordshire (1),Oxfordshire (1)
ifa administration operations manager,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,South West England / Dorset (1),Dorset (1)
ifa administrator exclusive to taylor james,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,Greater Manchester (1),Lancashire (1)
ifa administrator hybrid remote,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,Wales (1),South Glamorgan (1)
ifa administrator upto 2 days home working,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,South West England (1),Somerset (1)
ifa office manager,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,South West England (1),Somerset (1)
investment management administrator,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,Greater Manchester (1),Lancashire (1)
investment support administrator,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,East of England / Essex (1),Essex (1)
pension administration manager defined benefits,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,Yorkshire (West) (1),Yorkshire (1)
pension administrator,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,South East (ex-London) (1),Surrey (1)
professional indemnity account executive,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,South West England (1),Somerset (1)
remote sjp wealth planning administrator,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,South East England / Surrey (1),Surrey (1)
senior business migration account assistant offboarding,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,South East (ex-London) (1),Channel Isles (1)
senior ifa administrator team leader london hybrid 45 000 excellent bonus benefits,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,South East (ex-London) (1),London (1)
senior wealth planning administrator,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,South East (ex-London) (1),London (1)
wealth administrator,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,South West England / Devon (1),Devon (1)
wealth management administrator,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,South East England / East Sussex (1),Sussex (1)
wealth planning administrator 12 bonus and 2 days from home,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,South East (ex-London) (1),London (1)
wealth planning administrator sjp practice,OUT_OF_SCOPE,DRAFT_V2_REBUILT,no credible finance/accounts title signal,1,South East (ex-London) (1),Kent (1)
financial planning administrator,REVIEW_CONTEXT_DEPENDENT,DRAFT_V2_REBUILT,finance wording present but level or function requires review,13,South East England / Surrey (2); South East (ex-London) (2); North West England / Merseyside (2); South East England / Hampshire (1); South East England / Kent (1); Yorkshire (West) (1),Surrey (2); Yorkshire (2); Merseyside (2); Hampshire (1); Kent (1); Ayrshire (1)
financial services administrator,REVIEW_CONTEXT_DEPENDENT,DRAFT_V2_REBUILT,finance wording present but level or function requires review,11,South East (ex-London) (2); Yorkshire (North/East) (2); East Midlands / Leicestershire (1); Surrey (1); East Midlands / Lincolnshire (1); North East - Tees Valley (1),Yorkshire (3); Cheshire (2); Ayrshire (1); Leicestershire (1); Sussex (1); Surrey (1)
