title_key,classification,hc_tier
111 contact centre team manager,HARD_PASS,
admin services manager,HARD_PASS,
administration manager,HARD_PASS,
administration manager barnsley sexual integrated health,HARD_PASS,
administration manager internal,HARD_PASS,
admissions manager,HARD_PASS,
ai and automation manager,HARD_PASS,
ambulance care control manager,HARD_PASS,
arts programme manager,HARD_PASS,
assistant admin manager,HARD_PASS,
assistant commissioning manager mh band 7,HARD_PASS,
assistant director for countywide services,HARD_PASS,
assistant director of finance,HARD_PASS,
assistant director of finance accounting and capital,HARD_PASS,
assistant director of strategic workforce planning,HARD_PASS,
assistant director patient safety,HARD_PASS,
assistant director strategic operations,HARD_PASS,
assistant directorate accountant,HARD_PASS,
assistant directorate manager surgery women s and children s,HARD_PASS,
assistant dispensary manager,HARD_PASS,
assistant finance manager,HARD_PASS,
assistant operational support manager,HARD_PASS,
assistant practice manager,HARD_PASS,
assistant practice manager development ops manager opportunity,HARD_PASS,
associate delivery manager,HARD_PASS,
associate director acute care specialised regional supra regional,HARD_PASS,
associate director bnssg intermediate care and prevention programme,HARD_PASS,
associate director clinical systems,HARD_PASS,
associate director estates and compliance,HARD_PASS,
associate director health economics population health improvement,HARD_PASS,
associate director improvement and personalisation,HARD_PASS,
associate director national programmes,HARD_PASS,
associate director of communications and engagement,HARD_PASS,
associate director of corporate governance and patient safety,HARD_PASS,
associate director of finance contracting costing and income,HARD_PASS,
associate director of public health nwjcc,HARD_PASS,
associate it engineer,HARD_PASS,
associate non executive director,HARD_PASS,
audit and assurance manager clinical services,HARD_PASS,
audit manager,HARD_PASS,
band 6 database manager,HARD_PASS,
band 6 senior data manager,HARD_PASS,
band 6 service manager,HARD_PASS,
band 7 operations manager,HARD_PASS,
band 8a deputy general manager emergency medicine,HARD_PASS,
band 8a deputy general manager unplanned care medicine,HARD_PASS,
band 8a medical workforce manager,HARD_PASS,
band 8c deputy director of finance qehb,HARD_PASS,
band 8d associate director of operations,HARD_PASS,
band 9 deputy director of operations,HARD_PASS,
band 9 director of digital strategy,HARD_PASS,
band 9 director of digital strategy and business planning,HARD_PASS,
