title_key,classification,hc_tier
named nurse for safeguarding children,HARD_PASS,
network and telecommunications manager,HARD_PASS,
network and telecommunications support engineer,HARD_PASS,
nhs contracts manager uk,HARD_PASS,
nihr regional research delivery network rrdn director,HARD_PASS,
non executive director,HARD_PASS,
non executive director clinical,HARD_PASS,
ns 18 34 health economics manager,HARD_PASS,
nurse admin support nwaft,HARD_PASS,
nwjcc head of commissioning,HARD_PASS,
occupational health technician,HARD_PASS,
oncology research nurse,HARD_PASS,
operation manager assistant manager gp practice,HARD_PASS,
operational care navigation manager,HARD_PASS,
operational manager,HARD_PASS,
operational manager clinical genetics,HARD_PASS,
operational manager general practice,HARD_PASS,
operational optimisation manager subject to banding,HARD_PASS,
operational support manager band 7,HARD_PASS,
operations and workforce manager,HARD_PASS,
operations manager,HARD_PASS,
operations manager integrated urgent care farnborough,HARD_PASS,
operations manager primary care 30 to 36 hours,HARD_PASS,
ophthalmology service manager,HARD_PASS,
packaging engineer,HARD_PASS,
partnership manager band 7,HARD_PASS,
pathology project manager,HARD_PASS,
patient access manager,HARD_PASS,
patient advice liaison service pals manager,HARD_PASS,
patient experience manager,HARD_PASS,
patient safety and risk manager,HARD_PASS,
payroll and pension manager,HARD_PASS,
payroll technician,HARD_PASS,
pcn business manager,HARD_PASS,
pcn manager,HARD_PASS,
pcn manager and digital transformation lead,HARD_PASS,
people project manager,HARD_PASS,
people resources manager recruitment,HARD_PASS,
performance compliance manager,HARD_PASS,
performance improvement manager,HARD_PASS,
perinatal team manager,HARD_PASS,
peripatetic hospital director,HARD_PASS,
physical health transformation manager,HARD_PASS,
policy and delivery manager community network,HARD_PASS,
population health management phm bi manager,HARD_PASS,
postdoctoral statistician cyp health analytics,HARD_PASS,
practice business manager,HARD_PASS,
practice manager,HARD_PASS,
practice manager city,HARD_PASS,
practice manager coalbrook surgery,HARD_PASS,
practice manager dr sharma rai practice group,HARD_PASS,
practice manager ftc mat cover position,HARD_PASS,
practice manager llanberis surgery,HARD_PASS,
practice manager maternity cover,HARD_PASS,
practice manager milehouse medical practice,HARD_PASS,
practice manager primary care,HARD_PASS,
practice operations manager,HARD_PASS,
primary care contracting manager,HARD_PASS,
primary care network business manager,HARD_PASS,
primary care network pcn transformation and development manager,HARD_PASS,
primary care operations manager,HARD_PASS,
private patient operations manager,HARD_PASS,
procurement manager,HARD_PASS,
procurement manager salisbury swindon bath,HARD_PASS,
product manager,HARD_PASS,
programme director outpatient transformation,HARD_PASS,
programme director uec improvement and transformation,HARD_PASS,
programme manager,HARD_PASS,
programme manager fixed term,HARD_PASS,
programme manager future workforce solution,HARD_PASS,
programme manager independent maternity review and bramber,HARD_PASS,
project manager,HARD_PASS,
project manager capital,HARD_PASS,
project manager community services multi neighbourhood,HARD_PASS,
project manager estates,HARD_PASS,
project manager pmo cambridge children s hospital,HARD_PASS,
project support manager,HARD_PASS,
project support manager future workforce solution,HARD_PASS,
projects manager chief operating officer s office,HARD_PASS,
quality professionals manager starting well division,HARD_PASS,
radiotherapy bookings manager,HARD_PASS,
reception admin manager,HARD_PASS,
reception manager,HARD_PASS,
reception team manager,HARD_PASS,
regional customer relationship manager,HARD_PASS,
regional hospital services manager,HARD_PASS,
regional medical director,HARD_PASS,
registered care home manager,HARD_PASS,
