region,category,status
Yorkshire - West,admin_service,LIVE
Yorkshire - South,admin_service,LIVE
Yorkshire - North,admin_service,LIVE
Yorkshire - East,admin_service,CANDIDATE
North East,admin_service,LIVE
Yorkshire - West,support_worker,LIVE
Yorkshire - South,support_worker,LIVE
North East,support_worker,LIVE
London,admin_service,LIVE
Northern Ireland - East,admin_service,CANDIDATE
Hampshire,admin_service,LIVE
Surrey,admin_service,LIVE
Kent,admin_service,LIVE
Sussex,admin_service,LIVE
West Midlands - Coventry & Warwickshire,admin_service,LIVE
Sussex,support_worker,LIVE
Hampshire,support_worker,LIVE
Cumbria - South,support_worker,LIVE
Lancashire - North,support_worker,CANDIDATE
Cumbria - North,support_worker,CANDIDATE
