job_id,title,employer,location,region,classification,selection_reason,boundary_review,service_admin_overlap,campaign_key,campaign_representative
965a7a3a-0171-406f-b889-5a5da163359f,Account Manager,Rise Technical Recruitment Limited,Bracknell,Berkshire,CONDITIONAL_ACCOUNT_SALES,account-based title with sales and office/digital evidence,True,False,346d7cb07af1f7d9,True
02705dec-12f7-4ed9-9981-85c8fe260f88,German Speaking Customer Support Administrator,Euro London,Bristol,Bristol & Bath,CUSTOMER_SALES,customer/service role with sales evidence: sales opportunities,False,False,5120c63ffb3d17b8,True
107785118,Telesales Executive (Recruitment / Full Training),Ernest Gordon Recruitment,Bristol,Bristol & Bath,DIRECT_SALES,"sales-led title: sales executive, telesales",False,False,a81d33127d6910a4,True
23643_225363989,Sales Executive,Henley Executive,Bristol,Bristol & Bath,DIRECT_SALES,sales-led title: sales executive,False,False,f0a63576ba0094eb,True
107539278,Business Development Executive,SCG South West,Bristol,Bristol & Bath,DIRECT_SALES,sales-led title: business development executive,False,False,54c2e0fe6551b35c,True
23643_225475667,Customer Sales Advisor,hireful,Bristol,Bristol & Bath,DIRECT_SALES,"sales-led title: sales advisor, customer sales",False,False,94787ec343e53f27,True
9bc9d711-fb4b-4f77-bc40-a68556344876,Sales Executive,ACS Recruitment Solutions Ltd,Milton Keynes,Buckinghamshire,DIRECT_SALES,sales-led title: sales executive,False,False,731a793c03ec9eea,True
23044cef-642a-414d-be58-8a32d7d7a7c2,Internal Sales / Sales Specialist,GCS Associates,Milton Keynes,Buckinghamshire,DIRECT_SALES,sales-led title: internal sales,False,False,7f9e8b95e2ff1367,True
82d836a9-ab4a-46b3-b6b5-b3e0e87ad42b,Client Account Manager,360 Resourcing Solutions,Cambridge,Cambridgeshire,CONDITIONAL_ACCOUNT_SALES,account-based title with sales and office/digital evidence,True,False,d594205556d370d0,True
bc06c685-cd6b-44da-a6c0-dfb6cdcf10c9,Customer Service Administrator,RELOcruitment,Cambridge,Cambridgeshire,CUSTOMER_SALES,"customer/service role with sales evidence: upsell, selling",False,False,dc1c9ea0a974377c,True
107757902,Sales Executive - Lithuanian Latvian Ukrainian or Russian,Advancing People Limited,Peterborough,Cambridgeshire,DIRECT_SALES,sales-led title: sales executive,False,False,387b6cc929f99b70,True
6ac5c8ef-4394-421d-b227-88419fa1579d,B2B Sales Executive,O'Loughlin Recruitment Ltd,Peterborough,Cambridgeshire,DIRECT_SALES,sales-led title: sales executive,False,False,0f2e2c473df9c95b,True
57c8c747-6731-423a-b8b4-3ed04b06dfa5,Life Insurance Sales Executive,Red Robin Resources Ltd,Peterborough,Cambridgeshire,DIRECT_SALES,sales-led title: sales executive,False,False,3c8d7088fd0fd218,True
8ed1450a-17f0-4ee6-8e9d-ca1ccb8cd5bd,Client Services Administrator,Adecco,Kendal,Cumbria - South,CUSTOMER_SALES,customer/service role with sales evidence: new business,False,False,5429c136f7278e0b,True
e2eef43c-8912-4632-be1d-5d4bf47040a5,Customer Account Manager,Acorn by Synergie,Newton Abbot,Devon,CONDITIONAL_ACCOUNT_SALES,account-based title with sales and office/digital evidence,True,False,2247386ed346bdb5,True
33544226-0ceb-460d-b580-a2a1f6e39989,Account Manager,BOWERFORD ASSOCIATES,Exeter,Devon,CONDITIONAL_ACCOUNT_SALES,account-based title with sales and office/digital evidence,True,False,4857ed2a8f8533ab,True
107798107,Internal Sales Executive,Rubix,Plymouth,Devon,DIRECT_SALES,"sales-led title: sales executive, internal sales",False,False,9a5d63a38299e489,True
c614b298-cb74-4367-ac59-4a131f9373b4,"Customer Service Adviser - Poole - £27,000",Bond Williams,Poole,Dorset,CUSTOMER_SALES,"customer/service role with sales evidence: sales opportunities, sales experience",False,False,4862b36f539a6727,True
107693325,"Telemarketer - Bournemouth - £30,000 + Uncapped Commission",Bond Williams Limited,Bournemouth,Dorset,DIRECT_SALES,sales-led title: telemarketer,False,False,8d005af324ecbf90,True
107871826,Sales Representative,Everest,Dorchester,Dorset,DIRECT_SALES,sales-led title: sales representative,False,False,c1c3de6f8bcaa02a,True
107776337,Road Logistics Sales Representative,Kuehne+Nagel,Poole,Dorset,DIRECT_SALES,sales-led title: sales representative,False,False,01142ef6efe47806,True
dca638eb-5190-42ca-88ca-f50b5ac8d1a2,Business Development Executive,Adore Recruitment,Basildon,Essex,DIRECT_SALES,sales-led title: business development executive,False,False,228f92a6c73e25e7,True
107830751,Part Time Telemarketer,Employment Specialists,Colchester,Essex,DIRECT_SALES,sales-led title: telemarketer,False,False,54b5a176fc7c157d,True
29fd4ecd-591f-49b5-b19b-db0a6f8197ee,Business Development Executive,Employment Specialists Ltd,Colchester,Essex,DIRECT_SALES,sales-led title: business development executive,False,False,fd17eb8ac8926ff1,True
45e9d7e5-245f-4ebd-8f15-77a6a1555e2f,Part Time Telemarketer,Employment Specialists Ltd,Colchester,Essex,DIRECT_SALES,sales-led title: telemarketer,False,False,17ef037001490180,True
287d42cc-e180-499f-a041-2360f561bb03,Business Development Executive,GreatFind Recruitment,Harlow,Essex,DIRECT_SALES,sales-led title: business development executive,False,False,241b1f5024f74356,True
56cfb4ca-ef24-48d2-96ca-0f7f1d5da2f4,Customer Success Manager,i2i Recruitment Consultancy,Tewkesbury,Gloucestershire,CUSTOMER_SALES,customer/service role with sales evidence: renewals,False,False,6b4f07fde0ad700e,True
32be9bbf-e40c-490f-b38b-64de132b0888,Internal Sales Executive (B2B),Ernest Gordon Recruitment Limited,Not Specified,Gloucestershire,DIRECT_SALES,"sales-led title: sales executive, internal sales",False,False,9b6b348c7641fd33,True
23643_225453895,Internal Sales Coordinator,RE Recruitment,Tewkesbury,Gloucestershire,DIRECT_SALES,sales-led title: internal sales,False,False,981a29a8c50ce8bc,True
ac641109-f013-4662-84cd-636b91351d2e,Sales & Business Development Executive,i2i Recruitment Consultancy,Gloucester,Gloucestershire,DIRECT_SALES,sales-led title: business development executive,False,False,1a4be0cb453c8d43,True
23643_225473515,Temporary Outbound Customer Advisor - Warm Enquiries,Office Angels,Salford,Greater Manchester - Manchester & Salford,CUSTOMER_SALES,"customer/service role with sales evidence: warm enquiries, booked and paid",False,False,1e25c8feef01ac88,True
23643_225489378,Customer Service Representative,Pickfords,Stretford,Greater Manchester - Manchester & Salford,CUSTOMER_SALES,"customer/service role with sales evidence: sales opportunities, upsell",False,False,ab725166e99befa8,True
107799162,Sales Executive - German Speaking,Advancing People Limited,Not Specified,Greater Manchester - Manchester & Salford,DIRECT_SALES,sales-led title: sales executive,False,False,276347ed699b0847,True
fcf2e079-d798-4f6d-8157-849c7b544577,Business Development Executive,Aimee Willow Connex,Manchester,Greater Manchester - Manchester & Salford,DIRECT_SALES,sales-led title: business development executive,False,False,8e1c68b1a493a62f,True
8e8f62b4-86be-43cd-9ab3-410bfe5b9bb1,Sales Executive - Financial Services,CCA Recruitment Group,Manchester,Greater Manchester - Manchester & Salford,DIRECT_SALES,sales-led title: sales executive,False,False,22883e13791bf303,True
23643_225512046,Temporary Outbound Sales Executive,Office Angels,Salford,Greater Manchester - Manchester & Salford,DIRECT_SALES,"sales-led title: sales executive, outbound sales",False,False,f06b48ca05902c4d,True
2b230770-fb76-4188-b2ab-ed1cff7806e2,Client Services Administrator,Hays Specialist Recruitment Limited,Cheadle,Greater Manchester - South,CUSTOMER_SALES,customer/service role with sales evidence: new business,False,False,5c3c1e29bcb64ce5,True
23643_225434313,Customer Support Specialist,Jobwise Ltd,Altrincham,Greater Manchester - South,CUSTOMER_SALES,"customer/service role with sales evidence: warm leads, telesales, cold calling",False,False,a729b29834749c0c,True
12363982-eb5f-4819-9e6f-aa37a5c81ec1,French speaking Customer Service - Golf sector,The Language Business - Language Recruitment Specialists,Basingstoke,Hampshire,CUSTOMER_SALES,"customer/service role with sales evidence: upsell, outbound sales, sales role",False,False,a0ad01e1ac439c04,True
107389072,Business Development Executive,Paragon Marketing,Portsmouth,Hampshire,DIRECT_SALES,sales-led title: business development executive,False,False,8a7bddc6a7fbcebd,True
107759279,Sales Executive,Searchability (UK) Ltd,Fareham,Hampshire,DIRECT_SALES,sales-led title: sales executive,False,False,f3845d078c19bd20,True
23643_225435473,Internal Sales Executive,TRS (Technical Recruitment Solutions),Fareham,Hampshire,DIRECT_SALES,"sales-led title: sales executive, internal sales",False,False,0f2af3bf475bae88,True
ecaf72b2-9d7c-4994-a184-b358c500ec97,German/Hebrew Customer Service,Parkside Office Professional,Watford,Hertfordshire,CUSTOMER_SALES,"customer/service role with sales evidence: sales opportunities, upsell",False,False,5db38d71115e3976,True
d6608522-0f2d-497f-b6a5-9ad1b1c9e549,Business Development Executive,Fortrade,Watford,Hertfordshire,DIRECT_SALES,sales-led title: business development executive,False,False,f4af4459bd72a842,True
220f2187-9d2e-4714-bbe4-82112fdfabac,Electrical SERVICE SALES Executive - Electrical/Electronics Industry,Virtuoso Recruitment Limited,Letchworth Garden City,Hertfordshire,DIRECT_SALES,sales-led title: sales executive,False,False,00001c9dd35cfb76,True
db261fce-bc72-4699-8504-ee766ecc1449,Customer Service Coordinator,Insight Select Ltd,Maidstone,Kent,CUSTOMER_SALES,customer/service role with sales evidence: upsell,False,True,2cc7fd110d7b3a01,True
a04537cd-6891-4560-92f6-9edbd552d487,Commercial Insurance Sales Executive,CKB Recruitment,Gravesend,Kent,DIRECT_SALES,sales-led title: sales executive,False,False,bc96ed122245bfa3,True
107841713,Business Development Executive,Data Careers,Gravesend,Kent,DIRECT_SALES,sales-led title: business development executive,False,False,39389a3cdd7f737b,True
23643_225476712,Business Development Executive,EA First,Maidstone,Kent,DIRECT_SALES,sales-led title: business development executive,False,False,ff27fcd04d49d7bf,True
d70f0134-e88a-41a5-bdb8-f00d0e4a38a6,Business Development Executive,Employal,Tunbridge Wells,Kent,DIRECT_SALES,sales-led title: business development executive,False,False,8a4563f08eeb8355,True
23643_224012114,Account Manager,Blayze Unguem Ltd,City,London,CONDITIONAL_ACCOUNT_SALES,account-based title with sales and office/digital evidence,True,False,e96674c3fb860a01,True
23643_224897599,Account Manager,Buchan and London Recruitment,Not Specified,London,CONDITIONAL_ACCOUNT_SALES,account-based title with sales and office/digital evidence,True,False,5d3f3b6cb5461999,True
7ae6cbfa-cff8-4be0-a58d-c32a3c5e523f,Account Manager / New business,Buchan and London Recruitment Ltd,Not Specified,London,CONDITIONAL_ACCOUNT_SALES,account-based title with sales and office/digital evidence,True,False,e86cb6d9d3e121d5,True
23643_225476170,Account Manager - IT Recruitment,Four Squared Recruitment Ltd,City,London,CONDITIONAL_ACCOUNT_SALES,account-based title with sales and office/digital evidence,True,False,5bac0ef0c7023416,True
0201c38f-0759-4e8b-afe9-886f5032cc78,Account Manager,VCL Vintners,Not Specified,London,CONDITIONAL_ACCOUNT_SALES,account-based title with sales and office/digital evidence,True,False,834334de701ae4f6,True
b7108d2d-f7fb-4cab-96eb-c10fa654f722,Client Service Specialist,Alexander Lloyd,Not Specified,London,CUSTOMER_SALES,customer/service role with sales evidence: renewals,False,False,d3ce0cbb3eaebfa8,True
4dd8d513-8ffd-4e38-846c-a67afb0e54c2,Sales & Customer Service Advisor - No Experience Required,Blackwater Recruitment,Not Specified,London,CUSTOMER_SALES,"customer/service role with sales evidence: commission, close sales, sales role",False,True,1f094cf3ee739594,True
c9f7a00a-95db-4213-b848-09cd5c2b289e,Sales & Customer Service Associate - Immediate Start,Blackwater Recruitment,Harrow,London,CUSTOMER_SALES,customer/service role with sales evidence: commission,False,False,1ba8f418f79561e1,True
20279_60790-d7c6b8836d8aad88b024254f869d65a8,Call Centre Agent,EE,City,London,CUSTOMER_SALES,"customer/service role with sales evidence: commission, uncapped commission, cold calling",False,False,05ee55427a44ff44,False
20279_60790-85269a08ed0b6ec178c60afb43d9fa54,Call Centre Operator,EE,City,London,CUSTOMER_SALES,"customer/service role with sales evidence: commission, uncapped commission, cold calling",False,False,05ee55427a44ff44,True
20279_61775-87702a1e673975e9bbf89c3879ce0d96,Contact Centre Agent,EE,City,London,CUSTOMER_SALES,"customer/service role with sales evidence: commission, uncapped commission, cold calling",False,False,3bc6036e1c0070e9,False
20279_60790-f8145293a99ee8a5fe099e7dc9419d9b,Customer Service Advisor,EE,City,London,CUSTOMER_SALES,"customer/service role with sales evidence: commission, uncapped commission, cold calling",False,False,05ee55427a44ff44,False
20279_61775-bc676c40e9c09bc657b1565a872d1105,Customer Service Advisor,EE,City,London,CUSTOMER_SALES,"customer/service role with sales evidence: commission, uncapped commission, cold calling",False,False,3bc6036e1c0070e9,False
20279_61775-6b97dbbc118795a15440939a53353897,Customer Service Representative,EE,City,London,CUSTOMER_SALES,"customer/service role with sales evidence: commission, uncapped commission, cold calling",False,False,3bc6036e1c0070e9,True
20279_60790-df4eab5dbda5be3eff287c452fdbaf77,Customer Service Representative,EE,City,London,CUSTOMER_SALES,"customer/service role with sales evidence: commission, uncapped commission, cold calling",False,False,05ee55427a44ff44,False
24879_106835890,German or French Speaking Institutional Client Service Relationship Manager,Fisher Investments,City,London,CUSTOMER_SALES,customer/service role with sales evidence: cross-sell,False,False,902320fb741a1463,True
