feed_date,region,family,selected_count
2026-09-07,Bedfordshire,service_admin,13
2026-09-07,Bedfordshire,support_worker,0
2026-09-07,Bedfordshire,customer_sales,0
2026-09-07,Bedfordshire,legal_assistant_paralegal,3
2026-09-07,Bedfordshire,marketing,1
2026-09-07,Bedfordshire,finance_accounts,1
2026-09-07,Bedfordshire,hr_recruitment,2
2026-09-07,Bedfordshire,customer_service_contact_centre,1
2026-09-07,Berkshire,service_admin,20
2026-09-07,Berkshire,support_worker,2
2026-09-07,Berkshire,customer_sales,8
2026-09-07,Berkshire,legal_assistant_paralegal,2
2026-09-07,Berkshire,marketing,16
2026-09-07,Berkshire,finance_accounts,1
2026-09-07,Berkshire,hr_recruitment,2
2026-09-07,Berkshire,customer_service_contact_centre,1
2026-09-07,Bristol & Bath,service_admin,21
2026-09-07,Bristol & Bath,support_worker,0
2026-09-07,Bristol & Bath,customer_sales,8
2026-09-07,Bristol & Bath,legal_assistant_paralegal,4
2026-09-07,Bristol & Bath,marketing,6
2026-09-07,Bristol & Bath,finance_accounts,3
2026-09-07,Bristol & Bath,hr_recruitment,2
2026-09-07,Bristol & Bath,customer_service_contact_centre,5
2026-09-07,Buckinghamshire,service_admin,24
2026-09-07,Buckinghamshire,support_worker,0
2026-09-07,Buckinghamshire,customer_sales,2
2026-09-07,Buckinghamshire,legal_assistant_paralegal,1
2026-09-07,Buckinghamshire,marketing,12
2026-09-07,Buckinghamshire,finance_accounts,2
2026-09-07,Buckinghamshire,hr_recruitment,0
2026-09-07,Buckinghamshire,customer_service_contact_centre,4
2026-09-07,Cambridgeshire,service_admin,11
2026-09-07,Cambridgeshire,support_worker,1
2026-09-07,Cambridgeshire,customer_sales,3
2026-09-07,Cambridgeshire,legal_assistant_paralegal,1
2026-09-07,Cambridgeshire,marketing,5
2026-09-07,Cambridgeshire,finance_accounts,2
2026-09-07,Cambridgeshire,hr_recruitment,0
2026-09-07,Cambridgeshire,customer_service_contact_centre,0
2026-09-07,Cheshire - East,service_admin,10
2026-09-07,Cheshire - East,support_worker,0
2026-09-07,Cheshire - East,customer_sales,5
2026-09-07,Cheshire - East,legal_assistant_paralegal,0
2026-09-07,Cheshire - East,marketing,2
2026-09-07,Cheshire - East,finance_accounts,0
2026-09-07,Cheshire - East,hr_recruitment,0
2026-09-07,Cheshire - East,customer_service_contact_centre,3
2026-09-07,Cheshire - Warrington & Halton,service_admin,4
2026-09-07,Cheshire - Warrington & Halton,support_worker,1
2026-09-07,Cheshire - Warrington & Halton,customer_sales,1
2026-09-07,Cheshire - Warrington & Halton,legal_assistant_paralegal,2
2026-09-07,Cheshire - Warrington & Halton,marketing,0
2026-09-07,Cheshire - Warrington & Halton,finance_accounts,2
2026-09-07,Cheshire - Warrington & Halton,hr_recruitment,1
2026-09-07,Cheshire - Warrington & Halton,customer_service_contact_centre,0
2026-09-07,Cheshire - West,service_admin,9
2026-09-07,Cheshire - West,support_worker,0
2026-09-07,Cheshire - West,customer_sales,1
2026-09-07,Cheshire - West,legal_assistant_paralegal,2
2026-09-07,Cheshire - West,marketing,5
2026-09-07,Cheshire - West,finance_accounts,1
2026-09-07,Cheshire - West,hr_recruitment,1
2026-09-07,Cheshire - West,customer_service_contact_centre,1
2026-09-07,Cornwall,service_admin,2
2026-09-07,Cornwall,support_worker,1
2026-09-07,Cornwall,customer_sales,1
2026-09-07,Cornwall,legal_assistant_paralegal,0
2026-09-07,Cornwall,marketing,0
2026-09-07,Cornwall,finance_accounts,0
2026-09-07,Cornwall,hr_recruitment,0
2026-09-07,Cornwall,customer_service_contact_centre,0
2026-09-07,Cumbria - North,service_admin,2
2026-09-07,Cumbria - North,support_worker,0
2026-09-07,Cumbria - North,customer_sales,0
2026-09-07,Cumbria - North,legal_assistant_paralegal,0
2026-09-07,Cumbria - North,marketing,0
2026-09-07,Cumbria - North,finance_accounts,0
2026-09-07,Cumbria - North,hr_recruitment,0
2026-09-07,Cumbria - North,customer_service_contact_centre,0
2026-09-07,Cumbria - South,service_admin,0
2026-09-07,Cumbria - South,support_worker,1
2026-09-07,Cumbria - South,customer_sales,1
2026-09-07,Cumbria - South,legal_assistant_paralegal,0
2026-09-07,Cumbria - South,marketing,2
2026-09-07,Cumbria - South,finance_accounts,0
2026-09-07,Cumbria - South,hr_recruitment,0
2026-09-07,Cumbria - South,customer_service_contact_centre,0
2026-09-07,Cumbria - West,service_admin,0
2026-09-07,Cumbria - West,support_worker,0
2026-09-07,Cumbria - West,customer_sales,0
2026-09-07,Cumbria - West,legal_assistant_paralegal,0
2026-09-07,Cumbria - West,marketing,0
2026-09-07,Cumbria - West,finance_accounts,0
2026-09-07,Cumbria - West,hr_recruitment,0
2026-09-07,Cumbria - West,customer_service_contact_centre,0
2026-09-07,Derbyshire,service_admin,9
2026-09-07,Derbyshire,support_worker,0
2026-09-07,Derbyshire,customer_sales,4
2026-09-07,Derbyshire,legal_assistant_paralegal,2
2026-09-07,Derbyshire,marketing,2
2026-09-07,Derbyshire,finance_accounts,2
2026-09-07,Derbyshire,hr_recruitment,0
2026-09-07,Derbyshire,customer_service_contact_centre,1
2026-09-07,Devon,service_admin,18
2026-09-07,Devon,support_worker,1
2026-09-07,Devon,customer_sales,7
2026-09-07,Devon,legal_assistant_paralegal,1
2026-09-07,Devon,marketing,6
2026-09-07,Devon,finance_accounts,3
2026-09-07,Devon,hr_recruitment,0
2026-09-07,Devon,customer_service_contact_centre,2
2026-09-07,Dorset,service_admin,14
2026-09-07,Dorset,support_worker,0
2026-09-07,Dorset,customer_sales,5
2026-09-07,Dorset,legal_assistant_paralegal,0
2026-09-07,Dorset,marketing,2
2026-09-07,Dorset,finance_accounts,0
2026-09-07,Dorset,hr_recruitment,0
2026-09-07,Dorset,customer_service_contact_centre,4
2026-09-07,Essex,service_admin,33
2026-09-07,Essex,support_worker,0
2026-09-07,Essex,customer_sales,5
2026-09-07,Essex,legal_assistant_paralegal,5
2026-09-07,Essex,marketing,6
2026-09-07,Essex,finance_accounts,6
2026-09-07,Essex,hr_recruitment,1
2026-09-07,Essex,customer_service_contact_centre,5
2026-09-07,Gloucestershire,service_admin,25
2026-09-07,Gloucestershire,support_worker,0
2026-09-07,Gloucestershire,customer_sales,7
2026-09-07,Gloucestershire,legal_assistant_paralegal,0
2026-09-07,Gloucestershire,marketing,7
2026-09-07,Gloucestershire,finance_accounts,3
2026-09-07,Gloucestershire,hr_recruitment,0
2026-09-07,Gloucestershire,customer_service_contact_centre,4
2026-09-07,Greater Manchester - Manchester & Salford,service_admin,28
2026-09-07,Greater Manchester - Manchester & Salford,support_worker,2
2026-09-07,Greater Manchester - Manchester & Salford,customer_sales,24
2026-09-07,Greater Manchester - Manchester & Salford,legal_assistant_paralegal,5
2026-09-07,Greater Manchester - Manchester & Salford,marketing,17
2026-09-07,Greater Manchester - Manchester & Salford,finance_accounts,5
2026-09-07,Greater Manchester - Manchester & Salford,hr_recruitment,2
2026-09-07,Greater Manchester - Manchester & Salford,customer_service_contact_centre,3
2026-09-07,Greater Manchester - North,service_admin,3
2026-09-07,Greater Manchester - North,support_worker,0
2026-09-07,Greater Manchester - North,customer_sales,0
