decision,region,title,manual_override,manual_select,remaining_slots,selection_status,possible_selection_rank,town,title_classification,selection_scenario,employment_type,salary_text,salary_source,salary_review_status,annual_salary_upper,regional_salary_review_point,geo_source,description_preview,context_policy,context_status,context_reason,title_priority,review_status,classification_reason,reason,apply_url_present,job_id,description_present,excel_row,region_selection_message
SELECTED,Yorkshire - West,Residential Support Worker,,,,SELECTED,,Huddersfield,ELASTIC_FIT,SCENARIO_4_BELOW_PUBLISH_THRESHOLD,Permanent,£27976 per year (+£60 per sleep-in)),structured,ok,27976.0,30000.0,area,"About The Role Are you a Life Changer? Do you want to lean in and transform the life of a child? Compass Community puts children first through our therapeutic, innovative approach. Integrity, Courage and Care shape how we work. We listen deeply, challenge each other and fix what needs fixing, together. This is the work. And we d like you to be part...",,ok,,2,STABLE,title register: demoted from HC in V10 cleanup: elastic modifier: residential,title classification: ELASTIC_FIT - title register: demoted from HC in V10 cleanup: elastic modifier: residential,yes,1401783851,yes,13,Yorkshire - West selection below publish threshold: 5/6 credible roles. Do not publish/refresh this slice from this run.
SELECTED,Yorkshire - West,Children's Residential Support Worker,,,,SELECTED,,Wakefield,ELASTIC_FIT,SCENARIO_4_BELOW_PUBLISH_THRESHOLD,Permanent,"£3,840 per year",description_fallback,ok,3840.0,30000.0,area,"£34,274 - £40,640 assuming good attendance and up to 4 sleep ins per month Those huge small victories Working in our Children's Homes means being a part of a young person's day to day life. This means being there for the highest highs and lowest lows. Our support workers enable our young people to get their childhood back and create pathways to bec...",,ok,,2,STABLE,title register: demoted from HC in V10 cleanup: elastic modifier: residential,title classification: ELASTIC_FIT - title register: demoted from HC in V10 cleanup: elastic modifier: residential,yes,25362_JR104910,yes,1867,Yorkshire - West selection below publish threshold: 5/6 credible roles. Do not publish/refresh this slice from this run.
SELECTED,Yorkshire - West,Children's Residential Support Worker,,,,SELECTED,,Bradford,ELASTIC_FIT,SCENARIO_4_BELOW_PUBLISH_THRESHOLD,Permanent,"£3,840 per year",description_fallback,ok,3840.0,30000.0,area,"£34,274 - £40,640 assuming good attendance and up to 4 sleep ins per month Those huge small victories Working in our Children's Homes means being a part of a young person's day to day life. This means being there for the highest highs and lowest lows. Our support workers enable our young people to get their childhood back and create pathways to bec...",,ok,,2,STABLE,title register: demoted from HC in V10 cleanup: elastic modifier: residential,title classification: ELASTIC_FIT - title register: demoted from HC in V10 cleanup: elastic modifier: residential,yes,25362_JR104865,yes,1870,Yorkshire - West selection below publish threshold: 5/6 credible roles. Do not publish/refresh this slice from this run.
SELECTED,Yorkshire - West,Complex care assistant,,,,SELECTED,,Holmfirth,ELASTIC_FIT,SCENARIO_4_BELOW_PUBLISH_THRESHOLD,Contract,£29350 per year,structured,ok,29350.0,30000.0,area,"Routes Healthcare does not offer sponsorship Complex Care Assistant Location: New Mill Pay Rate: £15.00 per hour (including holiday pay) + Fully funded Enhanced DBS and guaranteed hours available after successful probation Shifts: 12 h days and nights 8 AM - 8 PM and 8 PM - 8 AM Tuesday to Friday IMPORTANT: Unfortunately, Routes are unable to offer...",,ok,,2,STABLE,title register: demoted from HC in V10 cleanup: elastic modifier: complex care,title classification: ELASTIC_FIT - title register: demoted from HC in V10 cleanup: elastic modifier: complex care,yes,107651994,yes,2373,Yorkshire - West selection below publish threshold: 5/6 credible roles. Do not publish/refresh this slice from this run.
SELECTED,Yorkshire - West,Bank Support Worker,,,,SELECTED,,Bradford,ELASTIC_FIT,SCENARIO_4_BELOW_PUBLISH_THRESHOLD,Temporary,£13 per hour,structured,ok,25350.0,30000.0,area,"Helping others improve and turn their lives around - there's no better feeling. It's what we do for thousands of people at more than 150 sites across the UK. Be a part of it. We are looking for a confident Bank Support Worker with a passion for delivering outstanding care. You'll have the opportunity to work bank shifts (Covering Days, Nights and W...",,ok,,2,STABLE,title register: demoted from HC in V10 cleanup: elastic modifier: bank,title classification: ELASTIC_FIT - title register: demoted from HC in V10 cleanup: elastic modifier: bank,yes,466dc4dd-84eb-409d-8343-113870860501,yes,2459,Yorkshire - West selection below publish threshold: 5/6 credible roles. Do not publish/refresh this slice from this run.
POSS - YORKSHIRE - WEST,Yorkshire - West,Live-in Personal Care Assistant - History and Sociology Student,,,,POSSIBLE_SELECTION,1,Leeds,HIGH_CONFIDENCE,SCENARIO_4_BELOW_PUBLISH_THRESHOLD,Permanent,£170 per daily,structured,review,44200.0,30000.0,area,"Live-in Personal Care Assistant -History and Sociology Student Are you looking for a meaningful role where you can make a real difference? Ask Jules are looking for a team of likeminded PAs to support our client, a History & Sociology student, who will be attending the University of Leeds from September click apply for full job details",,ok,,1,STABLE,high-confidence title pattern: care assistant,"manual review required: title classification: HIGH_CONFIDENCE - high-confidence title pattern: care assistant; manual review required: annualised upper salary £44,200 exceeds regional review point £30,000",yes,107751768,yes,1446,Yorkshire - West selection below publish threshold: 5/6 credible roles. Do not publish/refresh this slice from this run.
POSS - YORKSHIRE - WEST,Yorkshire - West,Complex Care Assistant,,,,POSSIBLE_SELECTION,2,Huddersfield,ELASTIC_FIT,SCENARIO_4_BELOW_PUBLISH_THRESHOLD,Contract,£14.24 - £16 per hour (+ INC holiday pay),structured,review,31200.0,30000.0,area,"Routes Healthcare does not offer sponsorship Complex Care assistant Locations: Leeds, Bradford, Wakefield & Halifax Pay: £14.24 to £16.00 per hour (including holiday pay, dependent on experience and complexity of care) + 30p per mile mileage allowance ,Fully funded Enhanced DBS guaranteed hours available after successful probation Shifts: A variety...",,ok,,2,STABLE,title register: demoted from HC in V10 cleanup: elastic modifier: complex care,"manual review required: title classification: ELASTIC_FIT - title register: demoted from HC in V10 cleanup: elastic modifier: complex care; manual review required: annualised upper salary £31,200 exceeds regional review point £30,000",yes,107728806,yes,300,Yorkshire - West selection below publish threshold: 5/6 credible roles. Do not publish/refresh this slice from this run.
POSS - YORKSHIRE - WEST,Yorkshire - West,Complex Care Assistant,,,,POSSIBLE_SELECTION,3,Halifax,ELASTIC_FIT,SCENARIO_4_BELOW_PUBLISH_THRESHOLD,Contract,£14.24 - £16 per hour (+ INC holiday pay),structured,review,31200.0,30000.0,area,"Routes Healthcare does not offer sponsorship Complex Care assistant Locations: Leeds, Bradford, Wakefield & Halifax Pay: £14.24 to £16.00 per hour (including holiday pay, dependent on experience and complexity of care) + 30p per mile mileage allowance Fully funded Enhanced DBS , guaranteed hours available after successful probation Shifts: A variet...",,ok,,2,STABLE,title register: demoted from HC in V10 cleanup: elastic modifier: complex care,"manual review required: title classification: ELASTIC_FIT - title register: demoted from HC in V10 cleanup: elastic modifier: complex care; manual review required: annualised upper salary £31,200 exceeds regional review point £30,000",yes,107728647,yes,1477,Yorkshire - West selection below publish threshold: 5/6 credible roles. Do not publish/refresh this slice from this run.
SELECTED,Yorkshire - South,Healthcare Assistant,,,,SELECTED,,Doncaster,HIGH_CONFIDENCE,SCENARIO_4_BELOW_PUBLISH_THRESHOLD,Temporary,£14.24 per hour,description_fallback,ok,27768.0,30000.0,area,"Join our dynamic team at Seven Resourcing as a Healthcare Assistant (HCA) specialising in Medication, located in DN4 6 AH. Our ongoing contracts offer flexibility and exciting opportunities within one of our trusted healthcare clients. Enjoy competitive hourly rates that reward your skills and dedication. Pay, shifts and working pattern: - WeekDay:...",,ok,,1,STABLE,title register: care assistant/worker frontline wording,title classification: HIGH_CONFIDENCE - title register: care assistant/worker frontline wording,yes,f3f8e2ad-deef-4db9-9895-23e53030230f,yes,74,Yorkshire - South selection below publish threshold: 5/6 credible roles. Do not publish/refresh this slice from this run.
SELECTED,Yorkshire - South,Therapeutic Family Support Worker / Parenting Practitioner,,,,SELECTED,,Barnsley,HIGH_CONFIDENCE,SCENARIO_4_BELOW_PUBLISH_THRESHOLD,Temporary,£18 per hour,structured,ok,35100.0,30000.0,area,"Therapeutic Family Support Worker Location: Barnsley (S71)Pay: £18 per hourType: Agency (12-week structured intervention) About the RoleWe are seeking experienced and confident Therapeutic Family Support Workers / Parenting Practitioners to support an edge-of-care placement supporting a family in their home in Barnsley. This is a high-impact, relat...",family_direct_support,ok,family support role has no explicit statutory barrier,1,STABLE,high-confidence title pattern: support worker,title classification: HIGH_CONFIDENCE - high-confidence title pattern: support worker,yes,6468034e-9a40-4583-adf5-d5ba5eed0237,yes,376,Yorkshire - South selection below publish threshold: 5/6 credible roles. Do not publish/refresh this slice from this run.
