feed_date,total_jobs,published_jobg8_jobs,jobg8_category,count,published_count
2026-09-03,10000,1463,Sales & Marketing,2380,273
2026-09-03,10000,1463,I.T. & Communications,1675,38
2026-09-03,10000,1463,Administration,1329,701
2026-09-03,10000,1463,Healthcare & Medical,878,51
2026-09-03,10000,1463,Call Centre / CustomerService,834,243
2026-09-03,10000,1463,Accounting,429,23
2026-09-03,10000,1463,Banking & Financial Services,396,10
2026-09-03,10000,1463,Legal,358,35
2026-09-03,10000,1463,HR / Recruitment,340,30
2026-09-03,10000,1463,Retail & Consumer Products,337,10
2026-09-03,10000,1463,Real Estate & Property,229,11
2026-09-03,10000,1463,Consulting & Corporate Strategy,209,7
2026-09-03,10000,1463,Insurance & Superannuation,183,23
2026-09-03,10000,1463,Executive Positions,161,0
2026-09-03,10000,1463,Advert / Media / Entertainment,153,7
2026-09-03,10000,1463,Science & Technology,109,1
