report_date,total_live_jobs,jobg8_jobs,external_jobs,nejobs_jobs,nhs_jobs_jobs,teaching_vacancies_jobs,vonne_jobs
2026-08-02,106,91,15,15,0,0,0
2026-08-03,117,99,18,13,0,0,5
2026-08-04,146,122,24,13,0,6,5
2026-08-05,123,99,24,13,0,6,5
2026-08-06,130,107,23,12,0,6,5
2026-08-07,215,131,84,12,0,67,5
2026-08-08,226,145,81,11,0,65,5
2026-08-09,228,147,81,11,0,65,5
2026-08-10,220,146,74,8,0,61,5
2026-08-11,269,199,70,6,0,59,5
2026-08-12,774,706,68,5,0,58,5
2026-08-13,849,701,148,5,0,140,3
2026-08-14,962,826,136,5,0,128,3
2026-08-15,1016,883,133,5,0,125,3
2026-08-16,1012,879,133,5,0,125,3
2026-08-17,1056,909,147,3,0,142,2
2026-08-18,1120,976,144,3,0,139,2
2026-08-19,1312,1144,168,33,0,133,2
2026-08-20,1336,1169,167,32,0,131,4
2026-08-21,1577,1151,426,27,277,118,4
