region,cap,selected_total,selected_high_confidence,selected_anchor_elastic,selected_other_elastic,possible_candidates,remaining_slots,credible_total,anchor_town,scenario,message
Yorkshire - West,,2,1,0,1,0,,2,Leeds,SCENARIO_4_BELOW_PUBLISH_THRESHOLD,Yorkshire - West selection below publish threshold: 2/6 credible roles. Do not publish/refresh this slice from this run.
Yorkshire - South,,2,1,0,1,0,,2,Sheffield,SCENARIO_4_BELOW_PUBLISH_THRESHOLD,Yorkshire - South selection below publish threshold: 2/6 credible roles. Do not publish/refresh this slice from this run.
North East,,4,1,0,3,0,,4,Newcastle Upon Tyne,SCENARIO_4_BELOW_PUBLISH_THRESHOLD,North East selection below publish threshold: 4/6 credible roles. Do not publish/refresh this slice from this run.
Sussex,,7,6,0,1,0,,7,Brighton,SCENARIO_3_MANUAL_SELECTION_APPLIED,Sussex manual_select applied additively: 1 row(s) prioritised; 7 selected.
Cumbria - South,,0,0,0,0,0,,0,Barrow-in-Furness,SCENARIO_4_BELOW_PUBLISH_THRESHOLD,Cumbria - South selection below publish threshold: 0/6 credible roles. Do not publish/refresh this slice from this run.
Hampshire,,9,9,0,0,0,,9,Southampton,SCENARIO_1_COMPLETE_HC_ONLY,Hampshire selection complete: HIGH_CONFIDENCE roles selected.
Kent,,7,2,0,5,0,,7,Maidstone,SCENARIO_3_COMPLETE_WITH_OTHER_ELASTIC,"Kent selection complete: 7 selected after HIGH_CONFIDENCE, Maidstone ELASTIC_FIT, and other ELASTIC_FIT roles."
London,,16,13,1,2,0,,16,London,SCENARIO_3_MANUAL_SELECTION_APPLIED,London manual_select applied additively: 4 row(s) prioritised; 16 selected.
Oxfordshire,,10,6,3,1,0,,10,Oxford,SCENARIO_3_COMPLETE_WITH_OTHER_ELASTIC,"Oxfordshire selection complete: 10 selected after HIGH_CONFIDENCE, Oxford ELASTIC_FIT, and other ELASTIC_FIT roles."
Surrey,,4,3,0,1,0,,4,Guildford,SCENARIO_4_BELOW_PUBLISH_THRESHOLD,Surrey selection below publish threshold: 4/6 credible roles. Do not publish/refresh this slice from this run.
Wiltshire,,8,8,0,0,0,,8,Swindon,SCENARIO_1_COMPLETE_HC_ONLY,Wiltshire selection complete: HIGH_CONFIDENCE roles selected.
