region,days_observed,latest_feed_date,latest_count,average_count,median_count,minimum_count,maximum_count,days_with_1_plus,days_with_4_plus,days_with_6_plus,recent_counts,evidence_grade
Merseyside - Liverpool,7,2026-08-24,6,5.57,6,4,6,7,7,5,4 / 5 / 6 / 6 / 6 / 6 / 6,STRONG_REVIEW_CANDIDATE
Yorkshire - West,7,2026-08-24,3,3.71,3,3,5,7,3,0,5 / 5 / 4 / 3 / 3 / 3 / 3,THIN
Bristol & Bath,7,2026-08-24,3,3.0,3,3,3,7,0,0,3 / 3 / 3 / 3 / 3 / 3 / 3,THIN
Staffordshire,7,2026-08-24,3,3.0,3,2,4,7,1,0,2 / 4 / 3 / 3 / 3 / 3 / 3,THIN
Norfolk,7,2026-08-24,3,1.71,1,1,3,7,0,0,1 / 1 / 1 / 1 / 2 / 3 / 3,THIN
Northamptonshire,7,2026-08-24,2,2.0,2,0,3,6,0,0,2 / 3 / 3 / 2 / 2 / 0 / 2,THIN
Oxfordshire,7,2026-08-24,2,2.0,2,1,3,7,0,0,2 / 2 / 3 / 1 / 2 / 2 / 2,THIN
Kent,7,2026-08-24,2,1.86,2,1,2,7,0,0,1 / 2 / 2 / 2 / 2 / 2 / 2,THIN
Essex,7,2026-08-24,2,1.43,1,1,2,7,0,0,1 / 1 / 1 / 1 / 2 / 2 / 2,THIN
Buckinghamshire,7,2026-08-24,1,1.0,1,1,1,7,0,0,1 / 1 / 1 / 1 / 1 / 1 / 1,THIN
Cambridgeshire,7,2026-08-24,1,1.0,1,1,1,7,0,0,1 / 1 / 1 / 1 / 1 / 1 / 1,THIN
Leicestershire,7,2026-08-24,1,1.0,1,1,1,7,0,0,1 / 1 / 1 / 1 / 1 / 1 / 1,THIN
Gloucestershire,7,2026-08-24,1,0.57,1,0,1,4,0,0,0 / 0 / 0 / 1 / 1 / 1 / 1,THIN
Greater Manchester - Manchester & Salford,7,2026-08-24,0,1.0,0,0,3,3,0,0,3 / 3 / 1 / 0 / 0 / 0 / 0,THIN
West Midlands - Birmingham & Solihull,7,2026-08-24,0,0.71,0,0,2,3,0,0,2 / 2 / 1 / 0 / 0 / 0 / 0,THIN
Yorkshire - North,7,2026-08-24,0,0.43,0,0,1,3,0,0,1 / 1 / 1 / 0 / 0 / 0 / 0,THIN
London,7,2026-08-24,0,0.29,0,0,1,2,0,0,1 / 1 / 0 / 0 / 0 / 0 / 0,THIN
Scotland West - Glasgow,7,2026-08-24,0,0.29,0,0,1,2,0,0,1 / 1 / 0 / 0 / 0 / 0 / 0,THIN
Bedfordshire,7,2026-08-24,0,0.0,0,0,0,0,0,0,0 / 0 / 0 / 0 / 0 / 0 / 0,THIN
Berkshire,7,2026-08-24,0,0.0,0,0,0,0,0,0,0 / 0 / 0 / 0 / 0 / 0 / 0,THIN
Cheshire - East,7,2026-08-24,0,0.0,0,0,0,0,0,0,0 / 0 / 0 / 0 / 0 / 0 / 0,THIN
Cheshire - Warrington & Halton,7,2026-08-24,0,0.0,0,0,0,0,0,0,0 / 0 / 0 / 0 / 0 / 0 / 0,THIN
Cheshire - West,7,2026-08-24,0,0.0,0,0,0,0,0,0,0 / 0 / 0 / 0 / 0 / 0 / 0,THIN
Cornwall,7,2026-08-24,0,0.0,0,0,0,0,0,0,0 / 0 / 0 / 0 / 0 / 0 / 0,THIN
Cumbria - North,7,2026-08-24,0,0.0,0,0,0,0,0,0,0 / 0 / 0 / 0 / 0 / 0 / 0,THIN
Cumbria - South,7,2026-08-24,0,0.0,0,0,0,0,0,0,0 / 0 / 0 / 0 / 0 / 0 / 0,THIN
Cumbria - West,7,2026-08-24,0,0.0,0,0,0,0,0,0,0 / 0 / 0 / 0 / 0 / 0 / 0,THIN
Derbyshire,7,2026-08-24,0,0.0,0,0,0,0,0,0,0 / 0 / 0 / 0 / 0 / 0 / 0,THIN
Devon,7,2026-08-24,0,0.0,0,0,0,0,0,0,0 / 0 / 0 / 0 / 0 / 0 / 0,THIN
Dorset,7,2026-08-24,0,0.0,0,0,0,0,0,0,0 / 0 / 0 / 0 / 0 / 0 / 0,THIN
Greater Manchester - North,7,2026-08-24,0,0.0,0,0,0,0,0,0,0 / 0 / 0 / 0 / 0 / 0 / 0,THIN
