display_reference,title,area,location,ontap_geo_cluster,assessable_market,in_uk_market_universe,jobg8_classification,salary_minimum_raw,salary_maximum_raw,salary_period,annualised_minimum_estimate,annualised_maximum_estimate,description_annualised_maximum_estimate,salary_evidence_source,salary_bucket,discovery_source,description_signal_count,description_signals,provisional_decision,provisional_reason,description_excerpt,content_dedupe_key,dedupe_key,is_duplicate,is_content_duplicate
23643_225499816,Account Coordinator,Hull,Yorkshire,Yorkshire - East,Yorkshire - East,YES,Administration,27700.00,27700.00,Annual,27700.0,27700.0,,structured,£25k–£30k,TITLE,0,,OUT_SPECIALIST,specialist/senior title boundary,"Candidate Consultant (Account Coordinator)<br><br><p><br><strong>Location:</strong> Hull <br> <strong>Salary:</strong> 27,700 per annum<br> <strong>Hours:</strong> 40 hours per week<br> <strong>Contract:</strong> Full Time, Permanent</p><br><br>Join the Stafforce Team<br><br><p><br>At Stafforce, we're passionate about connecting people with opportunities and helping our clients build reliable, skilled workforces. We are looking for a proactive and organised <strong>Candidate Consultant (Account Coordinator)</strong> to join our team, supporting a number of key client accounts across the Hull area. <br>This is a varied, fast-paced role where no two days are the same. You'll play a vital part ",9f86ff3ff0f01cc6,ref:23643_225499816,False,False
23643_225500810,Interim Finance Director,Hilsea,Hampshire,Hampshire,Hampshire,YES,Accounting,260.00,360.00,Daily,,,,missing,missing/unknown,TITLE,0,,OUT_SPECIALIST,specialist/senior title boundary,"<p>An established charity in the Havant, Hampshire area is seeking an Interim Finance Director/Head of Finance for a period of c3 months to cover sickness. This role will report to the Board and work either 3-5 days per week, supporting the small finance team and supporting leadership decisions. <br><br><strong>What will the Interim Finance Director role involve?</strong></p><ul> <li>Assisting with all aspects of financial planning, budgeting management accounts and annual reporting processes</li><li>Supporting the preparation of all financial and statutory returns including HMRC requirements and charity SORP and management of the external audit process and other professional consultancy rel",d45c3a04f00f00ab,ref:23643_225500810,False,False
23643_225501870,Finance Business Partner,City,Leeds,Yorkshire - West,Yorkshire - West,YES,Banking & Financial Services,55000.00,60000.00,Annual,55000.0,60000.0,,structured,">£45,000 OUT",TITLE,0,,OUT_SALARY,"annualised salary exceeds £45,000","<p>Michael Page are actively working with a long standing client who are looking for a Qualified Finance Business Partner to join the team in East Leeds on a permanent basis. My client is looking for an analytical individual to drive business performance, support informed decision-making and identify opportunities to improve efficiency, productivity and profitability.</p><p><strong>Client Details</strong></p><p>Michael Page are actively working with a long standing client who are looking for a Qualified Finance Business Partner to join the team in East Leeds on a permanent basis. My client is looking for an analytical individual to drive business performance, support informed decision-making",bfd70db5b10a07cf,ref:23643_225501870,False,False
23643_225505000,Finance Transformation Manager - ERP Lead,City,Manchester,Greater Manchester - Manchester & Salford,Greater Manchester - Manchester & Salford,YES,Banking & Financial Services,500.00,600.00,Daily,,,,missing,missing/unknown,TITLE,0,,OUT_SPECIALIST,specialist/senior title boundary,"<p><strong>Your new company</strong><strong> </strong><br>A large organisation is undertaking a major finance transformation programme to modernise its financial processes, systems and operating model. As part of this significant change initiative, they are seeking an experienced finance professional to support the design and implementation of a new Project Accounting framework within a complex and evolving environment.<br><br><strong>Your new role</strong><strong> </strong><br>As the ERP Finance Process Lead, you will play a key role in shaping the future Project Accounting model, working closely with finance leaders, subject matter experts, programme teams and business change colleagues. Y",9d61a19b7ea01923,ref:23643_225505000,False,False
107861879,Audit and Accounts Semi Senior,Stockton-on-tees,County Durham,North East - Tees Valley,North East,YES,Accounting,30000.00,30000.00,Annual,30000.0,30000.0,,structured,£25k–£30k,TITLE,0,,OUT_SPECIALIST,specialist/senior title boundary,"<b>Audit and Accounts Semi Senior</b> <br /> A fantastic opportunity has arisen to join a very reputable and ever growing/ evolving firm in Stockton. <br /><br /> This long standing / professional accountancy firm would offer you unrivalled support and training to help you reach your goals. <br /><br /> They are looking for an enthusiastic and candidate with experience in the practice sector to work with their team on audits and year end a click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?UzhMt9n%2bTsTL9THOMHXaEjRXtNZcFhKjm"" width=""0"" height=""0"" />",cf0809151be8c048,ref:107861879,False,False
23643_225508496,Interim Finance Manager,Maidstone,Kent,Kent,Kent,YES,Banking & Financial Services,65000.00,75000.00,Annual,65000.0,75000.0,,structured,">£45,000 OUT",TITLE,0,,OUT_SALARY,"annualised salary exceeds £45,000","<p><strong> 65,000 - 75, Month Contract (Initally starting 5 days a week, reducing to 2 days from March 2027 Maidstone, Kent </strong></p><p>MorePeople are working with a well established business within the fresh produce sector to recruit an experienced Interim Finance Manager.</p><p>This is a broad, senior role combining financial leadership with responsibility for HR and administration. Reporting to the Managing & Sales Director, you will take ownership of the finance function, provide commercial insight to the senior leadership team and Board, and lead a small finance and administration team. The business is also going through a period of significant transition, so the role will play an ",0096c0908656fecf,ref:23643_225508496,False,False
23643_225508363,Finance Manager,Naseby,Northamptonshire,Northamptonshire,Northamptonshire,YES,Banking & Financial Services,38000.00,42000.00,Annual,38000.0,42000.0,,structured,£30k–£40k,TITLE,4,purchase ledger; sales ledger; invoice processing; credit control,OUT_SPECIALIST,specialist/senior title boundary,"Finance Manager (PQ OR QBE)<br> 38,000 - 42,000 per annum<br>Monday to Friday 08.30 - 17.00<br>Naseby, Northamptonshire<br><br>Are you looking for a role where you have full control over finance?<br>Do you have experience working within SME or Owner Managed businesses?<br><br>Then this is the role for you! We are currently working with an organisation who is rapidly growing and looking to bring in an experienced candidate to run their company finances. This role is currently a stand alone position but may bring management responsibilities as the company grows. As this is a stand alone position you must be happy covering from Purchase Ledger up to Trial Balance. <br><br>So what would you be d",f01d0609e96c6284,ref:23643_225508363,False,False
23643_225507237,Financial Controller,Hailsham,Sussex,Sussex,Sussex,YES,Banking & Financial Services,,,Annual,,,,missing,missing/unknown,TITLE,0,,OUT_SPECIALIST,specialist/senior title boundary,"Financial Controller <br>Strategic Finance Leadership Opportunity <br>Salary: Excellent (negotiable) + Benefits<br><br><strong>The Opportunity</strong><br> <br> We are working on behalf of our client to recruit an experienced Financial Controller. You will lead the finance function, provide strategic guidance to the leadership team and ensure robust financial control and compliance across the business.<br><br><strong>Job Purpose/Primary Objective</strong><br> <ul> <li>Leading the Finance function.</li> <li>Ensure accurate reflection of the business activities according to the agreed accounting standards</li> <li>Be part of the management team and provide strategic guidance to operations, sal",0d7088796fc497f9,ref:23643_225507237,False,False
23643_225506308,Internal Account Manager,Chesterfield,Derbyshire,Derbyshire,Derbyshire,YES,Administration,35000.00,42000.00,Annual,35000.0,42000.0,,structured,£30k–£40k,TITLE,0,,OUT_SPECIALIST,specialist/senior title boundary,"<p><strong>Salary:</strong> 35,000 - 42,000 DOE + Bonus<br><strong>Hours:</strong> Monday to Friday, 8:00am - 5:00pm<br><strong>Location:</strong> Office-based<br><strong>Benefits:</strong> Bonus scheme / On-site parking / Food provisions / Genuine progression opportunities as the business grows / High levels of autonomy and responsibility.</p><p><strong>The Opportunity</strong></p><p>We are recruiting on behalf of a growing, ambitious SME that designs and manufactures bespoke point-of-sale display solutions for leading brands across the UK.</p><p>This is an excellent opportunity for an experienced Account Manager who enjoys building relationships, growing customer spend, and taking ownershi",79bba2d8f24abbcf,ref:23643_225506308,False,False
23643_225380880,Finance Team Leader,Haddenham,Buckinghamshire,Buckinghamshire,Buckinghamshire,YES,Accounting,40000.00,45000.00,Annual,40000.0,45000.0,,structured,"£40k–£45,000",TITLE,0,,OUT_SPECIALIST,specialist/senior title boundary,"<p><strong>Brief Summary</strong></p> <p>Are you an experienced finance professional ready to take the next step in your career?</p> <p>We're recruiting a <strong>Finance Team Leader / Finance Supervisor</strong> to join a well-established business in Aylesbury. This is a fantastic opportunity for someone with strong accounting knowledge who enjoys leading by example while remaining hands-on in the day-to-day running of the finance function.</p> <p>Working Monday to Friday, you'll support the finance team, ensure accurate financial reporting and play a key role in maintaining high accounting standards.</p> <p></p> <p><strong>The Role</strong></p> <ul> <li>Support and supervise the day-to-day",df5d8aa0b6878d3c,ref:23643_225380880,False,False
