market,display_reference,title,decision,reason,salary_bucket,jobg8_classification,description_excerpt
Yorkshire - North,107756247,Finance & HR Manager,BORDERLINE,mixed/ambiguous title requires advert-context review,£25k–£30k,HR / Recruitment,"<p><strong>Job Title: HR & Finance Manager</strong><br><strong>Location: Harrogate </strong><br><strong>Working Hours: Part time, minimum of 22.5 hours, can be 3 days a week, or spread across 5 days</strong><br><strong>Package: £28,000-£32,000 for 22.5 hours a week</strong></p><p>An exciting position has arisen for a Finance & HR Manager, to join a well establish specialist engineering company in Harrogate click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?1tcg6Aj2zaz9JjDYyfHLtFVQaDr9MoeFb"" width=""0"" height=""0"" />"
Yorkshire - North,23643_225250555,Customer Account Manager,OUT_SPECIALIST,specialist/senior title boundary,£25k–£30k,Sales & Marketing,"<p><strong>Customer Account Manager</strong></p> <p>Offering Circa. £26,000 Basic Salary plus Realistic OTE £35,000 & Great Benefits</p> <p></p> <p>Our client is an established manufacturing facility based in the Harrogate area. Due to continued growth, they are now recruiting a Customer Account Manager to join their established customer sales team. The successful candidate will be responsible for proactively contacting existing clients and responding to warm leads provided, speaking with customers to understand their requirements, on request providing product and pricing information, and helping customers to complete orders.</p> <p></p> <p><strong>Customer Account Manager Key Responsibiliti"
Yorkshire - North,107825256,Trainee Payroll Administrator,LIKELY_IN,family title is a strong inclusion signal,missing/unknown,Accounting,"<p><strong>Job Title: Trainee Payroll Administrator</strong></p> <p><strong>Location: York, YO19</strong></p> <p>Looking for a career where your ambition meets real opportunity? <strong>Join Persimmon Homes as Trainee Payroll Administrator </strong>and step into a role where your success is celebrated, your growth supported, and your work truly matters click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?UzhMt9n%2bTsTyHJaL4Q7dS7i8bONUBLdQm"" width=""0"" height=""0"" />"
Yorkshire - North,1661427,Head of Finance,OUT_SPECIALIST,specialist/senior title boundary,£30k–£40k,Accounting,"<p>We are Age UK York, a local independent charity which exists to support the older people of York and those around them. For over 50 years our team of staff, volunteers and supporters have helped us to offer a wide range of services providing vital and trusted support so often when it is needed most.</p> <p> </p> <p>Our vital work is needed today as much as ever and we ever welcome people to join our team as together we realise our shared mission of making a positive difference to the lives of the older people of York.</p> <p> </p> <p><strong>Job Summary:</strong></p> <p>Would you like to make a life changing difference in support of local people and communities in need here in York? Can y"
Yorkshire - North,107830353,Trusts and Tax Accounts Administrator,OUT_SPECIALIST,specialist/senior title boundary,<£25k,Banking & Financial Services,"<p> Are you looking for a <b>Trust and Tax Accounts job</b> in <b>York </b>where you can use your experience of trusts, estates and tax within a highly regarded legal firm? </p><p> Would you like to join a supportive and specialist Tax and Trusts team where your attention to detail, technical knowledge and client-focused approach will be genuinely valued? </p><p> We are working with an established firm of solicitors who have a click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?ju9emE%2fz0VL0nNaQXvJ87EZ6AHNwikQyw"" width=""0"" height=""0"" />"
Yorkshire - North,107798868,Finance Operations Manager,OUT_SALARY,"annualised salary exceeds £45,000",">£45,000 OUT",Banking & Financial Services,"<p><b>Finance Operations Manager </b></p><p><b>Location:</b> Hybrid/ Office based York <br /><b>Salary:</b> £50,244 gross per annum<br /><b>Contract:</b> Full Time, Permanent <br /><b>Hours:</b> 35 hours per week</p><p><b>Applications close on Monday 24th August at 9am. Online interviews will take place w/c 31st August.</b></p><p><b>Benefits:</b></p><p> A generous pension plan with USS<br /> Enhanced family leave benefits<br /> 31 days' annual leave, plus bank holidays<br /> Flexible working hours<br /> Hybrid work<br /> E click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?wTAUM266l6dVlgSjPI5cKx0N47Tb1qcoh"" width=""0"" height=""0"" />"
Yorkshire - North,107838265,Payroll Administrator,LIKELY_IN,family title is a strong inclusion signal,missing/unknown,Accounting,"<p><strong> Job Title: Payroll Administrator </strong></p> <p><strong> Location: York, YO19 </strong></p> <p> Looking for a career where your ambition meets real opportunity? <strong>Join Persimmon Homes as Payroll Administrator </strong>and step into a role where your success is celebrated, your growth supported, and your work truly matters click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?mDcEDJmYTbzBCRXqE2yy8Gy6pQNxkQEAt"" width=""0"" height=""0"" />"
Yorkshire - North,107833079,Invoicing Administrator,LIKELY_IN,family title is a strong inclusion signal,£25k–£30k,Accounting,"<p>Invoicing Assistant for an 18th month contract</p><p>Monday to Friday 8:30am 5:00pm<br />Own transport essential due to location</p><p>Are you <strong>organised, switched-on and great with people</strong>? Do you love getting things done, enjoy working as part of a team and aren't afraid to roll up your sleeves when things get busy?</p><p>Then this could be the role for you!</p><p>We're looking for a <strong>positive and enthusiastic Accounts Administr click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?iZmgAWfngDx5%2fl9fEXSVRKXsc08UxtuPf"" width=""0"" height=""0"" />"
Yorkshire - North,107792107,Bookkeeper,BORDERLINE,mixed/ambiguous title requires advert-context review,missing/unknown,Accounting,"<p>A friendly, growing accountancy practice who are dedicated to providing high-quality accounting, bookkeeping, payroll, and tax services to a diverse portfolio of clients are looking for a bookkeeper. Staff welfare is a high priority in this firm who offer lots of additional benefits and support.</p><p><strong>The Role</strong></p><p>This is an excellent opportunity for someone with previous experience working within an accounta click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?vAYWCB8ag%2fg0wCYH4RtDdLYUIRB3i9lVi"" width=""0"" height=""0"" />"
Yorkshire - North,107830734,Accounts Administrator FTC,LIKELY_IN,family title is a strong inclusion signal,£25k–£30k,Banking & Financial Services,"<p>Manpower is delighted to be recruiting on behalf of our client in York, one of the UK's largest independent accident repair groups, for a Accounts Administrator to join their team in York on an 15-month fixed-term contract covering maternity leave.</p><p><br>This is an excellent opportunity for an organised and conscientious administrator to join a successful and growing business where people are at the hear click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?aziU08XVyREZ0w033Bhu7kAezAFQnUZSd"" width=""0"" height=""0"" />"
