market,likely_in,borderline,plausible_including_borderline,out_salary,out_specialist
Bedfordshire,5,0,5,4,8
Berkshire,18,0,18,13,22
Bristol & Bath,19,0,19,17,22
Buckinghamshire,16,0,16,9,16
Cambridgeshire,22,0,22,9,13
Cheshire - East,10,0,10,3,11
Cheshire - Warrington & Halton,11,0,11,8,11
Cheshire - West,6,0,6,4,8
Cornwall,4,0,4,4,3
Cumbria - North,1,0,1,2,1
Cumbria - South,0,0,0,1,1
Cumbria - West,0,0,0,0,2
Derbyshire,3,0,3,5,4
Devon,15,0,15,13,19
Dorset,11,0,11,10,16
Essex,31,0,31,14,19
Gloucestershire,11,0,11,7,13
Greater Manchester - Manchester & Salford,24,0,24,24,22
Greater Manchester - North,10,0,10,0,4
Greater Manchester - South,6,0,6,2,11
Greater Manchester - Wigan & Bolton,6,0,6,2,2
Hampshire,13,0,13,12,29
Herefordshire,2,0,2,1,3
Hertfordshire,15,0,15,13,22
Kent,25,0,25,21,41
Lancashire - Blackpool & Fylde,1,0,1,0,3
Lancashire - Central,6,0,6,3,17
Lancashire - East,8,0,8,2,6
Lancashire - North,1,0,1,0,1
Lancashire - West,4,0,4,1,0
Leicestershire,13,0,13,10,18
Lincolnshire,8,0,8,5,11
London,84,0,84,136,215
Merseyside - Liverpool,7,0,7,14,20
Merseyside - Sefton,1,0,1,0,2
Merseyside - St Helens & Knowsley,1,0,1,1,2
Merseyside - Wirral,0,0,0,0,3
Norfolk,16,0,16,2,4
North East,16,0,16,13,17
Northamptonshire,13,0,13,8,10
Nottinghamshire,14,0,14,11,8
Oxfordshire,12,0,12,11,17
Rutland,0,0,0,0,0
Shropshire,5,0,5,2,10
Somerset,4,0,4,2,10
Staffordshire,7,0,7,5,8
Suffolk,17,0,17,6,14
Surrey,21,0,21,20,28
Sussex,20,0,20,17,33
West Midlands - Birmingham & Solihull,12,0,12,12,30
West Midlands - Black Country,4,0,4,5,6
West Midlands - Coventry & Warwickshire,16,0,16,12,15
Wiltshire,12,0,12,12,13
Worcestershire,6,0,6,3,4
Yorkshire - East,4,0,4,3,8
Yorkshire - North,16,0,16,10,19
Yorkshire - South,10,0,10,9,18
Yorkshire - West,31,0,31,25,43
North Scotland,2,0,2,1,6
Scotland - Borders,0,0,0,0,1
Scotland Central - Edinburgh & Lothians,7,0,7,2,5
Scotland Central - Falkirk & Stirling,0,0,0,1,4
Scotland Central - Fife,0,0,0,0,0
Scotland Central - Tayside,0,0,0,0,0
Scotland West - Ayrshire,0,0,0,0,0
Scotland West - Glasgow,1,0,1,4,8
Scotland West - Lanarkshire,1,0,1,0,0
Scotland West - Renfrewshire & Inverclyde,0,0,0,0,1
North Wales - East,3,0,3,0,0
North Wales - West,0,0,0,0,0
Wales - Mid,1,0,1,1,0
Wales - West,0,0,0,0,1
Wales South - Cardiff & Vale,7,0,7,4,6
Wales South - Gwent,5,0,5,0,1
Wales South - Swansea Bay,5,0,5,3,4
Wales South - Valleys,2,0,2,0,0
Northern Ireland - East,5,0,5,4,7
Northern Ireland - West,0,0,0,0,1
