market,likely_in,borderline,plausible_including_borderline,out_salary,out_specialist
Bedfordshire,0,0,0,0,0
Berkshire,0,0,0,0,0
Bristol & Bath,1,0,1,0,0
Buckinghamshire,0,1,1,1,0
Cambridgeshire,0,0,0,0,0
Cheshire - East,1,0,1,0,0
Cheshire - Warrington & Halton,0,0,0,0,0
Cheshire - West,0,1,1,0,0
Cornwall,0,0,0,0,0
Cumbria - North,0,0,0,0,0
Cumbria - South,0,0,0,0,0
Cumbria - West,0,0,0,0,0
Derbyshire,0,0,0,0,0
Devon,0,0,0,1,0
Dorset,0,0,0,1,0
Essex,0,1,1,0,0
Gloucestershire,0,0,0,0,0
Greater Manchester - Manchester & Salford,1,2,3,0,4
Greater Manchester - North,0,0,0,0,1
Greater Manchester - South,0,0,0,0,0
Greater Manchester - Wigan & Bolton,0,1,1,0,2
Hampshire,0,2,2,0,1
Herefordshire,0,0,0,0,0
Hertfordshire,0,0,0,0,1
Kent,1,2,3,1,0
Lancashire - Blackpool & Fylde,0,0,0,0,0
Lancashire - Central,0,0,0,0,0
Lancashire - East,0,0,0,0,0
Lancashire - North,0,0,0,0,0
Lancashire - West,0,0,0,0,0
Leicestershire,0,0,0,0,0
Lincolnshire,0,1,1,0,0
London,4,4,8,1,1
Merseyside - Liverpool,1,1,2,0,4
Merseyside - Sefton,0,0,0,0,0
Merseyside - St Helens & Knowsley,0,0,0,0,0
Merseyside - Wirral,0,0,0,0,0
Norfolk,1,1,2,0,0
North East,0,0,0,0,2
Northamptonshire,1,0,1,2,1
Nottinghamshire,0,1,1,0,0
Oxfordshire,0,2,2,0,0
Rutland,0,0,0,0,0
Shropshire,0,0,0,0,0
Somerset,0,0,0,0,0
Staffordshire,1,0,1,0,0
Suffolk,0,0,0,0,0
Surrey,0,0,0,2,1
Sussex,2,3,5,0,4
West Midlands - Birmingham & Solihull,0,0,0,0,2
West Midlands - Black Country,0,0,0,0,0
West Midlands - Coventry & Warwickshire,0,0,0,0,0
Wiltshire,0,1,1,0,0
Worcestershire,0,0,0,0,0
Yorkshire - East,0,0,0,0,0
Yorkshire - North,0,0,0,0,0
Yorkshire - South,0,0,0,0,0
Yorkshire - West,0,0,0,0,1
North Scotland,0,0,0,0,0
Scotland - Borders,0,0,0,0,0
Scotland Central - Edinburgh & Lothians,0,0,0,0,0
Scotland Central - Falkirk & Stirling,0,0,0,0,0
Scotland Central - Fife,0,0,0,0,0
Scotland Central - Tayside,0,0,0,0,0
Scotland West - Ayrshire,0,1,1,0,0
Scotland West - Glasgow,0,0,0,0,0
Scotland West - Lanarkshire,0,0,0,0,0
Scotland West - Renfrewshire & Inverclyde,0,0,0,0,0
North Wales - East,0,0,0,0,0
North Wales - West,0,0,0,0,0
Wales - Mid,0,0,0,0,0
Wales - West,0,0,0,0,0
Wales South - Cardiff & Vale,0,0,0,0,0
Wales South - Gwent,0,0,0,0,0
Wales South - Swansea Bay,0,0,0,0,0
Wales South - Valleys,0,0,0,0,0
Northern Ireland - East,3,2,5,0,0
Northern Ireland - West,0,0,0,0,0
