display_reference,title,current_decision,current_reason,jobg8_classification,ontap_region,salary_minimum_raw,salary_maximum_raw,salary_period,annualised_maximum_estimate,description_annualised_maximum_estimate,salary_evidence_source,hard_salary_out_over_50k,description_evidence,manual_boundary_decision,manual_boundary_note
23643_225447784,Insurance Administrator Friendly team + 25 days A/L,CORE_INSURANCE_SUPPORT,insurance + support/service title,Administration,Kent,27000.00,27000.00,Annual,27000.0,,,NO,"We're excited to be recruiting exclusively, for this brand new position as an Insurance Administrator for a reputable company who have doubled their turnover in the past few years! This position is working as part of a small team of 7 and would suit someone who likes a quieter office. Please find all the details below: Job Title : Insurance Administrator Location: Ashford, Kent. Office based. Salary: 27,000 Hours: Monday-Friday, 9am-5:30pm Benefits: 25 days annual leave + Bank holidays, Annual pay reviews, Discretionary company performance related bonus As an Insurance Administrator your responsibilities would be: General telephone customer service handling enquiries from policyholders and clients Dealing with new instructions of insurance claims from insurer clients Working closely with other offices throughout the UK Assisting in the compilation and/or management of Key Performance Indicator reports Data entry General office tasks You'll be the perfect match for this position if you have: Previous Office Administration experience Experience working within an Insurance or FCA regulated environment would be an advantage. An excellent telephone manner The ability to contribute effec…",,
28878_71378-d1ad1118e322cfa7266e7b2d62a0bf82,Commercial Property Adjuster,REVIEW_OTHER_INSURANCE,insurance/claims title needs boundary review,Insurance & Superannuation,London,,,Annual,,,,NO,"We are ideally looking for an experienced Loss Adjuster - Commercial to cover Bromley & (Outer London) and possibly other neighbouring areas. Ideally someone with at least DIP CILA/DIP CII or working towards these qualifications. A bit about the job: This role is responsible for providing a customer focused and cost-effective service by handling claims from instruction to completion with delegated authority commercial claims typically up to £100k. Our team undertakes physical and virtual site inspections to assess, validate and manage Commercial Claims. We investigate and negotiate commercial claims proactively in accordance with agreed competency levels. The key focus of the role is to support our Customers and the various stakeholders of a claim whilst keeping control of indemnity spend by working collaboratively with the wider Commercial Property system at Aviva. Skills and experience we're looking for: Good technical knowledge and experience of commercial insurance claims and the application of commercial wordings including material damage and consequential loss claims, including a commercial awareness. Property construction understanding, with experience of working on occupied…",,
28878_71378,Commercial Property Adjuster,REVIEW_OTHER_INSURANCE,insurance/claims title needs boundary review,Insurance & Superannuation,Other / Unknown,,,Annual,,,,NO,"We are ideally looking for an experienced Loss Adjuster - Commercial to cover Bromley & (Outer London) and possibly other neighbouring areas. Ideally someone with at least DIP CILA/DIP CII or working towards these qualifications. A bit about the job: This role is responsible for providing a customer focused and cost-effective service by handling claims from instruction to completion with delegated authority commercial claims typically up to £100k. Our team undertakes physical and virtual site inspections to assess, validate and manage Commercial Claims. We investigate and negotiate commercial claims proactively in accordance with agreed competency levels. The key focus of the role is to support our Customers and the various stakeholders of a claim whilst keeping control of indemnity spend by working collaboratively with the wider Commercial Property system at Aviva. Skills and experience we're looking for: Good technical knowledge and experience of commercial insurance claims and the application of commercial wordings including material damage and consequential loss claims, including a commercial awareness. Property construction understanding, with experience of working on occupied…",,
28878_71378-ab1a849fc49a73c6ce7211c198ce969f,Commercial Property Adjuster,REVIEW_OTHER_INSURANCE,insurance/claims title needs boundary review,Insurance & Superannuation,London,,,Annual,,,,NO,"We are ideally looking for an experienced Loss Adjuster - Commercial to cover Bromley & (Outer London) and possibly other neighbouring areas. Ideally someone with at least DIP CILA/DIP CII or working towards these qualifications. A bit about the job: This role is responsible for providing a customer focused and cost-effective service by handling claims from instruction to completion with delegated authority commercial claims typically up to £100k. Our team undertakes physical and virtual site inspections to assess, validate and manage Commercial Claims. We investigate and negotiate commercial claims proactively in accordance with agreed competency levels. The key focus of the role is to support our Customers and the various stakeholders of a claim whilst keeping control of indemnity spend by working collaboratively with the wider Commercial Property system at Aviva. Skills and experience we're looking for: Good technical knowledge and experience of commercial insurance claims and the application of commercial wordings including material damage and consequential loss claims, including a commercial awareness. Property construction understanding, with experience of working on occupied…",,
21618_28878_71378-d1ad1118e322cfa7266e7b2d62a0bf82,Commercial Property Adjuster,REVIEW_OTHER_INSURANCE,insurance/claims title needs boundary review,Real Estate & Property,London,,,Annual,,,,NO,"We are ideally looking for an experienced Loss Adjuster - Commercial to cover Bromley & (Outer London) and possibly other neighbouring areas. Ideally someone with at least DIP CILA/DIP CII or working towards these qualifications. A bit about the job: This role is responsible for providing a customer focused and cost-effective service by handling claims from instruction to completion with delegated authority commercial claims typically up to £100k. Our team undertakes physical and virtual site inspections to assess, validate and manage Commercial Claims. We investigate and negotiate commercial claims proactively in accordance with agreed competency levels. The key focus of the role is to support our Customers and the various stakeholders of a claim whilst keeping control of indemnity spend by working collaboratively with the wider Commercial Property system at Aviva. Skills and experience we're looking for: Good technical knowledge and experience of commercial insurance claims and the application of commercial wordings including material damage and consequential loss claims, including a commercial awareness. Property construction understanding, with experience of working on occupied…",,
21618_28878_71378-ab1a849fc49a73c6ce7211c198ce969f,Commercial Property Adjuster,REVIEW_OTHER_INSURANCE,insurance/claims title needs boundary review,Real Estate & Property,London,,,Annual,,,,NO,"We are ideally looking for an experienced Loss Adjuster - Commercial to cover Bromley & (Outer London) and possibly other neighbouring areas. Ideally someone with at least DIP CILA/DIP CII or working towards these qualifications. A bit about the job: This role is responsible for providing a customer focused and cost-effective service by handling claims from instruction to completion with delegated authority commercial claims typically up to £100k. Our team undertakes physical and virtual site inspections to assess, validate and manage Commercial Claims. We investigate and negotiate commercial claims proactively in accordance with agreed competency levels. The key focus of the role is to support our Customers and the various stakeholders of a claim whilst keeping control of indemnity spend by working collaboratively with the wider Commercial Property system at Aviva. Skills and experience we're looking for: Good technical knowledge and experience of commercial insurance claims and the application of commercial wordings including material damage and consequential loss claims, including a commercial awareness. Property construction understanding, with experience of working on occupied…",,
21618_28878_71378,Commercial Property Adjuster,REVIEW_OTHER_INSURANCE,insurance/claims title needs boundary review,Real Estate & Property,Other / Unknown,,,Annual,,,,NO,"We are ideally looking for an experienced Loss Adjuster - Commercial to cover Bromley & (Outer London) and possibly other neighbouring areas. Ideally someone with at least DIP CILA/DIP CII or working towards these qualifications. A bit about the job: This role is responsible for providing a customer focused and cost-effective service by handling claims from instruction to completion with delegated authority commercial claims typically up to £100k. Our team undertakes physical and virtual site inspections to assess, validate and manage Commercial Claims. We investigate and negotiate commercial claims proactively in accordance with agreed competency levels. The key focus of the role is to support our Customers and the various stakeholders of a claim whilst keeping control of indemnity spend by working collaboratively with the wider Commercial Property system at Aviva. Skills and experience we're looking for: Good technical knowledge and experience of commercial insurance claims and the application of commercial wordings including material damage and consequential loss claims, including a commercial awareness. Property construction understanding, with experience of working on occupied…",,
23643_225471384,Claims Handler,CORE_CLAIMS_SUPPORT,claims + support/service title,Call Centre / CustomerService,Staffordshire,24000.00,26000.00,Annual,26000.0,,,NO,"Would you make a fantastic Claims HandlerAre you looking for a fast paced role dealing with multiple customers , managing claims cases and dealing with information on the phone and on emails Are you looking for a role where you could develop your claims handling skills while demonstrating your customer service , proactive work ethic and professional approach Kingscroft have been asked to recruit for a Claims Handler to work for a well-established and successful claims handling business. The role will be working in a specialist claims handling team looking after a product category of customer claims. As the successful candidate you will be fully trained and your skills developed on claims handling workflow and insurance practices. Our client is looking for communication , drive and attitude and can develop the rest. Your duties will involve: Working in a sector specialist call handling team dealing with insurance claims Receiving incoming calls and recording all the relevant information on the insurance claim Managing multiple claims at different stages of completion Exploring the scope of the claim fully with the policy holder Completing all administration and follow up actions to …",,
23643_225475483,Commercial Account Handler,REVIEW_ACCOUNT_HANDLER,insurance/broking account-handler boundary,Accounting,Other / Unknown,30000.00,35000.00,Annual,35000.0,,,NO,"Commercial Account Handler - York or Hull - Hybrid - Up to 35,000 + Bonus This is an opportunity to join one of the region's most respected independent brokers - a business that's built its reputation on tailored advice, long-term relationships and genuinely looking after its clients. With offices in York and Hull, this is a brokerage that values quality over volume. If you're ready to move away from high-pressure, transactional environments and into a firm where you can truly own your portfolio and build lasting relationships with local businesses, this is worth a serious look. Salary: Up to 35,000 Location: York or Hull Working pattern: Hybrid - post probation What they're looking for A proven background in commercial account handling Strong technical knowledge across commercial lines - property, liability and specialist cover Someone who builds genuine rapport with clients and underwriters alike Analytical, organised and comfortable with insurance software and Microsoft Office A commitment to high-touch, relationship-led client service Why join them? A well-established, independent broker with a strong regional reputation Bonus structure rewarding both retention and new business…",,
23643_224388161,PROPERTY INSURANCE ACCOUNT HANDLER,CORE_INSURANCE_SUPPORT,insurance + support/service title,Accounting,Kent,28000.00,35000.00,Annual,35000.0,,,NO,"This long established Insurance broker are looking for suitably intelligent and ambitious Insurance professionals to help look after a growing book of Insurance business, It is office based in the Gillingham area close to the train station so you will need to live fairly local to make commuting easy. The company deal with both residential and Commercial property and are looking for candidates with at least 2 years of relevant Insurance broking experience ideally within Household or Property Insurance. Please don't apply if you don't work in Insurance. This is a varied position incorporating the duties of a client facing account handler and renewals executive. The purpose of the role is to provide account handler support to loyal clients and to look after renewals as well as dealing with new business enquiries, this is not a targeted sales style of role at all so relationship management and clear communication are key. Salaries are very competitive and come with a range of benefits and holiday entitlement. If you are looking for the best training and career prospect on offer and a positive Medway based company with a brilliant ethos then apply today in strict confidence. If you do n…",,
