market,display_reference,title,decision,reason,salary_bucket,jobg8_classification,description_excerpt
London,23643_225513852,Temporary Technical Support Specialist,BORDERLINE,title needs advert-context review,£25k–£30k,Administration,"<p>Our client, a rapidly growing organisation in the tech-enabled education sector, is seeking a Temporary Technical Support Specialist to join their dynamic team. This role offers an exciting opportunity for a tech-savvy individual with a passion for problem-solving and customer service excellence.</p><p> </p><p><strong>Job:</strong> Temporary Technical Support Specialist</p><p><strong>Location:</strong> West End</p><p><strong>Start Date:</strong> ASAP</p><p><strong>End Date</strong>: End of September</p><p><strong>Pay:</strong> 15 p/h</p><p><strong>Work Pattern:</strong> Monday - Friday - 09:00 - 17:30 - hybrid set up</p><p><strong> </strong></p><p><strong>You must have a valid DBS </stron"
London,1770352,Temporary Technical Support Specialist,BORDERLINE,title needs advert-context review,£25k–£30k,Administration,"<p>Our client, a rapidly growing organisation in the tech-enabled education sector, is seeking a Temporary Technical Support Specialist to join their dynamic team. This role offers an exciting opportunity for a tech-savvy individual with a passion for problem-solving and customer service excellence.</p> <p></p> <p><strong>Job:</strong> Temporary Technical Support Specialist</p> <p><strong>Location:</strong> West End</p> <p><strong>Start Date:</strong> ASAP</p> <p><strong>End Date</strong>: End of September</p> <p><strong>Pay:</strong> £15 p/h</p> <p><strong>Work Pattern:</strong> Monday - Friday - 09:00 - 17:30 - hybrid set up</p> <p></p> <p><strong>You must have a valid DBS </strong></p> <p"
London,1708160,Technical Business Support Analyst,BORDERLINE,title needs advert-context review,missing/unknown,I.T. & Communications,"<p>We are looking for a Technical Business Support Analyst for our Global Investment bank client where you will be responsible for the delivery and support of IT solutions and services across various business areas. This role is crucial in managing both packaged and bespoke IT solutions, ensuring operational excellence and security compliance.</p> <p>Required Skills & Qualifications:</p> <ul> <li>Minimum of 3 years of experience in a similar role.</li> <li>Strong technical skills including Windows Server, MS SQL Server, Oracle Database, Unix, PowerShell, Python, and understanding of Cloud technologies.</li> <li>Must know applications , involves upgrades and patches from vendors</li> <li>Expe"
London,1783789,IT Support Engineer,LIKELY_IN,family title is a strong inclusion signal,£30k–£40k,I.T. & Communications,"<p>Our client, an international IT/Telecom service providers throughout the world, is currently recruiting an IT Support Engineer to join their professional and international team.</p> <p></p> <p>The job holder is to work as a support engineer (shift) at IT Operation Centre, act as the 1st and 2nd level support and play a crucial role in early recovery of Network / Mobile services / IOT services /customers' services in the event of faults and trouble, to carry out a variety of technical tasks to meet or exceed customers' expectation by liaising with vendors, carriers, Mobile Operators, third-parties, and other related organisations. </p> <p></p> <p><strong>Job description</strong></p> <ul> <"
London,1716297,IT Systems Administrator,BORDERLINE,description-led family signal needs advert review,£30k–£40k,I.T. & Communications,"<ul> <li><strong>Microsoft 365, Google Workspace, SaaS platforms and end-user systems.</strong></li> <li><strong>Help to drive AI-enabled improvements and automation across IT operations.</strong></li> <li><strong>Outstanding learning, development and career progression opportunities.</strong></li> </ul> <p>Are you an experienced IT Systems Administrator looking for a role where you can make a visible impact every day? This opportunity offers the chance to join a collaborative technology team supporting a group of businesses operating within creative, media and entertainment sectors. As an IT Systems Administrator, you will own critical systems, support colleagues across multiple locations a"
London,1716295,EQD Front Office Application Support (SQL/ Linux/ Python),BORDERLINE,title needs advert-context review,missing/unknown,I.T. & Communications,"<p>We are seeking a proactive and technically strong EQD Application Support Engineer (multiple headcounts) to support applications within an Equities Derivatives trading environment. The role focuses on maintaining system stability, resolving production issues, and supporting business-critical trading platforms.</p> <p></p> <p><strong>What you'll do:</strong></p> <ul> <li>Provide L2/L3 application support within an EQD trading environment</li> <li>Investigate and resolve production incidents (P1/P2) impacting trading systems</li> <li>Perform root cause analysis (RCA) and implement preventative improvements</li> <li>Monitor systems proactively and address issues before business impact</li> <"
London,1704376,2nd Line Support,LIKELY_IN,family title is a strong inclusion signal,missing/unknown,I.T. & Communications,"<p>Our client is a large local government organisation and looking for an experienced 2nd Line Support to join their team. This is initially a 3 month contract who may be extended for the right applicant</p> <p>You will</p> <ul> <li>Working on a rota basis perform the following duties: </li> </ul> <p></p> <ul> <li>Monitor incoming queues on the IT service desk system perform initial triage of all calls and assign to correct team </li> <li>Take ownership of and resolve calls in line with service level agreement(s). • Identify problems, log problem records and communicate appropriately. </li> <li>Log changes, providing adequate information and ensuring change records are kept up to date.</li> "
London,1706403,IT Service Desk Apprentice,LIKELY_IN,family title is a strong inclusion signal,missing/unknown,I.T. & Communications,"<p><strong>CVC is a leading global private markets manager focused on private equity, secondaries, credit and infrastructure with a global network of 30 local offices and 212 billion of assets under management.</strong></p> <p><strong>About the role:</strong></p> <p>You will become an integral part of our Global Service Desk, supporting our UK offices with hardware-related requests, equipment builds, walk-up support, laptop deployments, hardware disposals and other first-line IT tasks. Alongside gaining practical workplace experience, you will complete an 18-month structured Cloud Support Specialist apprenticeship, developing the technical and professional skills needed to become well-rounde"
London,1707518,Tech Support Engineer,BORDERLINE,title needs advert-context review,"£40k–£50,000",I.T. & Communications,"<ul> <li><strong>SQL, Linux, PHP/WordPress, HTML, CSS, eCommerce, API's, AWS, DNS.</strong></li> <li><strong>Take ownership of complex technical issues while mentoring and supporting other engineers.</strong></li> <li><strong>Ongoing career development and training opportunities in a supportive team.</strong></li> </ul> <p>This role offers the opportunity to own technical investigations, manage critical support issues, improve support processes and use AI tools to enhance service delivery. As Technical Support Engineer, you'll work closely with clients and internal teams to create solutions, manage incidents and continually improve how support is delivered. Based within an experienced team, "
London,1703368,Microsoft 365 Support Analyst,BORDERLINE,title needs advert-context review,missing/unknown,I.T. & Communications,"<p><strong>Microsoft 365 Administrator / IT Support Analyst </strong></p> <ul> <li>Mon-Fri onsite in Debden IG10</li> <li>Salary + pension scheme + health</li> <li>Free onsite gym & parking</li> <li>Offices are a 5 mins walk from Debden tube station (Central line) with close road links to M11/M25/A406/A12</li> </ul> <p><strong>NB: Please only apply if you are able to work from their Debden (IG10) offices Monday-Friday. Hybrid or remote working is not available. Candidates must be able to demonstrate a sub-60 mins commute time to IG10 3TQ.</strong></p> <p><strong>Company</strong></p> <p>Established in 2009 and regulated by the FCA, this multi-award-winning finance & credit company has a prove"
