display_reference,title,current_decision,current_reason,jobg8_classification,ontap_region,salary_minimum_raw,salary_maximum_raw,salary_period,annualised_maximum_estimate,hard_salary_out_over_50k,description_evidence,manual_boundary_decision,manual_boundary_note
23643_225418200,Legal Secretary,LIKELY_IN,ordinary workplace IT support title signal,Administration,Other / Unknown,26000.00,26000.00,Annual,26000.0,NO,"Our client, a respected and well-established law firm, is seeking a Legal Secretary to join their friendly and professional Dispute Resolution team in Banbury. This is an excellent opportunity for an experienced Administrator. Previous legal experience or legal qualifications are not required; our client is looking for someone with strong administrative skills, a willingness to learn, and a commitment to providing excellent client service. Key Responsibilities Provide comprehensive secretarial and administrative support within the Dispute Resolution Department. Manage client enquiries, calls, emails and appointments, ensuring effective communication and support for fee earners. Assist with case management, including file opening/closing, maintaining records and monitoring case developments. Conduct conflict checks and support the onboarding of new clients. Prepare legal documents, court bundles and correspondence accurately and efficiently. Assist fee earners with billing processes, cost schedules and general administration. Maintain client confidentiality and ensure compliance with company procedures and legal service standards. Support departmental meetings and provide wider admi…",,
23643_225425007,Legal Administrator,LIKELY_IN,ordinary workplace IT support title signal,Administration,Other / Unknown,16.50,16.50,Hourly,32175.0,NO,"Belmont Recruitment are currently seeking an experienced Legal Administrator to join Warrington Council's Adult Social Care and Education Team on an initial 3 month temporary contract. This is a full-time role working 37 hours per week, Monday to Friday. Key Responsibilities Provide comprehensive administrative support to safeguarding and education solicitors. Prepare court documents, applications and electronic court bundles to a high standard. Assist solicitors with a varied caseload, including complex and high-profile legal matters. Liaise professionally with courts and tribunals, Counsel, litigants in person, external solicitors, the police, health organisations, educational establishments and other partner agencies. Maintain accurate case files and ensure all documentation is processed in accordance with legal procedures and timescales. Arrange meetings, hearings and appointments, ensuring all relevant documentation is prepared and distributed. Support the legal team with general administrative duties to ensure the efficient running of the service. About You Previous experience within a legal administration, legal secretary or legal support role. Experience preparing legal doc…",,
107754506,Legal Secretary,LIKELY_IN,ordinary workplace IT support title signal,Administration,Oxfordshire,26000.00,26000.00,Annual,26000.0,NO,"Our client, a respected and well-established law firm, is seeking a Legal Secretary to join their friendly and professional Dispute Resolution team in Banbury. This is an excellent opportunity for an experienced Administrator. Previous legal experience or legal qualifications are not required; our client is looking for someone with strong administrative skills, a willingness to learn, and a commitm click apply for full job details",,
23643_225435142,Legal PA,BORDERLINE,description-led IT support signal needs advert review,Administration,Devon,,,Annual,,NO,"This is a great opportunity to join one of Exeter's well-known and established national companies on a fixed-term contract. As a Legal PA, you will report to and provide integral support to the team's Solicitor and wider Legal Department on a fixed-term basis to cover a period of maternity leave for up to 12 months. The role plays a key part in ensuring the efficient and effective delivery of legal and business support services, contributing to the smooth running of departmental activities while maintaining high standards of professionalism, organisation, and confidentiality. Responsibilities will include: Provide comprehensive administrative and secretarial support to the Group Solicitor and wider Legal Department. Manage diaries, meetings, travel arrangements, and accommodation bookings to support the effective operation of the legal function. Prepare, amend, and process legal documents, including Land Registry and SDLT forms, engrossments, and correspondence. Coordinate departmental administration, including filing, post management, reporting, and office resource requirements. Act as a point of contact for enquiries from internal stakeholders and former customers, ensuring a pro…",,
23643_225436130,Legal Admin Assistant,LIKELY_IN,ordinary workplace IT support title signal,Administration,London,28000.00,30000.00,Annual,30000.0,NO,"Legal Administrator and Assistant Location: Kensington Salary: Up to 30,000 DOE Working Pattern: Full time office based, Monday - Friday 9am - 5pm Benefits: Annual discretionary bonus Private medical and dental insurance 25 days annual leave + 8 days BH, plus additional discretionary closure over Christmas Monthly lunches / get togethers as Ops team meet twice a year Work events yearly - Summer and Christmas parties - optional attendance Are you ready to embark on an exciting journey in the legal sector? Our client, a forward-thinking law firm located in the heart of Kensington, is on the lookout for a passionate and dynamic Legal Administrator and Assistant to join their vibrant team! About the Firm: This innovative firm is renowned for its high-quality legal advice and personalised service. With a commitment to excellence, they have assembled a team of elite lawyers who thrive on building lasting relationships with clients across various sectors. Position Overview: As a Legal Administrator and Assistant, you'll play a crucial role in ensuring the smooth running of day-to-day operations. You will provide comprehensive administrative and legal support to our talented fee earners wh…",,
107734747,Experienced Motor Claims Handler,BORDERLINE,support title needs advert-context review,Insurance & Superannuation,Norfolk,30000.00,30000.00,Annual,30000.0,NO,"hackajob is partnering directly with Verisk Analytics to hire for this role. Description We are looking for several Experienced Motor Claims Handlers to join our company, which is recognized by Forbes as the World's Best Employer and Best Employer for Women. As an experienced Motor Claims Handler, you will be responsible for investigating the claim once the hire has ended and negotiating the settlem click apply for full job details",,
107724384,Debt Advice Caseworker,BORDERLINE,support title needs advert-context review,Healthcare & Medical,Yorkshire - North,28000.00,28000.00,Annual,28000.0,NO,"Debt Advice Caseworker (Ex-Offender Support) Based acrossNorthallerton, Harrogate Probation and in-reach delivery atHMP Milsike Up to £30,000 per year Full-time, Permanent About the role We are recruiting an experienced Debt Advice Caseworker to support people with complex financial situations, including problem debt, benefit issues and financial instability, within probation services, activity hub click apply for full job details",,
107752321,Third-Party Capture Claims Handler,BORDERLINE,support title needs advert-context review,Insurance & Superannuation,Norfolk,30000.00,30000.00,Annual,30000.0,NO,"hackajob is partnering directly with Verisk Analytics to hire for this role. Description We are looking for a Third-Party Capture Motor Claims Handler to join our company, which is recognised by Forbes as a Worlds Best Employer and Best Employer for Women. As a Third-Party Capture Motor Claims Handler, your purpose will be to contact Claimants who have been involved in an accident with our policyhol click apply for full job details",,
23643_225441295,Conveyancing Assistant,LIKELY_IN,ordinary workplace IT support title signal,Administration,London,26000.00,28000.00,Annual,28000.0,NO,"Excellent opportunity for a Legal Assistant with Conveyancing experience to learn and develop their experience in a permanent role in a fantastic location. THE ROLE: To handle estate agent and IFA calls To deal with general updates by phone or email To set matters up for completion and then attend to exchanges and completions To handle the day-to-day running of sale files, remortgages and transfers/assents in the team, with supervision where required (subject to experience and training) To assist the fee earner on the purchase files, as and when required To take payments from clients when required by phone To deal with incoming and outgoing monies via the case management system To take new enquiries and give quotes to clients on the phone and over the internet, as instructed, as and when required, and to accurately record sources of business or reason for non-instruction To assist with post completion work, as and when required To prepare correspondence and documents through visual files To administer team filing, which will include daily filing To prepare own mail and enclosures for despatch To arrange for all copying to be done To provide guidance to junior and temporary assistan…",,
23643_225445387,Legal Assistant,OUT_SALARY,"annualised salary exceeds £50,000",Administration,London,26.74,26.74,Hourly,52143.0,YES,"Legal Assistant Southwar Council £26.74 ph PAYE SE1 2QH - onsite 2 days per week, work from home 3 days per week. Ongoing contract Provide comprehensive legal assistant support to Childcare Lawyers, Senior Childcare Lawyers and the Head of Team. Draft court applications and issue public and private law childcare proceedings. Prepare, manage and update electronic court bundles in line with court directions and hearing deadlines. Redact legal documents and maintain accurate case files. File and serve court documents on the court and relevant parties. Upload documentation and bundles to FPL and other case management systems. Liaise with courts, counsel, experts, clients and external agencies. Obtain instructions from clients to support lawyers with ongoing cases. Assist with drafting letters of instruction to experts. To find out more information please contact Abbie at (url removed) Recruitment is done in line with safe recruitment practices. We are an equal opportunity agency.",,
23643_225445445,Legal Secretary (Court),LIKELY_IN,ordinary workplace IT support title signal,Administration,Scotland Central - Tayside,28800.00,35200.00,Annual,35200.0,NO,"Looking for a role where your organisational skills and legal knowledge can shine? As a Legal Secretary specialising in court matters, you'll provide essential support to legal professionals, helping to ensure the smooth running of cases in a busy professional services environment based in Perth. Client Details This position is within the professional services industry, located in Perth. Description Prepare and format court documents with accuracy and attention to detail. Manage diaries and schedule court appearances efficiently. Handle correspondence and communication with clients, courts, and legal professionals. Maintain and update case files and legal records systematically. Support legal professionals with administrative tasks and document management. File court documents and liaise with court officials as required. Ensure compliance with legal procedures and deadlines. Provide a high level of administrative support to the legal team. Profile A successful Legal Secretary (Court) should have: Experience in a legal secretary role within a court or legal environment. Strong knowledge of legal terminology and court procedures. Excellent organisational and time management skills. P…",,
2047970,Paralegal/Legal Secretary - Belfast,LIKELY_IN,ordinary workplace IT support title signal,Legal,London,,,Annual,,NO,"Honeycomb is delighted to be partnering with a respected South Belfast law firm to recruit a Conveyancing Legal Secretary or Property Paralegal to support a Senior Solicitor within its busy property team, offering excellent long-term career prospects. The Opportunity If you're an experienced Conveyancing Legal Secretary or Property Paralegal looking for your next move, this role offers the chance to work closely with a Senior Solicitor, supporting a varied residential conveyancing caseload. From instruction through to post-completion, you'll play a key role in ensuring transactions progress efficiently while delivering an exceptional service to clients. About the Firm Our client is a well-established legal practice with an excellent reputation for delivering high-quality legal services across Northern Ireland. Known for its collaborative culture and commitment to client care, the firm provides a welcoming environment where employees are genuinely valued and supported in building long-term careers. Salary & Benefits Competitive salary depending on experience 20 days annual leave plus statutory holidays Additional office closure over Christmas, not deducted from annual leave entitlem…",,
23643_225454130,Legal Assistant,LIKELY_IN,ordinary workplace IT support title signal,Administration,Devon,25353.00,26000.00,Annual,26000.0,NO,"An exciting opportunity to join one of the city's successful law firms has arisen. This role will be to join the firm's Wealth Management team as a Legal Assistant, supporting the team and the partners with a range of different administrative and secretarial tasks. This opportunity doesn't require legal experience as such, but will require someone good with IT skills and the Microsoft Suite, with a good attitude and an interest in law. Some previous administration experience would definitely act as an advantage. Tasks will include: Opening and closing client files Archiving files Audio and copy-typing Proof reading documents to ensure accuracy Updating dictated work Responding to client enquiries, either by email or phone Document production Retrieving and storing files for clients / lawyers at request General other administrative tasks Skills and experience required: Some administrative experience would be an advantage Excellent IT skills and knowledge of the Microsoft Office Suite (Outlook, Word and Excel) A genuine interest in law A good attitude and a supportive approach for the team Hours and Benefits: Monday to Friday = 08:45 - 17:00 Hybrid and flexible working available (cir…",,
107724359,Debt Advice Caseworker,BORDERLINE,support title needs advert-context review,Healthcare & Medical,Other / Unknown,28000.00,28000.00,Annual,28000.0,NO,"Debt Advice Caseworker (Ex-Offender Support) Based acrossBridlington and Scarborough Up to £30,000 per year Full-time, Permanent About the role We are recruiting an experienced Debt Advice Caseworker to support people with complex financial situations, including problem debt, benefit issues and financial instability, within probation services, activity hubs and prison settings click apply for full job details",,
23643_225461671,Probate Administrator,BORDERLINE,description-led IT support signal needs advert review,Administration,London,25000.00,25000.00,Annual,25000.0,NO,"Probate Administrator South Croydon Permanent Full-Time Salary: Competitive and dependent on experience We are seeking an experienced and highly organised Probate Administrator to join our busy and growing probate team. This is an excellent opportunity for a knowledgeable probate professional who can hit the ground running and play a key role in supporting the efficient administration of estates. Due to increasing workload and business demand, we are looking for a committed individual with genuine hands-on probate experience who can manage case files confidently while delivering an excellent client experience. The Role As a Probate Administrator, you will be responsible for supporting the administration of estates from initial instruction through to completion. You will work closely with clients, financial institutions, and other third parties to ensure matters are progressed efficiently and accurately. This role requires someone with practical probate administration experience and the ability to manage their workload independently within a supportive team environment. Key Responsibilities Setting up new probate files and managing case administration from instruction through to com…",,
