display_reference,title,area,location,ontap_geo_cluster,assessable_market,in_uk_market_universe,jobg8_classification,salary_minimum_raw,salary_maximum_raw,salary_period,annualised_minimum_estimate,annualised_maximum_estimate,salary_bucket,discovery_source,description_signal_count,description_signals,provisional_decision,provisional_reason,description_excerpt,content_dedupe_key,dedupe_key,is_duplicate,is_content_duplicate
23643_225418200,Legal Secretary,Hook Norton,Oxfordshire,Oxfordshire,Oxfordshire,YES,Administration,26000.00,26000.00,Annual,26000.0,26000.0,£25k–£30k,TITLE,2,legal secretary; legal documents,LIKELY_IN,family title is a strong inclusion signal,"<p>Our client, a respected and well-established law firm, is seeking a <strong>Legal Secretary</strong> to join their friendly and professional Dispute Resolution team in Banbury. <br><br>This is an excellent opportunity for an experienced Administrator. Previous legal experience or legal qualifications are not required; our client is looking for someone with strong administrative skills, a willingness to learn, and a commitment to providing excellent client service. <br><br><strong>Key Responsibilities</strong><br><br></p><ul> <li>Provide comprehensive secretarial and administrative support within the Dispute Resolution Department.</li><li>Manage client enquiries, calls, emails and appointm",2452e14109924d693e5ec6c1c0f665b6945d9e7436b5b43ebd8da45036514004,ref:23643_225418200,False,False
23643_225425007,Legal Administrator,Woolston,Warrington,Cheshire - Warrington & Halton,Cheshire - Warrington & Halton,YES,Administration,16.50,16.50,Hourly,32175.0,32175.0,£30k–£40k,TITLE,4,legal administration; legal administrator; legal secretary; court documents,LIKELY_IN,family title is a strong inclusion signal,"<p>Belmont Recruitment are currently seeking an experienced Legal Administrator to join Warrington Council's Adult Social Care and Education Team on an initial 3 month temporary contract. This is a full-time role working 37 hours per week, Monday to Friday.</p> <p><strong>Key Responsibilities</strong></p> <ul> <li>Provide comprehensive administrative support to safeguarding and education solicitors.</li> <li>Prepare court documents, applications and electronic court bundles to a high standard.</li> <li>Assist solicitors with a varied caseload, including complex and high-profile legal matters.</li> <li>Liaise professionally with courts and tribunals, Counsel, litigants in person, external sol",9b854ec391b3e01990d52cd0a94838cf9598690f710153a4c658333b08f2c460,ref:23643_225425007,False,False
107754506,Legal Secretary,Banbury,Oxfordshire,Oxfordshire,Oxfordshire,YES,Administration,26000.00,26000.00,Annual,26000.0,26000.0,£25k–£30k,TITLE,1,legal secretary,LIKELY_IN,family title is a strong inclusion signal,"<p> Our client, a respected and well-established law firm, is seeking a <b>Legal Secretary</b> to join their friendly and professional Dispute Resolution team in Banbury. </p><p> This is an excellent opportunity for an experienced Administrator. Previous legal experience or legal qualifications are not required; our client is looking for someone with strong administrative skills, a willingness to learn, and a commitm click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?6WDmO0cNttrwrYI6l0uScNa%2f236uA7QJa"" width=""0"" height=""0"" />",0bebab52a640015bb565e82f6b5105409060f22c09e2b26e44d112ac158e93f6,ref:107754506,False,False
23643_225435142,Legal PA,Exeter,Devon,Devon,Devon,YES,Administration,,,Annual,,,missing/unknown,TITLE,2,legal secretary; legal documents,LIKELY_IN,family title is a strong inclusion signal,"<p>This is a great opportunity to join one of Exeter's well-known and established national companies on a fixed-term contract. As a Legal PA, you will report to and provide integral support to the team's Solicitor and wider Legal Department on a fixed-term basis to cover a period of maternity leave for up to 12 months. The role plays a key part in ensuring the efficient and effective delivery of legal and business support services, contributing to the smooth running of departmental activities while maintaining high standards of professionalism, organisation, and confidentiality.</p> <p> </p> <p><strong>Responsibilities will include:</strong></p> <ul> <li>Provide comprehensive administrative ",7cb86a226ce87bebc1bf4c765eab0abc02f5935b14538a040caf5b190e4e4149,ref:23643_225435142,False,False
23643_225436130,Legal Admin Assistant,Not Specified,London,London,London,YES,Administration,28000.00,30000.00,Annual,28000.0,30000.0,£25k–£30k,TITLE,2,legal administrator; legal documents,LIKELY_IN,family title is a strong inclusion signal,"<p><strong>Legal Administrator and Assistant</strong></p><p><strong>Location: </strong>Kensington</p><p><strong>Salary: </strong>Up to 30,000 DOE</p><p><strong>Working Pattern: </strong>Full time office based, Monday - Friday 9am - 5pm</p><p><strong>Benefits:</strong></p><ul><li>Annual discretionary bonus</li><li>Private medical and dental insurance</li><li>25 days annual leave + 8 days BH, plus additional discretionary closure over Christmas</li><li>Monthly lunches / get togethers as Ops team meet twice a year</li><li>Work events yearly - Summer and Christmas parties - optional attendance</li></ul><p> </p><p>Are you ready to embark on an exciting journey in the legal sector? Our client, a f",469437319bc1c0ae5153424742b65ac67155a966c6d1080ee0668fbd77f077e1,ref:23643_225436130,False,False
23643_225441295,Conveyancing Assistant,City,Sheffield,London,London,YES,Administration,26000.00,28000.00,Annual,26000.0,28000.0,£25k–£30k,TITLE,2,legal assistant; conveyancing,LIKELY_IN,family title is a strong inclusion signal,"Excellent opportunity for a Legal Assistant with Conveyancing experience to learn and develop their experience in a permanent role in a fantastic location. <br><br>THE ROLE: <br>To handle estate agent and IFA calls <br>To deal with general updates by phone or email<br>To set matters up for completion and then attend to exchanges and completions<br>To handle the day-to-day running of sale files, remortgages and transfers/assents in the team, with supervision where required (subject to experience and training) <br>To assist the fee earner on the purchase files, as and when required<br>To take payments from clients when required by phone<br>To deal with incoming and outgoing monies via the case",f58c242f1776ab1c913532c34da4078301d7cd360e436d2fa55faaf9d4c3d00f,ref:23643_225441295,False,False
23643_225445387,Legal Assistant,Southwark,London,London,London,YES,Administration,26.74,26.74,Hourly,52143.0,52143.0,">£50,000 OUT",TITLE,3,legal assistant; legal documents; court documents,OUT_SALARY,"annualised salary exceeds £50,000","<p><strong>Legal Assistant</strong></p><p><strong>Southwar Council</strong></p><p><strong>£26.74 ph PAYE</strong></p><p><strong>SE1 2QH - onsite 2 days per week, work from home 3 days per week.</strong></p><p><strong>Ongoing contract</strong></p><ul> <li>Provide comprehensive legal assistant support to Childcare Lawyers, Senior Childcare Lawyers and the Head of Team.</li><li>Draft court applications and issue public and private law childcare proceedings.</li><li>Prepare, manage and update electronic court bundles in line with court directions and hearing deadlines.</li><li>Redact legal documents and maintain accurate case files.</li><li>File and serve court documents on the court and relevan",89880d96b57eb197c5b05ef294148fb7c53409ff29f3bfca55f361ad93ca4fd3,ref:23643_225445387,False,False
23643_225445445,Legal Secretary (Court),Perth,Perth & Kinross,Scotland Central - Tayside,Scotland Central - Tayside,YES,Administration,28800.00,35200.00,Annual,28800.0,35200.0,£30k–£40k,TITLE,2,legal secretary; court documents,LIKELY_IN,family title is a strong inclusion signal,"<p>Looking for a role where your organisational skills and legal knowledge can shine? As a Legal Secretary specialising in court matters, you'll provide essential support to legal professionals, helping to ensure the smooth running of cases in a busy professional services environment based in Perth.</p><p><strong>Client Details</strong></p><p>This position is within the professional services industry, located in Perth.</p><p><strong>Description</strong></p><ul><li>Prepare and format court documents with accuracy and attention to detail.</li><li>Manage diaries and schedule court appearances efficiently.</li><li>Handle correspondence and communication with clients, courts, and legal profession",962cd93c23836099413736201bb5bb9af1f450c964289b854b2b9c3c73170025,ref:23643_225445445,False,False
2047970,Paralegal/Legal Secretary - Belfast,City,Belfast,London,London,YES,Legal,,,Annual,,,missing/unknown,TITLE,3,paralegal; legal secretary; conveyancing,LIKELY_IN,family title is a strong inclusion signal,"Honeycomb is delighted to be partnering with a respected South Belfast law firm to recruit a Conveyancing Legal Secretary or Property Paralegal to support a Senior Solicitor within its busy property team, offering excellent long-term career prospects.</p> </p><strong>The Opportunity</strong></p>If you're an experienced Conveyancing Legal Secretary or Property Paralegal looking for your next move, this role offers the chance to work closely with a Senior Solicitor, supporting a varied residential conveyancing caseload. From instruction through to post-completion, you'll play a key role in ensuring transactions progress efficiently while delivering an exceptional service to clients.</p> </p><s",48fd9381d1951ecdfe59086592990fbd80bc7204fcd0169f8188352f8f333ce8,ref:2047970,False,False
23643_225454130,Legal Assistant,Exeter,Devon,Devon,Devon,YES,Administration,25353.00,26000.00,Annual,25353.0,26000.0,£25k–£30k,TITLE,1,legal assistant,LIKELY_IN,family title is a strong inclusion signal,"<p>An exciting opportunity to join one of the city's successful law firms has arisen. This role will be to join the firm's Wealth Management team as a Legal Assistant, supporting the team and the partners with a range of different administrative and secretarial tasks. This opportunity doesn't require legal experience as such, but will require someone good with IT skills and the Microsoft Suite, with a good attitude and an interest in law. Some previous administration experience would definitely act as an advantage.</p> <p> </p> <p><strong>Tasks will include:</strong></p> <ul> <li>Opening and closing client files</li> <li>Archiving files</li> <li>Audio and copy-typing</li> <li>Proof reading d",96cd49676c6a3d120ea47ad51ca84590ac955f8275d251b089430490f5161019,ref:23643_225454130,False,False
23643_225461186,Part-Time PA,Leicester,Leicestershire,Leicestershire,Leicestershire,YES,Administration,26000.00,30000.00,Annual,26000.0,30000.0,£25k–£30k,DESCRIPTION,2,legal secretary; legal documents,BORDERLINE,description-led family signal needs advert review,"<p>We are recruiting on behalf of a well-established law firm looking to appoint a Part-Time PA to support its Commercial team in Leicester.</p> <p>This is an excellent opportunity for an experienced PA or Legal Secretary who enjoys providing high-quality administrative support within a professional services environment. Working closely with fee earners and Partners, you will play an important role in keeping the team organised and ensuring work is delivered efficiently.</p> <p>They're ideally looking for someone 3 days a week (circa 20-24 hours) but could be flexible to different working patterns. </p> <p><strong>Typical duties include:</strong></p> <ul> <li>Provide administrative and PA su",2b39435261522f2bc1d41249ec0d1ef7dfffbced722a55d0f07a6add55a66a41,ref:23643_225461186,False,False
23643_225461671,Probate Administrator,Croydon,London,London,London,YES,Administration,25000.00,25000.00,Annual,25000.0,25000.0,£25k–£30k,TITLE,1,probate,LIKELY_IN,family title is a strong inclusion signal,"Probate Administrator<br><br><p><strong>South Croydon Permanent Full-Time</strong><br> <strong>Salary: Competitive and dependent on experience</strong></p><p>We are seeking an experienced and highly organised <strong>Probate Administrator</strong> to join our busy and growing probate team. This is an excellent opportunity for a knowledgeable probate professional who can hit the ground running and play a key role in supporting the efficient administration of estates.</p><p>Due to increasing workload and business demand, we are looking for a committed individual with genuine hands-on probate experience who can manage case files confidently while delivering an excellent client experience.</p><b",5b8ab76ec73645bbbcf85e225c3d3b5592a5f0b0ff93436faaee959412bbd166,ref:23643_225461671,False,False
