display_reference,title,area,location,ontap_geo_cluster,assessable_market,in_uk_market_universe,jobg8_classification,salary_minimum_raw,salary_maximum_raw,salary_period,annualised_minimum_estimate,annualised_maximum_estimate,description_annualised_maximum_estimate,salary_evidence_source,salary_bucket,discovery_source,description_signal_count,description_signals,provisional_decision,provisional_reason,description_excerpt,content_dedupe_key,dedupe_key,is_duplicate,is_content_duplicate
2048026,Digital Innovation Officer,Antrim,County Antrim,Northern Ireland - East,Northern Ireland - East,YES,I.T. & Communications,21.65,21.65,Hourly,42217.5,42217.5,42217.5,structured,"£40k–£50,000",DESCRIPTION,2,marketing campaign; marketing campaigns,OUT_SPECIALIST,specialist/senior title boundary,"<p><b>Job Title: </b>Digital Innovation Officer</p> <p><b>Salary: </b>£21.65 per hour</p> <p><b>Location: </b>Mossley Mill, Antrim & Newtownabbey</p> <p><b>Hours: </b>37 hours per week</p> <p><b> <u>Deadline: Monday 10 th Aug </u> </b></p> <p> </p> <p><b>Job Description:</b></p> <p>The Digital Innovation Officer is an exciting post within the Economic Development section, which will drive forward the digital agenda for growth; assisting businesses and social enterprises to accelerate their digital journeys, securing new opportunities for digital technology to support economic growth and support our residents to access the opportunities available through this growth sector.</p> <p>The Digital",dc3682f3c4ddc79b,ref:2048026,False,False
23643_225456125,Senior Internal Communications Officer,Not Specified,London,London,London,YES,Administration,250.00,250.00,Daily,,,65000.0,description_fallback,">£50,000 OUT",TITLE,0,,OUT_SALARY,"annualised salary exceeds £50,000","<p><strong>Senior Internal Communications Officer</strong></p><p><strong>Harrow </strong></p><p><strong>£250.00 per day PAYE + 28 days holiday (£65,000.00 per annum)</strong></p><p><strong>Ongoing contract</strong></p><p><strong>Hybrid</strong></p><p><strong>Location: HA3 </strong></p><p><strong>Role</strong></p> <ul> <li>Reporting into the Head of Communications, you will be a key player in the Council s Communications function</li></ul> <ul> <li>Develop, implement and evaluate integrated communications strategies and solutions to promote and support Harrow s services, policies and objectives, manage reputation, change behaviour and promote resident engagement.</li><li>Uphold and promote th",a5f5dfaecf9f2ba7,ref:23643_225456125,False,False
23643_225459843,Social Media Manager,City,Manchester,Greater Manchester - Manchester & Salford,Greater Manchester - Manchester & Salford,YES,Advert / Media / Entertainment,40000.00,50000.00,Annual,40000.0,50000.0,,structured,"£40k–£50,000",TITLE,2,digital marketing; social media,LIKELY_IN,family title is a strong inclusion signal,"Social Media Manager. <p>Our client based in Manchester is currently looking for an experienced Social Media Manager.</p> <p>You will be working for a growing organisation that is building a team of talented, passionate, tech-minded people with a range of skills, experience, and expertise. We are looking for someone to join our client's Digital Marketing team that is passionate about progressing their career in a fast-paced professional environment. We are looking for a Social Media Manager who will be instrumental in driving our client's Social Media activity forward.</p> You will: <ul> <li>Take a hands-on approach to delivering the Social Media Strategy</li> <li>have experience in building",427761bfea8d77d8,ref:23643_225459843,False,False
23643_225457695,Senior Internal Communications Officer,Not Specified,London,London,London,YES,Consulting & Corporate Strategy,,,Annual,,,,missing,missing/unknown,TITLE,0,,LIKELY_IN,family title is a strong inclusion signal,"<p>My client in <strong>Greater London </strong>are looking to appoint a talented <strong>Senior Internal Communications Officer </strong>on a <strong>Contract </strong>basis.</p><p> </p><p><strong>This is an exciting opportunity to lead the Council's internal communications and employee engagement activity, ensuring staff receive clear, engaging and timely communications that support organisational priorities, transformation programmes and cultural change.</strong></p><p><strong> </strong></p><p><strong>What's on offer:</strong></p><ul><li><strong>Salary: 250 per day Inside IR35 </strong></li></ul><p><strong> negotiable based on experience</strong></p><p><strong> please submit your CV with ",ad8da4661f8bddb2,ref:23643_225457695,False,False
107729970,CRM & Marketing Automation Manager,Poole,Dorset,Dorset,Dorset,YES,Sales & Marketing,45000.00,45000.00,Annual,45000.0,45000.0,,structured,"£40k–£50,000",TITLE,0,,BORDERLINE,description-led family signal needs advert review,"<p><b> Location: </b> Poole </p><p><b> Hours: </b> Monday Friday, 8am-5pm, 40 hours per week, hybrid working 2 days per week in the office, 3 days working from home</p><p><b> Salary: </b> Up to £45,000 </p><p><b> Benefits: </b> 22 days rising after 2 years, Holiday buy-back scheme, Pension, Monthly profit share bonus, on-site parking, Modern open plan offices, Free lunch every Friday, Unlimited office snacks, Company sick pay, Eye care vouchers, Birthday voucher click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?eq2PR%2bX5ctw18CrJVPrBXJEv%2bPoCAAK%2bp"" width=""0"" height=""0"" />",2eaba95d98936071,ref:107729970,False,False
19909_10462406-7162d1535c2c08006298d27087d306e0,"Sr. Performance Marketing Mgr, Veeqo",Neath,West Glamorgan,Wales South - Swansea Bay,Wales South - Swansea Bay,YES,Sales & Marketing,,,Annual,,,,missing,missing/unknown,TITLE,3,marketing campaign; marketing campaigns; campaign performance,OUT_SPECIALIST,specialist/senior title boundary,"We are seeking a Senior B2B Performance Marketing Manager with experience in marketing specifically for a B2B SaaS company targeting mid-market to enterprise level clients. The ideal candidate will be a data-driven and analytical marketer with a track record of driving growth through performance marketing, specifically across paid channels including search (Google, Microsoft), paid social (LinkedIn, Meta), display, and programmatic. They have experience leading cross-functional paid media initiatives in a fast-moving and ambiguous environment, balancing long-term channel strategy with the ability to execute tactical optimizations in a fast-growing space. <br/><br/>As the Senior B2B Performan",f9ded990fe3a94bb,ref:19909_10462406-7162d1535c2c08006298d27087d306e0,False,False
19909_10462406-4d8ceb53c4c58ade6802702bc84627ac,"Sr. Performance Marketing Mgr, Veeqo",Waunarlwydd,Swansea,Other / Unknown,Other / Unknown,NO,Sales & Marketing,,,Annual,,,,missing,missing/unknown,TITLE,3,marketing campaign; marketing campaigns; campaign performance,OUT_SPECIALIST,specialist/senior title boundary,"We are seeking a Senior B2B Performance Marketing Manager with experience in marketing specifically for a B2B SaaS company targeting mid-market to enterprise level clients. The ideal candidate will be a data-driven and analytical marketer with a track record of driving growth through performance marketing, specifically across paid channels including search (Google, Microsoft), paid social (LinkedIn, Meta), display, and programmatic. They have experience leading cross-functional paid media initiatives in a fast-moving and ambiguous environment, balancing long-term channel strategy with the ability to execute tactical optimizations in a fast-growing space. <br/><br/>As the Senior B2B Performan",c75aef8bda6780ba,ref:19909_10462406-4d8ceb53c4c58ade6802702bc84627ac,False,False
19909_10462406,"Sr. Performance Marketing Mgr, Veeqo",Llanelli,Dyfed,Wales - West,Wales - West,YES,Sales & Marketing,,,Annual,,,,missing,missing/unknown,TITLE,3,marketing campaign; marketing campaigns; campaign performance,OUT_SPECIALIST,specialist/senior title boundary,"We are seeking a Senior B2B Performance Marketing Manager with experience in marketing specifically for a B2B SaaS company targeting mid-market to enterprise level clients. The ideal candidate will be a data-driven and analytical marketer with a track record of driving growth through performance marketing, specifically across paid channels including search (Google, Microsoft), paid social (LinkedIn, Meta), display, and programmatic. They have experience leading cross-functional paid media initiatives in a fast-moving and ambiguous environment, balancing long-term channel strategy with the ability to execute tactical optimizations in a fast-growing space. <br/><br/>As the Senior B2B Performan",b5399556dd4cf062,ref:19909_10462406,False,False
19909_10462406-3e957ea96a94a1bf022eb951534bf24f,"Sr. Performance Marketing Mgr, Veeqo",City,Swansea,Other / Unknown,Other / Unknown,NO,Sales & Marketing,,,Annual,,,,missing,missing/unknown,TITLE,3,marketing campaign; marketing campaigns; campaign performance,OUT_SPECIALIST,specialist/senior title boundary,"We are seeking a Senior B2B Performance Marketing Manager with experience in marketing specifically for a B2B SaaS company targeting mid-market to enterprise level clients. The ideal candidate will be a data-driven and analytical marketer with a track record of driving growth through performance marketing, specifically across paid channels including search (Google, Microsoft), paid social (LinkedIn, Meta), display, and programmatic. They have experience leading cross-functional paid media initiatives in a fast-moving and ambiguous environment, balancing long-term channel strategy with the ability to execute tactical optimizations in a fast-growing space. <br/><br/>As the Senior B2B Performan",c75aef8bda6780ba,ref:19909_10462406-3e957ea96a94a1bf022eb951534bf24f,False,True
19909_10462406-7877ef1ed35e6b31af3362a7caefc360,"Sr. Performance Marketing Mgr, Veeqo",Llansamlet,Swansea,Other / Unknown,Other / Unknown,NO,Sales & Marketing,,,Annual,,,,missing,missing/unknown,TITLE,3,marketing campaign; marketing campaigns; campaign performance,OUT_SPECIALIST,specialist/senior title boundary,"We are seeking a Senior B2B Performance Marketing Manager with experience in marketing specifically for a B2B SaaS company targeting mid-market to enterprise level clients. The ideal candidate will be a data-driven and analytical marketer with a track record of driving growth through performance marketing, specifically across paid channels including search (Google, Microsoft), paid social (LinkedIn, Meta), display, and programmatic. They have experience leading cross-functional paid media initiatives in a fast-moving and ambiguous environment, balancing long-term channel strategy with the ability to execute tactical optimizations in a fast-growing space. <br/><br/>As the Senior B2B Performan",c75aef8bda6780ba,ref:19909_10462406-7877ef1ed35e6b31af3362a7caefc360,False,True
