market,likely_in,borderline,plausible_including_borderline,out_salary,out_specialist
Bedfordshire,1,0,1,0,0
Berkshire,11,4,15,1,0
Bristol & Bath,6,2,8,0,0
Buckinghamshire,8,3,11,3,0
Cambridgeshire,6,0,6,2,0
Cheshire - East,1,1,2,0,0
Cheshire - Warrington & Halton,1,0,1,1,0
Cheshire - West,5,1,6,0,0
Cornwall,0,0,0,0,0
Cumbria - North,0,0,0,0,0
Cumbria - South,1,2,3,0,0
Cumbria - West,0,0,0,0,0
Derbyshire,3,1,4,0,0
Devon,5,3,8,0,0
Dorset,3,2,5,1,0
Essex,4,1,5,0,0
Gloucestershire,5,2,7,1,0
Greater Manchester - Manchester & Salford,13,7,20,10,1
Greater Manchester - North,0,0,0,0,0
Greater Manchester - South,1,2,3,1,0
Greater Manchester - Wigan & Bolton,0,0,0,0,0
Hampshire,7,3,10,0,1
Herefordshire,0,0,0,0,0
Hertfordshire,8,2,10,1,0
Kent,4,3,7,2,0
Lancashire - Blackpool & Fylde,1,0,1,0,0
Lancashire - Central,0,0,0,1,0
Lancashire - East,3,0,3,1,0
Lancashire - North,0,0,0,0,0
Lancashire - West,0,0,0,0,0
Leicestershire,1,2,3,2,0
Lincolnshire,3,0,3,1,0
London,31,29,60,37,12
Merseyside - Liverpool,3,1,4,1,0
Merseyside - Sefton,0,0,0,0,0
Merseyside - St Helens & Knowsley,0,0,0,0,0
Merseyside - Wirral,1,1,2,0,0
Norfolk,2,0,2,0,1
North East,4,2,6,2,1
Northamptonshire,2,0,2,0,0
Nottinghamshire,4,0,4,0,2
Oxfordshire,4,4,8,1,1
Rutland,0,0,0,0,0
Shropshire,0,1,1,0,0
Somerset,3,1,4,0,0
Staffordshire,0,2,2,0,0
Suffolk,2,0,2,0,0
Surrey,4,5,9,0,1
Sussex,3,2,5,0,0
West Midlands - Birmingham & Solihull,1,1,2,2,1
West Midlands - Black Country,1,0,1,0,0
West Midlands - Coventry & Warwickshire,2,2,4,0,0
Wiltshire,2,0,2,0,0
Worcestershire,2,0,2,0,0
Yorkshire - East,2,0,2,0,0
Yorkshire - North,11,2,13,0,0
Yorkshire - South,5,2,7,1,0
Yorkshire - West,11,5,16,3,1
North Scotland,0,0,0,0,0
Scotland - Borders,0,0,0,0,0
Scotland Central - Edinburgh & Lothians,1,0,1,2,0
Scotland Central - Falkirk & Stirling,0,0,0,0,0
Scotland Central - Fife,0,0,0,0,0
Scotland Central - Tayside,0,0,0,0,0
Scotland West - Ayrshire,0,0,0,0,0
Scotland West - Glasgow,0,1,1,2,0
Scotland West - Lanarkshire,0,0,0,0,0
Scotland West - Renfrewshire & Inverclyde,0,0,0,0,0
North Wales - East,1,0,1,0,0
North Wales - West,0,0,0,0,0
Wales - Mid,0,0,0,0,0
Wales - West,0,0,0,0,2
Wales South - Cardiff & Vale,2,1,3,1,0
Wales South - Gwent,1,0,1,0,0
Wales South - Swansea Bay,1,0,1,0,2
Wales South - Valleys,0,0,0,0,0
Northern Ireland - East,0,0,0,2,1
Northern Ireland - West,0,0,0,0,0
