month,normalised_title,slice,example_live_titles,total_adverts,days_active,first_day_seen,last_day_seen,average_adverts_per_active_day,peak_daily_count,unique_advertisers,unique_regions,unique_locations,top_advertisers,top_regions,first_five_day_average,last_five_day_average,first_vs_last_five_day_change_pct,trend_label,top_advertiser_share_pct
2026-08,(job share) pt administrative assistant - co down,unclassified,(Job share) PT Administrative Assistant - Co Down (3),3,3,2026-08-04,2026-08-06,1.0,1,1,1,1,Task Recruitment (3),North Wales - West (3),0.4,0.0,-100.0,declining,100.0
2026-08,"(p) area manager, uk central fulfillment",unclassified,"(P) Area Manager, UK Central Fulfillment (2)",2,2,2026-08-11,2026-08-12,1.0,1,1,1,1,Amazon TA (2),Other / Unknown (2),0.0,0.4,100.0,growing,100.0
2026-08,.5-hour qualified pharmacy checking technician - permanent,unclassified,.5-hour Qualified Pharmacy Checking Technician - Permanent (10),10,10,2026-08-04,2026-08-14,1.0,1,1,1,1,Cohens Chemist (10),unknown (10),0.4,1.0,150.0,growing,100.0
2026-08,.net developer,unclassified,.NET Developer (3),3,1,2026-08-14,2026-08-14,3.0,3,1,3,3,Noir (3),Kent (1); Gloucestershire (1); Bristol & Bath (1),0.0,0.6,100.0,growing,100.0
2026-08,.net developer - st albans,unclassified,.NET Developer - St Albans (1),1,1,2026-08-14,2026-08-14,1.0,1,1,1,1,Noir (1),Hertfordshire (1),0.0,0.2,100.0,growing,100.0
2026-08,0-infants team,unclassified,0-Infants Team (2),2,2,2026-08-11,2026-08-12,1.0,1,1,1,1,Randstad Care (2),Lancashire - Blackpool & Fylde (2),0.0,0.4,100.0,growing,100.0
2026-08,111 health advisor,unclassified,111 Health Advisor (2),2,2,2026-08-01,2026-08-02,1.0,1,1,1,1,FCMS (NW) LTD (2),Lancashire - Blackpool & Fylde (2),0.4,0.0,-100.0,declining,100.0
2026-08,15+ team - social worker - bridgend council,unclassified,15+ Team - Social Worker - Bridgend Council (8),8,8,2026-08-06,2026-08-14,1.0,1,1,1,1,Hoop Social Work (8),Wales South - Swansea Bay (8),0.0,1.0,100.0,growing,100.0
2026-08,1:1 healthcare assistant- days or nights,unclassified,1:1 Healthcare Assistant- Days or Nights (3),3,3,2026-08-04,2026-08-06,1.0,1,1,1,1,MPA Recruitment (3),Northern Ireland - East (3),0.4,0.0,-100.0,declining,100.0
2026-08,1st line engineer,unclassified,1st Line Engineer (3),3,3,2026-08-11,2026-08-14,1.0,1,1,1,1,James Frank Associates (3),Surrey (3),0.0,0.6,100.0,growing,100.0
2026-08,1st line network support engineer,unclassified,1st Line Network Support Engineer (3),3,3,2026-08-11,2026-08-14,1.0,1,1,1,1,Context Recruitment Limited (3),Sussex (3),0.0,0.6,100.0,growing,100.0
2026-08,1st line team lead - it service desk (care sector msp),unclassified,1st Line Team Lead - IT Service Desk (Care Sector MSP) (1),1,1,2026-08-06,2026-08-06,1.0,1,1,1,1,Bleckfield Ltd (1),Other / Unknown (1),0.0,0.0,0.0,stable,100.0
2026-08,1x clinical manager & 1x head of clinical services (female applicants only),unclassified,1x Clinical Manager & 1x Head of Clinical Services (Female Applicants Only) (3),3,3,2026-08-08,2026-08-10,1.0,1,1,1,1,Women and Girls Network (3),unknown (3),0.0,0.4,100.0,growing,100.0
2026-08,2 radiographers - craigavon,unclassified,2 Radiographers - Craigavon (3),3,3,2026-08-04,2026-08-06,1.0,1,1,1,1,First Choice Selection Services (3),Northern Ireland - West (3),0.4,0.0,-100.0,declining,100.0
2026-08,2nd charge underwriter,unclassified,2nd Charge Underwriter (1),1,1,2026-08-14,2026-08-14,1.0,1,1,1,1,Enra Specialist Finance (1),Hertfordshire (1),0.0,0.2,100.0,growing,100.0
2026-08,2nd line engineer - 6-month contract,unclassified,2nd Line Engineer - 6-month contract (5),5,3,2026-08-11,2026-08-14,1.67,2,1,2,2,James Frank Associates (5),Kent (3); unknown (2),0.0,1.0,100.0,growing,100.0
2026-08,2nd line it engineer,unclassified,2nd Line IT Engineer (1),1,1,2026-08-14,2026-08-14,1.0,1,1,1,1,Solus Accident Repair Centres (1),Other / Unknown (1),0.0,0.2,100.0,growing,100.0
2026-08,2nd line network engineer (24/7 shift),unclassified,2nd Line Network Engineer (24/7 Shift) (1),1,1,2026-08-14,2026-08-14,1.0,1,1,1,1,ECS (1),West Midlands - Birmingham & Solihull (1),0.0,0.2,100.0,growing,100.0
2026-08,2nd line support engineer,unclassified,2nd Line Support Engineer (1),1,1,2026-08-11,2026-08-11,1.0,1,1,1,1,ECS Resource Group Ltd (1),unknown (1),0.0,0.2,100.0,growing,100.0
2026-08,3 pqe family solicitor - fully remote,unclassified,3 PQE Family Solicitor - Fully Remote (1),1,1,2026-08-14,2026-08-14,1.0,1,1,1,1,Reed (1),Essex (1),0.0,0.2,100.0,growing,100.0
2026-08,3+ pqe litigation solicitor/senior solicitor,unclassified,3+ PQE Litigation Solicitor/Senior Solicitor (1),1,1,2026-08-14,2026-08-14,1.0,1,1,1,1,Reed (1),Bedfordshire (1),0.0,0.2,100.0,growing,100.0
2026-08,360 excavator operator gps,unclassified,360 Excavator Operator GPS (13),13,13,2026-08-01,2026-08-14,1.0,1,1,1,1,Hawkstone Recruitment Limited (13),North East - Tees Valley (13),1.0,1.0,0.0,stable,100.0
2026-08,3d designer (bespoke cardboard displays),unclassified,3D Designer (Bespoke Cardboard Displays) (3),3,3,2026-08-11,2026-08-14,1.0,1,1,1,1,Ernest Gordon Recruitment (3),Yorkshire - West (3),0.0,0.6,100.0,growing,100.0
2026-08,5 recruitment support officers hybrid - armagh,unclassified,5 Recruitment Support Officers Hybrid - Armagh (3),3,3,2026-08-04,2026-08-06,1.0,1,1,1,1,First Choice Selection Services (3),Northern Ireland - West (3),0.4,0.0,-100.0,declining,100.0
2026-08,?electrical tenant supervisor,unclassified,?Electrical Tenant Supervisor (3),3,3,2026-08-11,2026-08-14,1.0,1,1,1,1,CBW Staffing Solutions Ltd (3),unknown (3),0.0,0.6,100.0,growing,100.0
2026-08,a&p technician,unclassified,A&P Technician (2),2,2,2026-08-11,2026-08-12,1.0,1,1,1,1,Plumm (Integration) (2),unknown (2),0.0,0.4,100.0,growing,100.0
2026-08,aat accounts technician - axminster,unclassified,AAT Accounts Technician - Axminster (3),3,3,2026-08-11,2026-08-14,1.0,1,1,1,1,Blue Arrow- Taunton (3),Devon (3),0.0,0.6,100.0,growing,100.0
2026-08,aba assistant- slough,unclassified,ABA Assistant- Slough (1),1,1,2026-08-14,2026-08-14,1.0,1,1,1,1,Academics (1),Berkshire (1),0.0,0.2,100.0,growing,100.0
2026-08,aba therapist,unclassified,ABA Therapist (13),13,13,2026-08-01,2026-08-14,1.0,1,1,1,1,Tribepost Ltd (13),Scotland Central - Edinburgh & Lothians (13),1.0,1.0,0.0,stable,100.0
2026-08,"aberdeen optometrist role - up to £65,000",unclassified,"Aberdeen Optometrist Role - Up to £65,000 (13)",13,13,2026-08-01,2026-08-14,1.0,1,1,1,1,Vivid Optical (13),unknown (13),1.0,1.0,0.0,stable,100.0
2026-08,ac supervisor,unclassified,AC Supervisor (1),1,1,2026-08-11,2026-08-11,1.0,1,1,1,1,Russell Taylor Group Ltd (1),London (1),0.0,0.2,100.0,growing,100.0
2026-08,aca / acca manager - none audit,unclassified,ACA / ACCA Manager - None Audit (2),2,2,2026-08-11,2026-08-12,1.0,1,1,1,1,IPS Group (2),Yorkshire - South (2),0.0,0.4,100.0,growing,100.0
2026-08,aca accountant,unclassified,ACA Accountant (3),3,3,2026-08-11,2026-08-14,1.0,1,1,1,1,Hays Specialist Recruitment Limited (3),unknown (3),0.0,0.6,100.0,growing,100.0
2026-08,academic quality and governance officer,unclassified,Academic Quality and Governance Officer (3),3,3,2026-08-01,2026-08-03,1.0,1,1,1,1,University of the Built Environment (3),Berkshire (3),0.6,0.0,-100.0,declining,100.0
2026-08,academy administrator,unclassified,Academy Administrator (3),3,3,2026-08-11,2026-08-14,1.0,1,1,1,1,Balance Education Limited (3),London (3),0.0,0.6,100.0,growing,100.0
2026-08,academy head of finance,unclassified,Academy Head of Finance (3),3,3,2026-08-11,2026-08-14,1.0,1,1,1,1,EduExec Recruitment Limited (3),unknown (3),0.0,0.6,100.0,growing,100.0
2026-08,academy manager health and social care,unclassified,Academy Manager Health and Social Care (13),13,13,2026-08-01,2026-08-14,1.0,1,1,1,1,Derby College (13),East Midlands (13),1.0,1.0,0.0,stable,100.0
2026-08,academy player chaperone,unclassified,Academy Player Chaperone (1),1,1,2026-08-12,2026-08-12,1.0,1,1,1,1,Brighton and Hove Albion Football Club (1),Sussex (1),0.0,0.2,100.0,growing,100.0
2026-08,acca accounts manager/director - axminster,unclassified,ACCA Accounts Manager/Director - Axminster (3),3,3,2026-08-11,2026-08-14,1.0,1,1,1,1,Blue Arrow- Taunton (3),Devon (3),0.0,0.6,100.0,growing,100.0
2026-08,acca practice accounts manager/director - axminster,unclassified,ACCA Practice Accounts Manager/Director - Axminster (3),3,3,2026-08-11,2026-08-14,1.0,1,1,1,1,Blue Arrow- Taunton (3),Devon (3),0.0,0.6,100.0,growing,100.0
2026-08,accessible document specialist,unclassified,Accessible Document Specialist (6),6,6,2026-08-07,2026-08-12,1.0,1,1,1,1,Harvey Nash (6),Scotland West - Glasgow (6),0.0,0.8,100.0,growing,100.0
2026-08,accident & emergency nurse,unclassified,Accident & Emergency Nurse (6),6,6,2026-08-01,2026-08-06,1.0,1,1,1,1,Bluestones Medical Recruitment Limited (6),North Wales - West (6),1.0,0.0,-100.0,declining,100.0
2026-08,accident and emergency nurse,unclassified,Accident and Emergency Nurse (6),6,6,2026-08-01,2026-08-06,1.0,1,1,1,1,Bluestones Medical Recruitment Limited (6),North Wales - East (6),1.0,0.0,-100.0,declining,100.0
2026-08,accommodation assistant,unclassified,Accommodation Assistant (2),2,2,2026-08-11,2026-08-12,1.0,1,1,1,1,Hays Business Support (2),London (2),0.0,0.4,100.0,growing,100.0
2026-08,accommodation solution administrator,unclassified,Accommodation Solution Administrator (3),3,3,2026-08-11,2026-08-14,1.0,1,1,1,1,Tate (3),unknown (3),0.0,0.6,100.0,growing,100.0
