month,region,region_scope,category,existing_live_page,recommendation,recommendation_reason,total_jobs,feed_days,days_seen,seen_ratio_pct,average_daily_count,minimum_daily_count,maximum_daily_count,days_with_6_plus,days_with_12_plus,first_five_day_average,last_five_day_average,direction_change_pct,decline_type,decline_explanation,unique_title_count,unique_company_count,unique_location_count,top_titles,top_companies,top_1_company_share_pct,top_2_company_share_pct,concentration_risk,credible_slice,manual_review_pilot
2026-07,London,lookup_region,broader_office_administration,no,BUILD,"Meets persistence, average-volume and breadth safeguards without severe advertiser concentration.",45,14,14,100.0,20.36,5,34,11,9,29.8,5.8,-80.5,broad_based_decline,The decline remains material after removing the two largest first-window advertisers.,41,24,14,Customer Service Administrator (14); Research Grants Administrator (14); Credit Administrator (14); IFA Administrator (14); Project Administrator (10); Logisitics Administrator (9); Inventory Administrator (6 Mnth Contract) (8); Receptionist/ Administrator (37.5 hrs pw) (8); Medical Receptionist (25 hrs pw) (8); Medical Receptionist (28-33 hrs pw) (8),Honeycomb Jobs Ltd (88); Lynda Jacobs Recruitment (30); Financial Divisions (28); KEYSTONE EMPLOYMENT GROUP NO.1 LIMITED (14); LJ Recruitment (14); Julie Rose Recruitment (10); Apple Recruitment (10); Sheridan Maine (9); Derry GP Federation (8); South Thames College Group (8),30.9,41.4,LOW,True,True
2026-07,Yorkshire - West,lookup_region,broader_office_administration,no,BUILD,"Meets persistence, average-volume and breadth safeguards without severe advertiser concentration.",12,14,14,100.0,6.93,4,10,7,0,9.2,4.8,-47.8,broad_based_decline,The decline remains material after removing the two largest first-window advertisers.,11,11,5,Export Administrator (14); Insolvency Administrator (14); Office Administrator Assistant & Companies House Compliance Officer Assistant (13); Junior Regulatory Affairs Administrator (11); Design Administrator (9); Client Reporting Administrator (7); Customer Administrator (7); IFA Administrator (7); Ifa Administrator (7); Driver Services Administrator (5),Huntress (21); GGT Insolvency Recruitment (14); Wine & Co (13); Astonish (11); M Group (9); NJR Recruitment (7); Clayton Davies Ltd (7); Reed (7); Global Autocare Limited (5); Premier Jobs UK Limited (2),21.6,36.1,LOW,True,True
2026-07,Hampshire,lookup_region,broader_office_administration,no,BUILD,"Meets persistence, average-volume and breadth safeguards without severe advertiser concentration.",12,14,14,100.0,6.14,3,10,7,0,8.8,3.8,-56.8,broad_based_decline,The decline remains material after removing the two largest first-window advertisers.,10,11,7,Customer Service Administrator (14); German Speaking Administrator (14); Italian speaking Administrator (14); Administrator / SEN Administrator (SEND Support) (13); IFA Administrator (9); Financial Planning Administrator (7); Wealth Administrator (7); Access Arrangements and Examination Administrator (4); In Service Support Project Coordinator (2); Reward Administrator (2),ABL Recruitment (28); AWD Online (13); Reed (7); Dynamite Recruitment Solutions Ltd (7); Eden Rose (7); Adecco (7); Honeypot People Ltd (7); Havant and South Downs College (HSDC) (4); TEMPLEGATE RECRUITMENT (2); Critical Maritime Systems & Support Limited (2),32.6,47.7,LOW,True,True
2026-07,unknown,lookup_region,broader_office_administration,no,WATCH,limited title/company/location breadth; broad based decline,74,14,14,100.0,33.93,17,52,14,14,45.2,25.6,-43.4,broad_based_decline,The decline remains material after removing the two largest first-window advertisers.,62,55,1,IFA Administrator (25); Insolvency Administrator (19); Remote Admin Assistant (14); Mortgage Administrator (14); Japanese Speaking Financial Administrator - Hybrid (14); Quality Control Administrator (14); Payments Administrator (14); Purchasing and Shipping Administrator (14); Customer Service Administrator (14); Mandarin Treasury Settlement Administrator (14),Financial Divisions (43); Reed (42); SmartPA (14); Brevere Group (14); Ortus PSR (14); People First (14); Huntress (14); Sterling Williams LTD (14); Office Angels (14); ABL Recruitment (14),9.1,17.9,LOW,False,False
2026-07,unknown,lookup_region,care_assistant_healthcare_assistant,no,WATCH,limited title/company/location breadth,24,14,14,100.0,11.79,9,14,14,8,11.0,13.2,20.0,no_meaningful_decline,,16,19,1,"Complex Care Assistant (26); Care Assistant (19); Night Healthcare Assistant (14); Community Complex Healthcare Assistant (14); Complex care assistant (14); Care Assistant to a Creative Writing & English Literature Graduate (14); Trainee Hearing Care Assistant, Wolverhampton (14); Night Health Care Assistant (12); Healthcare Assistant (11); Hearing Care Assistant, Cumbria (7)",Superior Healthcare (27); Routes Healthcare (North) (27); Leightons Opticians & Hearing Care (21); Complex Care Professionals Limited (14); Ask Jules (14); Ventry Care Homes (12); Medgen Ltd (10); MPA Recruitment (8); PROXYCARE LIMITED (6); London Care Limited (5),16.4,32.7,LOW,False,False
2026-07,Kent,lookup_region,care_assistant_healthcare_assistant,no,WATCH,severe advertiser concentration; mainly large campaigns disappearing,23,14,14,100.0,11.0,3,13,13,8,12.4,9.4,-24.2,mainly_large_campaigns_disappearing,"Top early advertiser(s) Superior Healthcare, Kent Social Care Professionals Limited account for approximately 100% of the measured decline.",5,6,14,Complex Care Assistant (115); Care Assistant (15); Qualified Hearing Care Assistant (14); Carer (6); Community Carer (4),Superior Healthcare (115); Leightons Opticians & Hearing Care (14); Kent Social Care Professionals Limited (10); TALENT INTERNATIONAL UK LTD (6); MiHomecare Limited (5); Nurse Seekers (4),74.7,83.8,HIGH,False,False
2026-07,Northern Ireland - East,lookup_region,broader_office_administration,no,WATCH,insufficient persistence; broad based decline,19,14,8,57.1,8.79,0,19,8,6,14.2,0.0,-100.0,broad_based_decline,The decline remains material after removing the two largest first-window advertisers.,17,10,9,Administrative Assistant (16); Admin Assistant (14); Administrator (Factory Setting) - Antrim (8); Medical Receptionist/ Administrator (14.5 hrs pw) (8); Information & Records Administrator (8); Office Co-Ordinator & Receptionist (8); Estates Administrator Band 4 Temp (8); Customer Support Administrator (1- Year Contract) (8); Band 3 Administrator temp full time (8); Band 2 Administrator Lisburn( Temp full time) (7),Honeycomb Jobs Ltd (41); The Recruitment Co. (18); First Choice Selection Services (14); Lynda Jacobs Recruitment (8); Mid and East Antrim Borough Council (8); Apple Recruitment (8); Keenan Recruitment (8); Platinum Recruitment (8); Reed Specialist Recruitment (6); MPA Recruitment (4),33.3,48.0,LOW,False,False
2026-07,unknown,lookup_region,teaching_sen_learning_support,no,WATCH,limited title/company/location breadth; severe advertiser concentration,11,14,14,100.0,7.79,5,9,13,0,7.4,8.0,8.1,no_meaningful_decline,,10,2,1,Behaviour and Learning mentor (14); Russell Group Teaching Assistant (14); SEND Teaching Assistant (14); 11 SEN Support Assistant - ASD & ADHD (14); Social Science Graduate Teaching Assistant (13); Behaviour Mentor (12); Russell Group Graduate Teaching Assistant (10); Reception Teaching Assistant (8); Teaching Assistant Co-ordinator (7); 11 SEN Learning Support Assistant (3),Ribbons and Reeves Limited (99); Jobsined Ltd (10),90.8,100.0,HIGH,False,False
2026-07,North East,published_aggregate,care_assistant_healthcare_assistant,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,9,14,14,100.0,5.71,1,8,9,0,5.6,5.8,3.6,no_meaningful_decline,,3,4,9,Complex care assistant (36); Complex Care Assistant (25); Care Assistant (15); Social Care Worker (4),Routes Healthcare (North) (61); Comfort Call Limited (10); Careline Homecare Limited (5); Aspen Wolf (U.K) Ltd (4),76.2,88.8,HIGH,False,False
2026-07,Yorkshire - West,lookup_region,care_assistant_healthcare_assistant,no,WATCH,average below 6 jobs/day; severe advertiser concentration,8,14,14,100.0,5.5,3,6,9,0,5.4,5.6,3.7,no_meaningful_decline,,6,5,8,Care Assistant (18); Care Assistant to English Literature Uni Graduate (14); Hourly Care Assistant to Games Development graduate (14); Healthcare Assistant (14); Complex Care Assistant (13); Complex care assistant (3); Health Care Assistant (1),Ask Jules (28); Secure Health Care Solutions (27); Routes Healthcare (North) (16); Comfort Call Limited (5); Exemplar Health Care (1),36.4,71.4,HIGH,False,False
2026-07,Hampshire,lookup_region,care_assistant_healthcare_assistant,no,WATCH,average below 6 jobs/day,12,14,14,100.0,5.14,3,6,5,0,4.6,6.0,30.4,no_meaningful_decline,,9,8,9,Domiciliary Care Assistant (18); Night Care Worker (14); Healthcare Support Worker (9); Care Worker (8); Care Assistant (7); Community Care Worker (5); Care Assistant / Support Worker - Domiciliary care (5); Care Assistant (Older Adults) (5); Live In Care Worker (1),Hampshire County Council (24); ECS Recruitment Consultants Ltd (18); Bluestar Care & Support Ltd (9); Southern Housing (8); SCA Care (5); Career Cross Ltd (5); Alina Homecare (2); Colten Care Limited (1),33.3,58.3,MEDIUM,False,False
2026-07,West Midlands - Coventry & Warwickshire,lookup_region,broader_office_administration,no,WATCH,average below 6 jobs/day; broad based decline,10,14,14,100.0,5.07,3,10,7,0,7.6,3.0,-60.5,broad_based_decline,The decline remains material after removing the two largest first-window advertisers.,8,9,4,FM Scheduler / Compliance Administrator (14); Purchase Administrator (14); Temporary Administrator (14); IFA Administrator (9); IFA Client Administrator (7); Financial Planning Administrator - Leamington Spa (hybrid) - Basic to £30k + generous bonus (7); Contracts Assistant / Administrator - Warwickshire (4); Ifa Administrator - Hybrid (2),Retaind Limited (14); Greenwell Gleeson (14); Love Success Recruitment (14); Ortus PSR (7); MI Search Ltd (7); Premier Jobs UK Limited (7); MYO Talent (4); Reed (2); Brevere Group (2),19.7,39.4,LOW,False,False
2026-07,Surrey,lookup_region,broader_office_administration,no,WATCH,average below 6 jobs/day; broad based decline,12,14,14,100.0,4.86,2,9,7,0,7.6,2.0,-73.7,broad_based_decline,The decline remains material after removing the two largest first-window advertisers.,10,11,9,"Customer Service Administrator (14); IFA Administrator (14); Administrator Construction Industry (8); Financial Planning Administrator, Godalming, Surrey, £30,000 - £38,000 Basic Salary + Bonus + (7); Financial Services Administrator (7); Administrator (5); Dental Receptionist (5); IFA Administrator Hybrid (4); Admin Assistant - Bank - Care Home (2); Compliance Administrator (2)",Financial Divisions (14); Reed (8); Copperfield Recruitment Ltd (7); Faith Recruitment (7); Eden Rose (7); Life and Careers (7); Layka Connect (5); Additional Resources Ltd (5); Cameron James (4); Barchester Healthcare (2),20.6,32.4,LOW,False,False
