lookup_region,job_id,title,company,raw_area,raw_location,diagnostic_status,selected_categories,register_matches,first_seen,last_seen,days_seen
London,21618_19319_79611-8943dbd9a16f7c24763d0a153dba127e,British Sign Language (BSL) Interpreter - Work from home,Teleperformance,City,Birmingham,unregistered_title,,,2026-07-23,2026-07-29,7
Other / Unknown,1582210,Nurse Manager,MSI Reproductive Choices UK,Birmingham,Staffordshire,registered_but_not_selected,,admin_service:HARD_PASS,2026-07-25,2026-07-31,7
Other / Unknown,1582207,Registered Nurse,MSI Reproductive Choices UK,Birmingham,Staffordshire,registered_but_not_selected,,admin_service:HARD_PASS,2026-07-25,2026-07-31,7
Other / Unknown,1537434,Key Worker,Cranstoun,Birmingham,Staffordshire,unregistered_title,,,2026-07-25,2026-07-31,7
Other / Unknown,1564741,Solihull Early Help Autism Worker,Barnardos,Birmingham,Staffordshire,unregistered_title,,,2026-07-25,2026-07-31,7
Other / Unknown,1595764,Peer Mentor - Intensive Community Rehabilitation Team,IRIS Recruitment,Birmingham,Staffordshire,unregistered_title,,,2026-07-28,2026-07-31,4
Other / Unknown,1539403,SENIOR YOUTH SUPPORT WORKER (OASIS MIDLANDS),Oasis Trust,Birmingham,Staffordshire,unregistered_title,,,2026-07-25,2026-07-26,2
Other / Unknown,1618696,Registry Administrator,National Institute of Teaching,Birmingham,Staffordshire,unregistered_title,,,2026-07-31,2026-07-31,1
unknown,918f3c1b-aa35-4e1d-8ad5-021fb8668c0a,Commercial Administrator,Hays Specialist Recruitment Limited,Not Specified,Birmingham,admin_service_selected,admin_service,admin_service:HIGH_CONFIDENCE,2026-07-11,2026-07-29,19
unknown,d60817e1-969f-4fc8-9caf-9a70f34c36cd,Customer Service Administrator,Equals One,Not Specified,Birmingham,admin_service_selected,admin_service; customer_service_contact_centre,admin_service:HIGH_CONFIDENCE; customer_service_contact_centre:ELASTIC_FIT; hr_recruitment:REVIEW_CONTEXT_DEPENDENT,2026-07-16,2026-07-30,15
unknown,ad05189b-c1cf-4240-bfad-2d6535784a9b,Business Support Officer,Michael Page Business Support,Not Specified,Birmingham,admin_service_selected,admin_service,admin_service:HIGH_CONFIDENCE; hr_recruitment:REVIEW_CONTEXT_DEPENDENT,2026-07-17,2026-07-29,13
unknown,7f120cfd-c883-443b-a695-204b75bbcdbb,Senior Pensions Administrator,Alexander Lloyd,Not Specified,Birmingham,admin_service_selected,admin_service,admin_service:HIGH_CONFIDENCE; customer_service_contact_centre:REVIEW_CONTEXT_DEPENDENT; finance_accounts:HARD_PASS; hr_recruitment:REVIEW_CONTEXT_DEPENDENT,2026-07-18,2026-07-30,13
