date,job_id,title,company,raw_area,raw_location,geo_source,category,source_file,unknown_reason
2026-07-01,7b792fc6-20c1-461e-8925-051b82b6fbd2,Financial Planning Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-01.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-01,66a5df92-610a-4804-9925-80033c3451f5,Financial Services Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-01.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-01,56381f2e-2636-4b80-b969-174b7dbbd215,Remote Admin Assistant,SmartPA,Not Specified,Not Specified,unknown,admin_service,2026-07-01.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-02,2044240,Clerical Officer,Apple Recruitment,Altnagelvin,County Londonderry,unknown,admin_service,2026-07-02.xlsx,area_not_found_in_geo_lookup
2026-07-02,2044549,Business Support Officer,Platinum Recruitment,Bessbrook,County Down,unknown,admin_service,2026-07-02.xlsx,area_not_found_in_geo_lookup
2026-07-02,2042764,Administration Support Officer - Finance Newry,First Choice Selection Services,Not Specified,Not Specified,unknown,admin_service,2026-07-02.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-02,7b792fc6-20c1-461e-8925-051b82b6fbd2,Financial Planning Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-02.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-02,66a5df92-610a-4804-9925-80033c3451f5,Financial Services Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-02.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-02,56381f2e-2636-4b80-b969-174b7dbbd215,Remote Admin Assistant,SmartPA,Not Specified,Not Specified,unknown,admin_service,2026-07-02.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-03,2044549,Business Support Officer,Platinum Recruitment,Bessbrook,County Down,unknown,admin_service,2026-07-03.xlsx,area_not_found_in_geo_lookup
2026-07-03,2042764,Administration Support Officer - Finance Newry,First Choice Selection Services,Not Specified,Not Specified,unknown,admin_service,2026-07-03.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-03,7b792fc6-20c1-461e-8925-051b82b6fbd2,Financial Planning Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-03.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-03,66a5df92-610a-4804-9925-80033c3451f5,Financial Services Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-03.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-03,56381f2e-2636-4b80-b969-174b7dbbd215,Remote Admin Assistant,SmartPA,Not Specified,Not Specified,unknown,admin_service,2026-07-03.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-04,2044549,Business Support Officer,Platinum Recruitment,Bessbrook,County Down,unknown,admin_service,2026-07-04.xlsx,area_not_found_in_geo_lookup
2026-07-04,7b792fc6-20c1-461e-8925-051b82b6fbd2,Financial Planning Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-04.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-04,66a5df92-610a-4804-9925-80033c3451f5,Financial Services Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-04.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-04,56381f2e-2636-4b80-b969-174b7dbbd215,Remote Admin Assistant,SmartPA,Not Specified,Not Specified,unknown,admin_service,2026-07-04.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-05,2044549,Business Support Officer,Platinum Recruitment,Bessbrook,County Down,unknown,admin_service,2026-07-05.xlsx,area_not_found_in_geo_lookup
2026-07-05,7b792fc6-20c1-461e-8925-051b82b6fbd2,Financial Planning Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-05.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-05,66a5df92-610a-4804-9925-80033c3451f5,Financial Services Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-05.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-05,56381f2e-2636-4b80-b969-174b7dbbd215,Remote Admin Assistant,SmartPA,Not Specified,Not Specified,unknown,admin_service,2026-07-05.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-06,2044549,Business Support Officer,Platinum Recruitment,Bessbrook,County Down,unknown,admin_service,2026-07-06.xlsx,area_not_found_in_geo_lookup
2026-07-06,7b792fc6-20c1-461e-8925-051b82b6fbd2,Financial Planning Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-06.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-06,66a5df92-610a-4804-9925-80033c3451f5,Financial Services Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-06.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-06,56381f2e-2636-4b80-b969-174b7dbbd215,Remote Admin Assistant,SmartPA,Not Specified,Not Specified,unknown,admin_service,2026-07-06.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-06,107632873,Technical Administrator,The Collective Network,Not Specified,Cambridgeshire,unknown,admin_service,2026-07-06.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-07,2044549,Business Support Officer,Platinum Recruitment,Bessbrook,County Down,unknown,admin_service,2026-07-07.xlsx,area_not_found_in_geo_lookup
2026-07-07,7b792fc6-20c1-461e-8925-051b82b6fbd2,Financial Planning Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-07.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-07,66a5df92-610a-4804-9925-80033c3451f5,Financial Services Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-07.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-07,56381f2e-2636-4b80-b969-174b7dbbd215,Remote Admin Assistant,SmartPA,Not Specified,Not Specified,unknown,admin_service,2026-07-07.xlsx,area_unusable_and_location_not_auto_fallback
