lookup_region,job_id,title,company,raw_area,raw_location,diagnostic_status,selected_categories,register_matches,first_seen,last_seen,days_seen
West Midlands - Birmingham & Solihull,c0b71915-647a-4104-8a2a-1ba67e962755,Receptionist,Tirebuck Recruitment,Solihull,West Midlands,admin_service_selected,admin_service,admin_service:HIGH_CONFIDENCE; customer_service_contact_centre:REVIEW_CONTEXT_DEPENDENT,2026-07-16,2026-07-30,15
West Midlands - Birmingham & Solihull,9637fb61-a166-43dc-871a-a88b13184b7a,IFA Administrator,Recruit UK,Solihull,West Midlands,admin_service_selected,admin_service,admin_service:HIGH_CONFIDENCE; customer_service_contact_centre:REVIEW_CONTEXT_DEPENDENT; finance_accounts:OUT_OF_SCOPE; hr_recruitment:REVIEW_CONTEXT_DEPENDENT,2026-07-18,2026-07-30,13
West Midlands - Birmingham & Solihull,37af4b97-108f-4ada-9d01-656c429f8454,Finance Administrator,Recruiit,Solihull,West Midlands,admin_service_selected,admin_service; finance_accounts,admin_service:HIGH_CONFIDENCE; customer_service_contact_centre:REVIEW_CONTEXT_DEPENDENT; finance_accounts:HIGH_CONFIDENCE; hr_recruitment:REVIEW_CONTEXT_DEPENDENT,2026-07-01,2026-07-14,9
West Midlands - Birmingham & Solihull,2551aeb6-4c47-4e5e-af60-388d77af87b4,Administrator,Pertemps Solihull,Solihull,West Midlands,admin_service_selected,admin_service,admin_service:HIGH_CONFIDENCE; customer_service_contact_centre:REVIEW_CONTEXT_DEPENDENT; hr_recruitment:REVIEW_CONTEXT_DEPENDENT,2026-07-30,2026-07-31,2
West Midlands - Birmingham & Solihull,c284bb94-0856-4ac5-a3d8-7100a3606ce7,Office Administrator,Pertemps Solihull,Solihull,West Midlands,admin_service_selected,admin_service,admin_service:HIGH_CONFIDENCE; customer_service_contact_centre:REVIEW_CONTEXT_DEPENDENT; hr_recruitment:REVIEW_CONTEXT_DEPENDENT,2026-07-30,2026-07-31,2
West Midlands - Birmingham & Solihull,107672403,Care Assistant - Complex Care,Care Birmingham,Sutton Coldfield,West Midlands,other_registered_category_selected,support_worker,support_worker:ELASTIC_FIT,2026-07-11,2026-07-30,20
West Midlands - Birmingham & Solihull,a44415c4-c972-4e4c-9127-7b43c377ee96,School Administrator,Aspire People Limited,Solihull,West Midlands,registered_but_not_selected,,admin_service:HARD_PASS; customer_service_contact_centre:REVIEW_CONTEXT_DEPENDENT; hr_recruitment:REVIEW_CONTEXT_DEPENDENT,2026-07-17,2026-07-30,14
West Midlands - Birmingham & Solihull,d53368fe-ed4f-44ac-8691-89e60086cfcf,Clinical Lead,Healthcare Clinical Recruitment Ltd,Solihull,West Midlands,registered_but_not_selected,,admin_service:OUT_OF_SCOPE,2026-07-10,2026-07-16,7
West Midlands - Birmingham & Solihull,2a51e7fd-0f09-4c34-872d-8233af696745,Dispensing Optician,Specsavers,Solihull,West Midlands,registered_but_not_selected,,admin_service:OUT_OF_SCOPE,2026-07-21,2026-07-27,7
West Midlands - Birmingham & Solihull,1402260868,Retail Optical Assistant,Vision Express,Solihull,West Midlands,registered_but_not_selected,,admin_service:OUT_OF_SCOPE; hr_recruitment:REVIEW_CONTEXT_DEPENDENT,2026-07-01,2026-07-07,7
