month,lookup_region,diagnostic_status,unique_jobs,unique_titles,unique_companies,unique_areas,days_with_jobs,average_daily_active_jobs,maximum_daily_active_jobs,top_titles
2026-07,West Midlands - Birmingham & Solihull,admin_service_selected,5,5,4,1,25,1.32,4,Receptionist (15); IFA Administrator (13); Finance Administrator (9); Office Administrator (2); Administrator (2)
2026-07,West Midlands - Birmingham & Solihull,other_registered_category_selected,1,1,1,1,20,0.65,1,Care Assistant - Complex Care (20)
2026-07,West Midlands - Birmingham & Solihull,registered_but_not_selected,6,5,5,1,28,1.23,2,School Administrator (14); Dispensing Optician (8); Retail Optical Assistant (7); Clinical Lead (7); Vehicle Preparation Technician (2)
2026-07,West Midlands - Birmingham & Solihull,unregistered_title,11,9,6,2,31,2.0,6,Vehicle Technician (20); Financial Inclusion Officer (17); Community Services Manager (14); Administration Coordinator (3); Senior Social Worker - Separated Children & Young People (2); Health & Safety Manager (2); Administrative Occupations: Government And Related Organisations (2); OMODA Vehicle Technician (1); MG Vehicle Technician (1)
2026-07,West Midlands - Black Country,admin_service_selected,2,1,2,2,11,0.35,1,Customer Service Administrator (11)
2026-07,West Midlands - Black Country,other_registered_category_selected,5,5,4,3,19,0.68,2,Mental Health Support Worker (10); Care Assistant (5); Female Support Worker (2); Relief Support Worker (2); Young People Support Worker (2)
2026-07,West Midlands - Black Country,registered_but_not_selected,17,11,11,7,31,5.68,8,Clinical Assessor (56); School Administrator (42); Registered Manager (33); Social Worker (11); Pharmacy Dispenser (9); Beauty Therapist (7); Nurse Assessor (7); Senior Support Worker (6); Home Manager (3); Health Advisor (1); Veterinary Surgeon (1)
2026-07,West Midlands - Black Country,unregistered_title,19,19,15,8,31,5.97,8,Domestic Abuse Support Worker / Advocate (23); Care Provider Quality & Safety Pharmacist (17); Optical Assistant job in Walsall (17); Workflow Operations Coordinator (16); Social Worker - Children in Care Team (15); Social Worker - Assessment Service (15); Registered Children's Home Manager (14); Health & Social Care Assessor (4 day working week) (12); Health & Social Care Assessor (4-day working week) (11); School Finance Admin (11); Principal Lead - Through Care (9); Assessment Nurse (7); Social Care Team Manager (6); Registered Service Manager (3); Team Leader - Children's Residential Home (Solo Provision) (3)
2026-07,West Midlands - Coventry & Warwickshire,admin_service_selected,15,9,13,5,31,5.61,9,Finance Administrator (63); IFA Administrator (28); Temporary Administrator (20); HR Administrator (17); Administrator (15); Customer Support Administrator (14); Senior IFA Administrator (12); Employee Benefits Administrator (3); Receptionist (2)
2026-07,West Midlands - Coventry & Warwickshire,other_registered_category_selected,15,8,7,7,31,2.97,8,Home Carer (29); Relief Support Worker (22); Care Assistant - Bank - Care Home (15); Transport Administrator (9); Support Worker (9); Care Assistant (6); Female Support Worker (1); Support Worker Learning Disabilities (1)
2026-07,West Midlands - Coventry & Warwickshire,registered_but_not_selected,31,26,24,8,31,7.71,12,Toyota Vehicle Technician (24); Executive Assistant (22); Vehicle Preparation Technician (21); Functional Assessor (20); Practice Nurse (16); Optical Assistant (15); Clinical Negligence Solicitor (14); Theatre Scrub Practitioner (13); Senior Support Worker (11); Deputy General Manager Clinical (9); Therapist (8); Foster Carer (8); Clinical Assessor (8); Nurse Assessor (7); Scheme Manager (6)
2026-07,West Midlands - Coventry & Warwickshire,unregistered_title,72,63,43,8,31,20.13,27,FM Scheduler / Compliance Administrator (30); Housing Compliance And Enforcement Officer (29); Independent Living Team Supervisor (28); Diagnostic Vehicle Technician (25); Dispensing Optician - Independent - Leamington Spa - Up to 32K (23); Ofsted Registered Manager Children's Residential Home (EBD) (22); Legal Secretary (22); Tenancy Support Officer (21); Purchase Administrator (21); Business Support & Office Manager (21); Resident Engagement Officer (19); Vehicle Technician (18); Trainee Dental Nurse Required - Coventry (18); Commercial Legal Secretary (16); Support Worker Learning Disabilities Hampton Magna (15)
