job_id,title,employer_identity,source_sector,location,location_resolved,applicable_role_rule_count,recommendation_count,panel_mode,blocker
21618_20279_61775-14ed80d091f0fb71e92c86010d5a3182,Call Centre Agent,EE,private sector,Newcastle upon Tyne,TRUE,4,32,ranked_jobs,
21618_20279_61775-20fc350b6789c39cd18ccac91ac57148,Call Centre Agent,EE,private sector,Newcastle upon Tyne,TRUE,4,32,ranked_jobs,
21618_20279_61775-33210dbc92626a35bffe42114b330ff3,Call Centre Agent,EE,private sector,Newcastle upon Tyne,TRUE,4,32,ranked_jobs,
21618_20279_61775-3c79e0d2d8b9dc829f1439ebfbd69827,Call Centre Agent,EE,private sector,Newcastle upon Tyne,TRUE,4,32,ranked_jobs,
21618_20279_61775-5e8fd437c2acaed207d238cf1b10801c,Call Centre Agent,EE,private sector,Newcastle upon Tyne,TRUE,4,32,ranked_jobs,
21618_20279_61775-5eabb6aaa6c5dac84023535f868d0408,Call Centre Operator,EE,private sector,Newcastle upon Tyne,TRUE,4,32,ranked_jobs,
21618_20279_61775-66639f8323c007f7dc9fbe6bba756b48,Call Centre Operator,EE,private sector,Newcastle upon Tyne,TRUE,4,32,ranked_jobs,
21618_20279_61775-698a92f99cf89eb23ba18f264114428f,Call Centre Agent,EE,private sector,Cramlington,TRUE,4,32,ranked_jobs,
21618_20279_61775-73862c8b83139033e4e4a8b6efca9a33,Call Centre Operator,EE,private sector,Newcastle upon Tyne,TRUE,4,32,ranked_jobs,
21618_20279_61775-73862c8b83139033e4e4a8b6efca9a33-41cdf25d056349db306149492f169b31,Call Centre Operator,EE,private sector,Newcastle upon Tyne,TRUE,4,32,ranked_jobs,
21618_20279_61775-73862c8b83139033e4e4a8b6efca9a33-714afb01ebf3664bdb0febe6b0f96c3d,Call Centre Operator,EE,private sector,Newcastle upon Tyne,TRUE,4,32,ranked_jobs,
21618_20279_61775-89740a075c6163b74ea2c52702062e5d,Call Centre Agent,EE,private sector,Newcastle upon Tyne,TRUE,4,32,ranked_jobs,
