employer_identity,job_count,sources,advertiser_types,draft_sector,matched_rule_ids,evidence_strength,review_status,example_titles
Office Angels,100,JobG8,Agency,unknown,ES176|ES182,LOW|MEDIUM,REVIEW_UNKNOWN,Inspection Administrator | Inspection Support Administrator | Reception - Chester
Reed,59,JobG8,Agency,unknown,ES182,LOW,REVIEW_UNKNOWN,Part-time Administrator | Executive Assistant | Administrator
Adecco,44,JobG8,Agency,unknown,ES182,LOW,REVIEW_UNKNOWN,Case Disposals Administrator CJ | Customer Service Administrator | Part-Time Administrator/ Sales Support
Hays Specialist Recruitment Limited,18,JobG8,Agency,unknown,ES182,LOW,REVIEW_UNKNOWN,Part-time Business Support Officer | Customer Services Administrator | Sales Administrator Temp to Perm
Michael Page,16,JobG8,Agency,unknown,ES182,LOW,REVIEW_UNKNOWN,Accounts Assistant | Marketing Manager | PPC
Ernest Gordon Recruitment Limited,12,JobG8,Agency,unknown,ES182,LOW,REVIEW_UNKNOWN,Business Administrator | Trainee Sales Administrator | Technical Administrator (Construction / Refurbishment)
Honeycomb Jobs Ltd,12,JobG8,Agency,unknown,ES182,LOW,REVIEW_UNKNOWN,Band 3 Administrator (Temp full time) | Customer Service Administrator | Executive Assistant
Search Consultancy Ltd,11,JobG8,Agency,unknown,ES182,LOW,REVIEW_UNKNOWN,Office Receptionist | Data Entry Administrator | Healthcare Assistant
Hays Business Support,10,JobG8,Agency,unknown,ES182,LOW,REVIEW_UNKNOWN,HR Assistant | Sales Support | Lettings Administrator
Huntress,9,JobG8,Agency,unknown,ES182,LOW,REVIEW_UNKNOWN,Recruitment Specialist | Operations Administrator | Receptionist
Adjusting Appointments Limited,7,JobG8,Agency,unknown,ES182,LOW,REVIEW_UNKNOWN,Casualty Claims Handler
Anderson Recruitment Ltd,7,JobG8,Agency,unknown,ES182,LOW,REVIEW_UNKNOWN,Marketing and BDM Manager | Office & Finance Assistant | Team Administrator
Apex Focus Group,7,JobG8,Agency,unknown,ES182,LOW,REVIEW_UNKNOWN,Remote Online Paid Research Panelist (Part-Time) - Data Entry Clerk Welcome | Work From Home Market Research Panelist - Part Time Administration Assistant Welcome
Brandon James,7,JobG8,Agency,unknown,ES182,LOW,REVIEW_UNKNOWN,Conveyancing Paralegal | Financial Services & Funds Paralegal | Paralegal
Hackajob Ltd,7,JobG8,Agency,unknown,ES182,LOW,REVIEW_UNKNOWN,"Associate Director - Sales Representative, Credit Research, Ratings and Analytics | CGO - Specialized Sales Executive | Industry Head, Retail, Large Customer Sales"
"Everywhen, part of the Ardonagh Group",6,JobG8,Agency,unknown,ES182,LOW,REVIEW_UNKNOWN,Claims Handler | Customer Service Advisor | Sales Support
First Recruitment Services,6,JobG8,Agency,unknown,ES182,LOW,REVIEW_UNKNOWN,Sales Support Administrator | Part Time Receptionist | Financial Services Administrator
Hales Group,6,JobG8,Agency,unknown,ES182,LOW,REVIEW_UNKNOWN,Operations Business Support Coordinator | Data Administrator | Site Administrator
Tate,6,JobG8,Agency,unknown,ES182,LOW,REVIEW_UNKNOWN,Administrator | Customer Service Coordinator | Office Operations and Customer Care Co-ordinator
Zachary Daniels,6,JobG8,Agency,unknown,ES182,LOW,REVIEW_UNKNOWN,Senior Ecommerce Executive | Senior Social Media Executive | Marketing Manager (Print & Publications)
Academics,5,JobG8,Agency,unknown,ES182,LOW,REVIEW_UNKNOWN,Youth Support Worker - Oxford | Behaviour Support Assistant - Oxford | Care assistant
