anchor_location,anchor_region,anchor_job_count,nearby_location,nearby_region,nearby_job_count,distance_miles,distance_method,max_distance_miles,display_location_policy,review_status
Aldershot,Hampshire,1,Farnham,Surrey,1,2.8,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Aldershot,Hampshire,1,Godalming,Surrey,1,7.8,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Aldershot,Hampshire,1,Guildford,Surrey,1,8.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Aldershot,Hampshire,1,Alton,Hampshire,1,11.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Aldershot,Hampshire,1,Bracknell,Berkshire,4,11.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Aldershot,Hampshire,1,Wokingham,Berkshire,1,11.7,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Aldershot,Hampshire,1,Basingstoke,Hampshire,1,14.0,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Aldershot,Hampshire,1,Chertsey,Surrey,1,14.7,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Alresford,Hampshire,2,Colchester,Essex,1,4.8,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Alton,Hampshire,1,Farnham,Surrey,1,8.8,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Alton,Hampshire,1,Basingstoke,Hampshire,1,9.2,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Alton,Hampshire,1,Aldershot,Hampshire,1,11.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Altrincham,Greater Manchester - South,4,Sale,Greater Manchester - South,2,2.8,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Altrincham,Greater Manchester - South,4,Stretford,Greater Manchester - Manchester & Salford,1,4.5,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Altrincham,Greater Manchester - South,4,Cheadle,Greater Manchester - South,1,5.5,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Altrincham,Greater Manchester - South,4,Knutsford,Cheshire - East,2,5.9,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Altrincham,Greater Manchester - South,4,Wilmslow,Cheshire - East,1,6.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Altrincham,Greater Manchester - South,4,Salford,Greater Manchester - Manchester & Salford,5,7.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Altrincham,Greater Manchester - South,4,Manchester,Greater Manchester - Manchester & Salford,55,7.9,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Altrincham,Greater Manchester - South,4,Stockport,Greater Manchester - South,2,8.0,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Altrincham,Greater Manchester - South,4,Warrington,Cheshire - Warrington & Halton,3,9.6,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Altrincham,Greater Manchester - South,4,Northwich,Cheshire - West,1,11.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Altrincham,Greater Manchester - South,4,Ashton-under-lyne,Greater Manchester - South,2,12.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Altrincham,Greater Manchester - South,4,Macclesfield,Cheshire - East,3,12.7,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Altrincham,Greater Manchester - South,4,Bolton,Greater Manchester - Wigan & Bolton,7,14.0,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Amersham,Buckinghamshire,1,Chesham,Buckinghamshire,1,2.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Amersham,Buckinghamshire,1,High Wycombe,Buckinghamshire,6,6.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Amersham,Buckinghamshire,1,Berkhamsted,Hertfordshire,1,6.8,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Amersham,Buckinghamshire,1,Kings Langley,Hertfordshire,1,7.8,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Amersham,Buckinghamshire,1,Hemel Hempstead,Hertfordshire,4,9.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Amersham,Buckinghamshire,1,Marlow,Buckinghamshire,1,9.5,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Amersham,Buckinghamshire,1,Watford,Hertfordshire,2,9.5,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Amersham,Buckinghamshire,1,Uxbridge,London,3,10.0,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Amersham,Buckinghamshire,1,Maidenhead,Berkshire,1,10.9,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Amersham,Buckinghamshire,1,Slough,Berkshire,2,10.9,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Amersham,Buckinghamshire,1,Bushey,London,1,11.1,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Amersham,Buckinghamshire,1,Windsor,Berkshire,1,12.7,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Amersham,Buckinghamshire,1,Aylesbury,Buckinghamshire,3,13.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Amersham,Buckinghamshire,1,St. Albans,Hertfordshire,1,13.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Amersham,Buckinghamshire,1,Harrow,London,3,13.6,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Amersham,Buckinghamshire,1,Borehamwood,London,3,14.6,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Ashton-under-lyne,Greater Manchester - South,2,Manchester,Greater Manchester - Manchester & Salford,55,5.7,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Ashton-under-lyne,Greater Manchester - South,2,Stockport,Greater Manchester - South,2,6.0,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Ashton-under-lyne,Greater Manchester - South,2,Cheadle,Greater Manchester - South,1,7.8,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Ashton-under-lyne,Greater Manchester - South,2,Salford,Greater Manchester - Manchester & Salford,5,7.9,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Ashton-under-lyne,Greater Manchester - South,2,Stretford,Greater Manchester - Manchester & Salford,1,9.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Ashton-under-lyne,Greater Manchester - South,2,Sale,Greater Manchester - South,2,10.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Ashton-under-lyne,Greater Manchester - South,2,Altrincham,Greater Manchester - South,4,12.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
