decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,jobg8-1892512,Accounts and Payroll Assistant,Portfolio Payroll - Agency - Permanent,Altrincham,JobG8,include,include,Exact approved Altrincham workplace.,exact:altrincham,altrincham-service-administrator-jobs
include,jobg8-1881286,Air Freight Imports Coordinator,Reed - Agency - Permanent,Altrincham,JobG8,include,include,Exact approved Altrincham workplace.,exact:altrincham,altrincham-service-administrator-jobs
include,jobg8-1869719,Bankruptcy Administrator,Imperium Financial Recruitment - Agency - Permanent,Altrincham,JobG8,include,include,Exact approved Altrincham workplace.,exact:altrincham,altrincham-service-administrator-jobs
include,jobg8-1882120,Debt Recovery Paralegal,G2 Legal Limited - Agency - Permanent,Altrincham,JobG8,include,include,Exact approved Altrincham workplace.,exact:altrincham,altrincham-service-administrator-jobs
include,jobg8-1868509,Plot Sales Paralegal,The Eventus Recruitment Group - Agency - Permanent,Altrincham,JobG8,include,include,Exact approved Altrincham workplace.,exact:altrincham,altrincham-service-administrator-jobs
review,jobg8-1950420,Accounts Assistant,Michael Page Finance - Agency - Permanent,Stockport,JobG8,review,review,No exact Altrincham workplace matched; local geographic review is required.,fallback,altrincham-service-administrator-jobs
review,jobg8-1912852,Accounts Assistant - Purchase Ledger & Credit Control,hireful. - Agency - Permanent,Trafford,JobG8,review,review,No exact Altrincham workplace matched; local geographic review is required.,fallback,altrincham-service-administrator-jobs
review,nhs-5616557,Administrative Assistant,Donneybrook Medical Centre,"Hyde, SK14 2AH",NHS Jobs,review,review,No exact Altrincham workplace matched; local geographic review is required.,fallback,altrincham-service-administrator-jobs
review,jobg8-1934714,Lettings Coordinator,The People Pod - Agency - Permanent,Stockport,JobG8,review,review,No exact Altrincham workplace matched; local geographic review is required.,fallback,altrincham-service-administrator-jobs
review,nhs-5619136,Reception/Administrator,High Lane Medical Centre,"Stockport, SK6 8DR",NHS Jobs,review,review,No exact Altrincham workplace matched; local geographic review is required.,fallback,altrincham-service-administrator-jobs
