decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
review,jobg8-1868169,Accounts Assistant,KennedyPearce Consulting - Agency - Permanent,Buckinghamshire,JobG8,review,review,No exact Aylesbury workplace matched; local geographic review is required.,fallback,aylesbury-service-administrator-jobs
review,jobg8-1913072,Amazon PPC Executive,"FS1 Recruitment - Marketing, Creative, Digital, Finance, HR, Sales, Admin - Agency - Permanent",Milton Keynes,JobG8,review,review,No exact Aylesbury workplace matched; local geographic review is required.,fallback,aylesbury-service-administrator-jobs
review,jobg8-1891738,Communications and Marketing Manager,Bucks Students Union - Agency - Permanent,High Wycombe,JobG8,review,review,No exact Aylesbury workplace matched; local geographic review is required.,fallback,aylesbury-service-administrator-jobs
review,jobg8-1899364,Completions Support Administrator,The Curve Group - Agency - Permanent,Buckinghamshire,JobG8,review,review,No exact Aylesbury workplace matched; local geographic review is required.,fallback,aylesbury-service-administrator-jobs
review,jobg8-1934233,E-commerce Merchandise Lead,"FS1 Recruitment - Marketing, Creative, Digital, Finance, HR, Sales, Admin - Agency - Permanent",Milton Keynes,JobG8,review,review,No exact Aylesbury workplace matched; local geographic review is required.,fallback,aylesbury-service-administrator-jobs
review,jobg8-1905434,Finance Assistant,Techtronic Industries UK (TTI) - Agency - Permanent,Buckinghamshire,JobG8,review,review,No exact Aylesbury workplace matched; local geographic review is required.,fallback,aylesbury-service-administrator-jobs
review,jobg8-1932845,Graduate Finance Assistant Accountant,Robert Half - Agency - Permanent,Buckinghamshire,JobG8,review,review,No exact Aylesbury workplace matched; local geographic review is required.,fallback,aylesbury-service-administrator-jobs
review,jobg8-1929321,HR Administrator,wild recruitment - Agency - Permanent,Milton Keynes,JobG8,review,review,No exact Aylesbury workplace matched; local geographic review is required.,fallback,aylesbury-service-administrator-jobs
review,jobg8-1877882,Marketing Automation Manager,Nextech - Agency - Permanent,Milton Keynes,JobG8,review,review,No exact Aylesbury workplace matched; local geographic review is required.,fallback,aylesbury-service-administrator-jobs
review,jobg8-1896236,Marketing Executive,"FS1 Recruitment - Marketing, Creative, Digital, Finance, HR, Sales, Admin - Agency - Permanent",Buckinghamshire,JobG8,review,review,No exact Aylesbury workplace matched; local geographic review is required.,fallback,aylesbury-service-administrator-jobs
review,jobg8-1907611,Medical Events Project Co-ordinator,Bucks and Berks Recruitment - Agency - Permanent,Buckinghamshire,JobG8,review,review,No exact Aylesbury workplace matched; local geographic review is required.,fallback,aylesbury-service-administrator-jobs
review,jobg8-1905959,Part-time Finance Assistant - Education Sector,Hays Specialist Recruitment Limited - Agency - Permanent,Buckinghamshire,JobG8,review,review,No exact Aylesbury workplace matched; local geographic review is required.,fallback,aylesbury-service-administrator-jobs
review,nhs-5580971,Part-time Receptionist,Practice Plus Group,"High Wycombe, HP12 3QL",NHS Jobs,review,review,No exact Aylesbury workplace matched; local geographic review is required.,fallback,aylesbury-service-administrator-jobs
review,jobg8-23643_225621100,Procurement Coordinator,Matchtech - Agency - Permanent,Buckingham,JobG8,review,review,No exact Aylesbury workplace matched; local geographic review is required.,fallback,aylesbury-service-administrator-jobs
review,nhs-5607494,Receptionist,Riverside Surgery,"High Wycombe, HP11 2RZ",NHS Jobs,review,review,No exact Aylesbury workplace matched; local geographic review is required.,fallback,aylesbury-service-administrator-jobs
