decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,jobg8-1868312,Commercial Administrator,1st Choice Rec - Agency - Permanent,Bedford,JobG8,include,include,Exact approved Bedford workplace.,exact:bedford,bedford-service-administrator-jobs
include,jobg8-23643_225543403,Graduate Town Planner,Penguin Recruitment - Agency - Permanent,Bedford,JobG8,include,include,Exact approved Bedford workplace.,exact:bedford,bedford-service-administrator-jobs
include,jobg8-1847897,Operations Administrator,entrust IT - Agency - Permanent,Bedford,JobG8,include,include,Exact approved Bedford workplace.,exact:bedford,bedford-service-administrator-jobs
include,jobg8-23643_225539795,Receptionist,FS1 Recruitment - Agency - Temporary,Bedford,JobG8,include,include,Exact approved Bedford workplace.,exact:bedford,bedford-service-administrator-jobs
review,jobg8-23643_225505564,Administrator,Proactive Personnel Ltd - Agency - Contract,Sandy,JobG8,review,review,No exact Bedford workplace matched; local geographic review is required.,fallback,bedford-service-administrator-jobs
review,jobg8-107776346,Learning & Development Coordinator,ReeVR - Agency - Permanent,Dunstable,JobG8,review,review,No exact Bedford workplace matched; local geographic review is required.,fallback,bedford-service-administrator-jobs
review,nhs-5565873,Medical Receptionist,Ashcroft Surgery,"Leighton Buzzard, LU7 0EN",NHS Jobs,review,review,No exact Bedford workplace matched; local geographic review is required.,fallback,bedford-service-administrator-jobs
review,nhs-5577346,Medical Receptionist,Salisbury House Surgery,"Leighton Buzzard, LU7 1RS",NHS Jobs,review,review,No exact Bedford workplace matched; local geographic review is required.,fallback,bedford-service-administrator-jobs
review,jobg8-23643_225548201,Operations Administrator,Kraft Recruitment - Agency - Permanent,Bedfordshire,JobG8,review,review,No exact Bedford workplace matched; local geographic review is required.,fallback,bedford-service-administrator-jobs
review,jobg8-1848356,Operations Administrator,Response Personnel - Agency - Permanent,Bedfordshire,JobG8,review,review,No exact Bedford workplace matched; local geographic review is required.,fallback,bedford-service-administrator-jobs
review,jobg8-23643_225564132,Operations Administrator,Response Personnel Ltd - Agency - Permanent,Bedfordshire,JobG8,review,review,No exact Bedford workplace matched; local geographic review is required.,fallback,bedford-service-administrator-jobs
review,jobg8-23643_225547851,Panel Administrator (Maternity Cover),Fosterplus - Agency - Permanent,Bedfordshire,JobG8,review,review,No exact Bedford workplace matched; local geographic review is required.,fallback,bedford-service-administrator-jobs
review,jobg8-23643_225521203,Production Administrator,South57 Recruitment - Agency - Temporary,Bedfordshire,JobG8,review,review,No exact Bedford workplace matched; local geographic review is required.,fallback,bedford-service-administrator-jobs
review,jobg8-23643_225549219,Purchasing Coordinator - 12 month FTC,SAFRAN UK - Agency - Permanent,Bedfordshire,JobG8,review,review,No exact Bedford workplace matched; local geographic review is required.,fallback,bedford-service-administrator-jobs
review,jobg8-23643_225544430,Receptionist (12 month FTC),First Military Recruitment Ltd - Agency - Permanent,Bedfordshire,JobG8,review,review,No exact Bedford workplace matched; local geographic review is required.,fallback,bedford-service-administrator-jobs
review,jobg8-23643_225571114,Recruitment Administrator,Connect2Luton - Agency - Temporary,Bedfordshire,JobG8,review,review,No exact Bedford workplace matched; local geographic review is required.,fallback,bedford-service-administrator-jobs
review,jobg8-1851583,Scheduling Co-ordinator,Jackie Wilsher Staff Service & Queensway Personnel - Agency - Permanent,Leighton Buzzard,JobG8,review,review,No exact Bedford workplace matched; local geographic review is required.,fallback,bedford-service-administrator-jobs
review,nhs-5568712,Team Administrator,East London NHS Foundation Trust,"Luton, LU1 2PJ",NHS Jobs,review,review,No exact Bedford workplace matched; local geographic review is required.,fallback,bedford-service-administrator-jobs
review,jobg8-23643_225567152,Voids Administrator,Gilmartins - Agency - Permanent,Bedfordshire,JobG8,review,review,No exact Bedford workplace matched; local geographic review is required.,fallback,bedford-service-administrator-jobs
