decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,jobg8-2050807,Band 3 Administrator (Temp full time),Honeycomb Jobs Ltd - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-2051408,Band 3 Dental Administrator,Hays - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-2051637,Business Administrator,Hays - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-2050346,Clerical Officer,Apple Recruitment - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-2051396,Clerical Officers,CCEA - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-2050717,Contact Centre Executive,Sysco - Company - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-2051456,Customer Service Administrator,Honeycomb Jobs Ltd - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-107836604,Customer Service Advisor - Arc Room,Brook Street UK - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-2050586,Customer Service Assistant,Belfast City Council - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-2051098,Customer Services Administrator,Vital Healthcare - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-2050155,Depositary Administrator,MCS Group - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-2051135,Executive Assistant,Honeycomb Jobs Ltd - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-2049841,Executive Assistant,MPA Recruitment - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-2049609,Financial Services Administrator,Honeycomb Jobs Ltd - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-2051912,Front of House Receptionist,Honeycomb Jobs Ltd - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-2048184,HR Coordinator,MCS Group - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-2051425,Hub Administrator,Reed Specialist Recruitment - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-2051645,Medical Receptionist (17.5 hrs pw),Lynda Jacobs Recruitment - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-2049936,Medical Receptionist (37.5 hrs pw),Lynda Jacobs Recruitment - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-2051414,Receptionist,Reed Specialist Recruitment - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-2050694,Receptionist (Immediate Start),Honeycomb Jobs Ltd - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
include,jobg8-2050172,Receptionist - URGENT,Apple Recruitment - Agency - Permanent,Belfast,JobG8,include,include,Approved conservative Belfast launch catchment.,belfast,belfast-service-administrator-jobs
