decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,nhs-5605438,Administrator,Sussex Community NHS Foundation Trust,"Brighton, BN2 3EW",NHS Jobs,include,include,Approved Brighton & Hove catchment.,brighton,brighton-hove-service-administrator-jobs
review,jobg8-107985976,Accommodation & International Admissions Administrative Assistant,Chichester College Group - Company - Permanent,Sussex,JobG8,review,review,Broad location; review before city inclusion.,sussex,brighton-hove-service-administrator-jobs
review,jobg8-1906627,Accounts Assistant 12month FTC to Permanent,Huntress - Agency - Permanent,Sussex,JobG8,review,review,Broad location; review before city inclusion.,sussex,brighton-hove-service-administrator-jobs
review,jobg8-1894808,Client Services Administrator,Financial Divisions - Agency - Permanent,Sussex,JobG8,review,review,Broad location; review before city inclusion.,sussex,brighton-hove-service-administrator-jobs
review,jobg8-1891451,Finance Assistant,First Recruitment Services - Agency - Permanent,Sussex,JobG8,review,review,Broad location; review before city inclusion.,sussex,brighton-hove-service-administrator-jobs
review,jobg8-1869397,Finance Assistant,Harvey John - Agency - Permanent,Sussex,JobG8,review,review,Broad location; review before city inclusion.,sussex,brighton-hove-service-administrator-jobs
review,jobg8-1843728,Internal Sales Administrator,Trident - Agency - Permanent,Sussex,JobG8,review,review,Broad location; review before city inclusion.,sussex,brighton-hove-service-administrator-jobs
review,jobg8-1910463,Marketing Co-ordinator,A1 People - Agency - Permanent,Sussex,JobG8,review,review,Broad location; review before city inclusion.,sussex,brighton-hove-service-administrator-jobs
review,jobg8-1866859,Purchase Ledger Administrator,Michael Page Business Support - Agency - Permanent,Sussex,JobG8,review,review,Broad location; review before city inclusion.,sussex,brighton-hove-service-administrator-jobs
review,nhs-5598736,Receptionist,Seaford Medical Practice,"Seaford, BN25 1DH",NHS Jobs,review,review,No approved Brighton & Hove catchment rule matched; local review required.,fallback,brighton-hove-service-administrator-jobs
review,jobg8-1909139,Senior HR Administrator,Michael Page Finance - Agency - Permanent,Sussex,JobG8,review,review,Broad location; review before city inclusion.,sussex,brighton-hove-service-administrator-jobs
review,jobg8-1892498,Technical Administrator,Ellis James Partners Limited - Agency - Permanent,Sussex,JobG8,review,review,Broad location; review before city inclusion.,sussex,brighton-hove-service-administrator-jobs
review,jobg8-1900339,Temporary HR Administrator,Office Angels - Agency - Permanent,Sussex,JobG8,review,review,Broad location; review before city inclusion.,sussex,brighton-hove-service-administrator-jobs
review,jobg8-1912157,Temporary Senior HR Administrator,Michael Page Business Support - Agency - Permanent,Sussex,JobG8,review,review,Broad location; review before city inclusion.,sussex,brighton-hove-service-administrator-jobs
review,teaching-vacancies-year-9-administrative-assistant-including-year-10-work-experience,Year 9 Administrative Assistant including Year 10 work experience,Bexhill High Academy,Bexhill-on-Sea,Teaching Vacancies,review,review,No approved Brighton & Hove catchment rule matched; local review required.,fallback,brighton-hove-service-administrator-jobs
exclude,jobg8-107983554,Business Development Executive,Clover Talent Limited - Agency - Permanent,Chichester,JobG8,exclude,exclude,Separate employment market.,chichester,brighton-hove-service-administrator-jobs
exclude,jobg8-1868387,Office Administrator,Worth Recruiting - Property Industry Recruitment - Agency - Permanent,Horsham,JobG8,exclude,exclude,Separate employment market.,horsham,brighton-hove-service-administrator-jobs
exclude,nhs-5604706,Receptionist/Telephonist,Sussex Partnership NHS Foundation Trust,"Chichester, PO19 1BX",NHS Jobs,exclude,exclude,Separate employment market.,chichester,brighton-hove-service-administrator-jobs
exclude,teaching-vacancies-school-secretary-administrative-assistant,School Secretary/Administrative Assistant,St Wilfrids Catholic Primary School,Littlehampton,Teaching Vacancies,exclude,exclude,Separate employment market.,littlehampton,brighton-hove-service-administrator-jobs
