decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,jobg8-107751903,Account Coordinator,EMPLOYAL LTD - Agency - Permanent,Bristol,JobG8,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,jobg8-23643_225475414,Accounts Assistant,Hypercreate Ltd - Agency - Permanent,Bristol,JobG8,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,nhs-5559839,Administrator,Oxleas NHS Foundation Trust,"Bristol, BS16 9QJ",NHS Jobs,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,nhs-5554527,Administrator,Sirona care & health CIC,"Bristol, BS10 6DF",NHS Jobs,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,jobg8-23643_225546891,Administrator,Tate - Agency - Temporary,Bristol,JobG8,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,jobg8-23643_222234812,Administrator and Customer Support Specialist,Anthony Marks - Agency - Permanent,Bristol,JobG8,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,jobg8-23643_225557768,Air Freight Co-Ordinator,Travail Employment Group - Agency - Permanent,Bristol,JobG8,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,jobg8-23643_225558310,Business Support Officer,Blue Arrow - Agency - Temporary,Bristol,JobG8,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,jobg8-23643_225557766,Customs Administrator,Travail Employment Group - Agency - Permanent,Bristol,JobG8,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,jobg8-23643_225564040,Executive Assistant,Experis - Agency - Temporary,Bristol,JobG8,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,jobg8-1778935,Executive Assistant,Reed - Agency - Permanent,Bristol,JobG8,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,jobg8-23643_225533642,Freight Co-Ordinator,Travail Employment Group - Agency - Permanent,Bristol,JobG8,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,jobg8-23643_225547840,Helpdesk Administrator - FM,Thrive SW - Agency - Permanent,Bristol,JobG8,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,jobg8-23643_225556797,Imaging Administrator,Spire Healthcare - Company - Permanent,Bristol,JobG8,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,jobg8-1819615,IT Co-ordinator,Framatome Limited - Company - Permanent,Bristol,JobG8,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,jobg8-1778194,IT Service Desk Analyst,Artis Recruitment - Agency - Permanent,Bristol,JobG8,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,jobg8-107814828,Marketing Administrator,Marstep Resourcing Solutions - Agency - Permanent,Bristol,JobG8,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,nhs-5575417,Reception and Appointment Clerk,Bristol NHS Foundation Trust,"Bristol, BS2 8EL",NHS Jobs,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,jobg8-1780698,Sales Administrator,Aaron Wallis Sales Recruitment - Agency - Permanent,Bristol,JobG8,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,jobg8-107909264,Sales and Partnerships Coordinator,NFP People - Agency - Permanent,Bristol,JobG8,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,jobg8-1821573,Sales and Partnerships Coordinator,Not For Profit People - Agency - Permanent,Bristol,JobG8,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,jobg8-23643_225466068,Sales Support Administrator,Fusion People Ltd - Agency - Permanent,Bristol,JobG8,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,teaching-vacancies-school-administrator-parson-street-primary-school,School Administrator,Parson Street Primary School,Bristol,Teaching Vacancies,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,nhs-5554666,Senior Administrator,Sirona care & health CIC,"Bristol, BS6 6AU",NHS Jobs,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
include,jobg8-1772093,Service Coordinator - Equipment Hire,Elix Sourcing Solutions Limited - Agency - Permanent,Bristol,JobG8,include,include,Approved conservative Bristol launch catchment.,bristol,bristol-service-administrator-jobs
review,jobg8-23643_225515534,Venue Finder & Sales Co-ordinator,In Any Event - Agency - Permanent,Portishead,JobG8,review,review,No approved Bristol catchment rule matched; local review required.,fallback,bristol-service-administrator-jobs
exclude,jobg8-1766156,Customer Service Advisor,Juice Recruitment Ltd - Agency - Permanent,Bath,JobG8,exclude,exclude,Separate employment market.,bath,bristol-service-administrator-jobs
exclude,nhs-5555799,Receptionist - Care Home,Barchester Healthcare,"Bath, BA2 3NR",NHS Jobs,exclude,exclude,Separate employment market.,bath,bristol-service-administrator-jobs
exclude,nhs-5550823,Receptionist Call Handler,Fairfield Park Health Centre,"Bath, BA1 6EA",NHS Jobs,exclude,exclude,Separate employment market.,bath,bristol-service-administrator-jobs
exclude,jobg8-107793815,Recruitment Coordinator,Alexander Mae (HR) Ltd - Agency - Permanent,Bath,JobG8,exclude,exclude,Separate employment market.,bath,bristol-service-administrator-jobs
