decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,teaching-vacancies-administration-assistant-meadow-park-school,Administration Assistant,Meadow Park School,Coventry,Teaching Vacancies,include,include,Approved Coventry catchment.,coventry,coventry-service-administrator-jobs
include,nhs-5525238,Receptionist/Admin,Godiva Group Practice,"Coventry, CV2 4lj, Coventry, CV1 4DH, Coventry, CV6 5EA, Coventry, CV2 3DR",NHS Jobs,include,include,Approved Coventry catchment.,coventry,coventry-service-administrator-jobs
include,teaching-vacancies-school-administrator-president-kennedy-school-academy-coventry-west-midlands,School Administrator,President Kennedy School Academy,Coventry,Teaching Vacancies,include,include,Approved Coventry catchment.,coventry,coventry-service-administrator-jobs
include,teaching-vacancies-school-receptionist-45aeb107-50df-4aa0-8e6f-1750a0fd6626,School Receptionist,Cardinal Wiseman Catholic School,Coventry,Teaching Vacancies,include,include,Approved Coventry catchment.,coventry,coventry-service-administrator-jobs
include,nhs-5565888,Ward Clerk,University Hospitals Coventry and Warwickshire NHS Trust,"Coventry, CV2 2DX",NHS Jobs,include,include,Approved Coventry catchment.,coventry,coventry-service-administrator-jobs
review,jobg8-23643_225526928,Administrator - Purchasing,Options Resourcing Ltd - Agency - Permanent,Southam,JobG8,review,review,No approved Coventry catchment rule matched; local review required.,fallback,coventry-service-administrator-jobs
review,teaching-vacancies-receptionist-and-administrator-ftc-contract-september-december-2026-kenilworth-school-and-sixth-form-kenilworth,Receptionist and Administrator FTC contract September - December 2026,Kenilworth School and Sixth Form,Kenilworth,Teaching Vacancies,review,review,No approved Coventry catchment rule matched; local review required.,fallback,coventry-service-administrator-jobs
exclude,nhs-5553809,Administrator,Practice Plus Group - Health in Justice,"Rugby, CV23 8SZ",NHS Jobs,exclude,exclude,Separate employment market.,rugby,coventry-service-administrator-jobs
exclude,jobg8-23643_225441991,Apprenticeship Administrator,Adecco - Agency - Contract,Warwickshire,JobG8,exclude,exclude,Separate employment market.,warwick,coventry-service-administrator-jobs
exclude,nhs-5549024,Bank Receptionist,Practice Plus Group,"Nuneaton, CV10 7DJ",NHS Jobs,exclude,exclude,Separate employment market.,nuneaton,coventry-service-administrator-jobs
exclude,jobg8-23643_225451278,Business Administrator,The Cinnamon Care Collection - Company - Permanent,Warwickshire,JobG8,exclude,exclude,Separate employment market.,warwick,coventry-service-administrator-jobs
exclude,nhs-5551216,Clerical Assistant,South Warwickshire University NHS Foundation Trust,"Rugby, CV21 3SR",NHS Jobs,exclude,exclude,Separate employment market.,rugby,coventry-service-administrator-jobs
exclude,jobg8-23643_225485953,Customer Service Advisor,SVB Solutions - Agency - Permanent,Warwickshire,JobG8,exclude,exclude,Separate employment market.,warwick,coventry-service-administrator-jobs
exclude,jobg8-23643_225505608,Customer Service Advisor - Full Time,Adecco - Agency - Permanent,Warwickshire,JobG8,exclude,exclude,Separate employment market.,warwick,coventry-service-administrator-jobs
exclude,jobg8-107807876,Group Accounts Assistant (Purchase Ledger),NFU - Agency - Permanent,Warwickshire,JobG8,exclude,exclude,Separate employment market.,warwick,coventry-service-administrator-jobs
exclude,jobg8-1716181,Help Desk Operator,VIQU IT Recruitment - Agency - Permanent,Warwickshire,JobG8,exclude,exclude,Separate employment market.,warwick,coventry-service-administrator-jobs
exclude,jobg8-23643_225473970,HR Assistant,Bell Cornwall Recruitment - Agency - Permanent,Warwickshire,JobG8,exclude,exclude,Separate employment market.,warwick,coventry-service-administrator-jobs
exclude,jobg8-23643_225526643,HR Coordinator (2-Month Temporary Contract),Arden Personnel - Agency - Contract,Warwickshire,JobG8,exclude,exclude,Separate employment market.,warwick,coventry-service-administrator-jobs
exclude,jobg8-107875425,Learning and Development Coordinator,Rose & Young Recruitment Ltd - Agency - Permanent,Warwickshire,JobG8,exclude,exclude,Separate employment market.,warwick,coventry-service-administrator-jobs
exclude,jobg8-23643_225467522,Logistics & Customer Service Administrator,Gill Cooke Personnel Ltd T/A The Recruitment Group - Agency - Temporary,Warwickshire,JobG8,exclude,exclude,Separate employment market.,warwick,coventry-service-administrator-jobs
exclude,nhs-4151642,MEDICAL RECEPTIONIST,Valley Road Medical Practice,"Leamington Spa, CV32 7SJ",NHS Jobs,exclude,exclude,Separate employment market.,leamington,coventry-service-administrator-jobs
exclude,teaching-vacancies-personal-assistant-pa-to-the-headteachers-oak-wood-schools,Personal Assistant (PA) to the Headteachers (Oak Wood Schools),Oak Wood Secondary School,Nuneaton,Teaching Vacancies,exclude,exclude,Separate employment market.,nuneaton,coventry-service-administrator-jobs
exclude,teaching-vacancies-receptionist-admin-officer-f47a5a75-5bef-45e1-a471-94bb514d5613,Receptionist/Admin Officer,Welcombe Hills School,Stratford-upon-Avon,Teaching Vacancies,exclude,exclude,Separate employment market.,stratford-upon-avon,coventry-service-administrator-jobs
exclude,jobg8-23643_225454507,Sales Administrator,Options Resourcing Ltd - Agency - Permanent,Warwickshire,JobG8,exclude,exclude,Separate employment market.,warwick,coventry-service-administrator-jobs
exclude,jobg8-107830347,Sales Coordinator,The Caraires Consultancy - Agency - Permanent,Warwickshire,JobG8,exclude,exclude,Separate employment market.,warwick,coventry-service-administrator-jobs
exclude,jobg8-23643_225460316,Sales Support Administrator,Office Angels - Agency - Temporary,Warwickshire,JobG8,exclude,exclude,Separate employment market.,warwick,coventry-service-administrator-jobs
exclude,teaching-vacancies-send-administrator-houlton-school,SEND Administrator,Houlton School,RUGBY,Teaching Vacancies,exclude,exclude,Separate employment market.,rugby,coventry-service-administrator-jobs
exclude,jobg8-23643_225435656,Service Delivery Coordinator,Pertemps North Midlands - Agency - Temporary,Warwickshire,JobG8,exclude,exclude,Separate employment market.,warwick,coventry-service-administrator-jobs
exclude,jobg8-23643_225533754,Temp Administrator,Brellis Recruitment - Agency - Permanent,Warwickshire,JobG8,exclude,exclude,Separate employment market.,warwick,coventry-service-administrator-jobs
exclude,jobg8-23643_225516949,X2 Administrators - Coventry - £14.00 - £15.00 p/h,Oakley Recruitment Limited - Agency - Temporary,Warwickshire,JobG8,exclude,exclude,Separate employment market.,warwick,coventry-service-administrator-jobs
