decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,teaching-vacancies-attendance-officer-trinity-academy,Attendance Officer,Trinity Academy,Doncaster,Teaching Vacancies,include,include,Approved Doncaster catchment.,doncaster,doncaster-service-administrator-jobs
include,jobg8-9d793cd4-ff2a-4749-9512-a7407298f539,Project Support Administrator (Doncaster),BMC Recruitment Group - Agency - Permanent,Doncaster,JobG8,include,include,Approved Doncaster catchment.,doncaster,doncaster-service-administrator-jobs
include,jobg8-23643_225414146,Project Support Administrator (Doncaster),BMC Recruitment Group Ltd - Agency - Permanent,Doncaster,JobG8,include,include,Approved Doncaster catchment.,doncaster,doncaster-service-administrator-jobs
include,jobg8-23643_225488492,Receptionist - AM shift - DN1,Ideal Recruit Ltd - Agency - Temporary,Doncaster,JobG8,include,include,Approved Doncaster catchment.,doncaster,doncaster-service-administrator-jobs
include,jobg8-78f4c04c-6e64-45dd-b8b3-2ba440f0f9f1,Recruitment Account Coordinator,Staffline Recruitment Limited - Agency - Contract,Doncaster,JobG8,include,include,Approved Doncaster catchment.,doncaster,doncaster-service-administrator-jobs
include,jobg8-23643_225433915,Sales & Marketing Coordinator,Get-Recruited (UK) Ltd - Agency - Permanent,Doncaster,JobG8,include,include,Approved Doncaster catchment.,doncaster,doncaster-service-administrator-jobs
review,jobg8-23643_225459485,Office Administrator,V-Recruit - Agency - Permanent,Brinsworth,JobG8,review,review,No approved Doncaster catchment rule matched; local review required.,fallback,doncaster-service-administrator-jobs
exclude,teaching-vacancies-admin-clerical-officer-level-2-rowan-school,Admin & Clerical Officer Level 2 Rowan School,The Rowan School,Sheffield,Teaching Vacancies,exclude,exclude,Separate employment market.,sheffield,doncaster-service-administrator-jobs
exclude,teaching-vacancies-administration-assistant-treeton-church-of-england-primary-school-rotherham-south-yorkshire,Administration Assistant,Treeton Church of England Primary School,Rotherham,Teaching Vacancies,exclude,exclude,Separate employment market.,rotherham,doncaster-service-administrator-jobs
exclude,jobg8-23643_225457187,Administrator,Anonymous - Agency - Contract,Barnsley,JobG8,exclude,exclude,Separate employment market.,barnsley,doncaster-service-administrator-jobs
exclude,teaching-vacancies-business-support-officer-2ea7277a-9574-40f3-acf2-2f61fc716fd1,Business Support Officer,Springwell Special Academy,Barnsley,Teaching Vacancies,exclude,exclude,Separate employment market.,barnsley,doncaster-service-administrator-jobs
exclude,jobg8-52198d55-9fac-4d35-8505-b9a814bc54dc,Business Support Officer - Local Authority Library,Reed - Agency - Temporary,Sheffield,JobG8,exclude,exclude,Separate employment market.,sheffield,doncaster-service-administrator-jobs
exclude,teaching-vacancies-business-support-officer-attendance-dc9edb4f-b36d-4bc3-be46-6508d1a2b957,Business Support Officer – Attendance,King Edward VII School,Sheffield,Teaching Vacancies,exclude,exclude,Separate employment market.,sheffield,doncaster-service-administrator-jobs
exclude,jobg8-7cf61604-97cb-4cf2-9394-b076d27351d1,Credit Controller & Accounts Assistant,Shillito Group - Agency - Permanent,Sheffield,JobG8,exclude,exclude,Separate employment market.,sheffield,doncaster-service-administrator-jobs
exclude,jobg8-ddcb07a8-84c1-4f7f-80ce-31bd938e8831,Customer Service Advisor - Dearne,Angard Staffing - Agency - Contract,Barnsley,JobG8,exclude,exclude,Separate employment market.,barnsley,doncaster-service-administrator-jobs
exclude,jobg8-23643_225475228,Customer Service Coordinator,Gi Group - Agency - Permanent,Barnsley,JobG8,exclude,exclude,Separate employment market.,barnsley,doncaster-service-administrator-jobs
exclude,jobg8-0d2eac48-d6fd-479a-9dde-4b94b2822324,Finance Assistant,Elevation Recruitment Group - Agency - Contract,Barnsley,JobG8,exclude,exclude,Separate employment market.,barnsley,doncaster-service-administrator-jobs
exclude,jobg8-ac77bded-97ae-4769-9c90-e5e347e032eb,German Speaking Administrator,ASC Connections Ltd - Agency - Permanent,Barnsley,JobG8,exclude,exclude,Separate employment market.,barnsley,doncaster-service-administrator-jobs
exclude,jobg8-23643_225437743,Import/Export Coordinator,Hays Business Support - Agency - Permanent,Sheffield,JobG8,exclude,exclude,Separate employment market.,sheffield,doncaster-service-administrator-jobs
exclude,jobg8-23643_225423861,NTD Coordinator,TRC Yorkshire - Agency - Temporary,Barnsley,JobG8,exclude,exclude,Separate employment market.,barnsley,doncaster-service-administrator-jobs
exclude,jobg8-23643_225439789,Project Co-ordinator,Sue Ross Recruitment Ltd - Agency - Contract,Sheffield,JobG8,exclude,exclude,Separate employment market.,sheffield,doncaster-service-administrator-jobs
exclude,jobg8-23643_225478960,Recruitment Resourcer / Administrator,Lynx Employment Services Ltd - Agency - Temporary,Sheffield,JobG8,exclude,exclude,Separate employment market.,sheffield,doncaster-service-administrator-jobs
exclude,jobg8-2cd38f87-cca5-45fb-886a-f1a14694c677,Regeneration and Property Service Support Help Desk Officer,Reed - Agency - Temporary,Sheffield,JobG8,exclude,exclude,Separate employment market.,sheffield,doncaster-service-administrator-jobs
exclude,jobg8-23643_225435429,Sales Administrator - German Speaking,Rise Technical Recruitment - Agency - Permanent,Sheffield,JobG8,exclude,exclude,Separate employment market.,sheffield,doncaster-service-administrator-jobs
exclude,teaching-vacancies-send-administrative-assistant-westfield-school-sheffield,SEND Administrative Assistant,Westfield School,Sheffield,Teaching Vacancies,exclude,exclude,Separate employment market.,sheffield,doncaster-service-administrator-jobs
exclude,teaching-vacancies-send-administrator-aston-academy-sheffield-south-yorkshire,SEND Administrator,Aston Academy,Sheffield,Teaching Vacancies,exclude,exclude,Separate employment market.,sheffield,doncaster-service-administrator-jobs
exclude,jobg8-2ed67242-6482-4fe0-9cbb-7881b58f5424,Talent Acquisition Coordinator,B. Braun Medical Limited - Company - Permanent,Sheffield,JobG8,exclude,exclude,Separate employment market.,sheffield,doncaster-service-administrator-jobs
