decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,jobg8-1824876,Company Secretary,qed legal - Agency - Permanent,Edinburgh,JobG8,include,include,Approved conservative Edinburgh launch catchment.,edinburgh,edinburgh-service-administrator-jobs
include,jobg8-23643_225574450,Corporate Receptionist & Administrator,Search Consultancy Ltd - Agency - Contract,Edinburgh,JobG8,include,include,Approved conservative Edinburgh launch catchment.,edinburgh,edinburgh-service-administrator-jobs
include,jobg8-23643_225575597,Dutch Speaking Customer Service Advisor,CCA Recruitment Group - Agency - Permanent,Edinburgh,JobG8,include,include,Approved conservative Edinburgh launch catchment.,edinburgh,edinburgh-service-administrator-jobs
include,jobg8-23643_225573579,Dutch Speaking Customer Service Advisor Hybrid Edinburgh,Trip.com - Agency - Permanent,Edinburgh,JobG8,include,include,Approved conservative Edinburgh launch catchment.,edinburgh,edinburgh-service-administrator-jobs
include,jobg8-107954045,Finance Assistant,Harvey Nash - Agency - Contract,Edinburgh,JobG8,include,include,Approved conservative Edinburgh launch catchment.,edinburgh,edinburgh-service-administrator-jobs
include,jobg8-1870055,HR Assistant - Remote,BCT Resourcing - Agency - Permanent,Edinburgh,JobG8,include,include,Approved conservative Edinburgh launch catchment.,edinburgh,edinburgh-service-administrator-jobs
include,jobg8-1789719,Platform Administrator,Meraki Talent Limited - Agency - Permanent,Edinburgh,JobG8,include,include,Approved conservative Edinburgh launch catchment.,edinburgh,edinburgh-service-administrator-jobs
include,jobg8-23643_225563421,Receptionist,Pertemps Scotland - Agency - Temporary,Edinburgh,JobG8,include,include,Approved conservative Edinburgh launch catchment.,edinburgh,edinburgh-service-administrator-jobs
include,jobg8-23643_225546858,Temporary Adhoc Receptionist,Office Angels - Agency - Temporary,Edinburgh,JobG8,include,include,Approved conservative Edinburgh launch catchment.,edinburgh,edinburgh-service-administrator-jobs
include,jobg8-23643_225541613,Temporary Administrator,Escape - Agency - Temporary,Edinburgh,JobG8,include,include,Approved conservative Edinburgh launch catchment.,edinburgh,edinburgh-service-administrator-jobs
include,jobg8-23643_225542471,Temporary Finance Assistant,Office Angels - Agency - Temporary,Edinburgh,JobG8,include,include,Approved conservative Edinburgh launch catchment.,edinburgh,edinburgh-service-administrator-jobs
include,jobg8-23643_225563467,Town Planner,Michael Page - Agency - Permanent,Edinburgh,JobG8,include,include,Approved conservative Edinburgh launch catchment.,edinburgh,edinburgh-service-administrator-jobs
