decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,jobg8-23643_225505471,Administrative Assistant,Hays Accounts and Finance - Agency - Temporary,Glasgow,JobG8,include,include,Approved conservative Glasgow launch catchment.,glasgow,glasgow-service-administrator-jobs
include,jobg8-23643_225595852,Administrator - (Higher Education) Immediate Start,Search Consultancy Ltd - Agency - Contract,Glasgow,JobG8,include,include,Approved conservative Glasgow launch catchment.,glasgow,glasgow-service-administrator-jobs
include,jobg8-21618_20279_62718-89740a075c6163b74ea2c52702062e5d,Call Centre Agent,EE - Company - Permanent,Glasgow,JobG8,include,include,Approved conservative Glasgow launch catchment.,glasgow,glasgow-service-administrator-jobs
include,jobg8-21618_20279_62718-73862c8b83139033e4e4a8b6efca9a33,Call Centre Operator,EE - Company - Permanent,Glasgow,JobG8,include,include,Approved conservative Glasgow launch catchment.,glasgow,glasgow-service-administrator-jobs
include,jobg8-1766463,Claims Handler,Recruit Ins Ltd - Agency - Permanent,Glasgow,JobG8,include,include,Approved conservative Glasgow launch catchment.,glasgow,glasgow-service-administrator-jobs
include,jobg8-1860279,Claims Handler (FTC),SGN - Agency - Permanent,Glasgow,JobG8,include,include,Approved conservative Glasgow launch catchment.,glasgow,glasgow-service-administrator-jobs
include,jobg8-23643_225505549,Clerical Assistant,Hays Accounts and Finance - Agency - Temporary,Glasgow,JobG8,include,include,Approved conservative Glasgow launch catchment.,glasgow,glasgow-service-administrator-jobs
include,jobg8-21618_20279_62718-153faf593eb64b88272f45adeaa28d87,Customer Service Advisor,EE - Company - Permanent,Glasgow,JobG8,include,include,Approved conservative Glasgow launch catchment.,glasgow,glasgow-service-administrator-jobs
include,jobg8-23643_225527758,Data Entry Administrator,Search Consultancy Ltd - Agency - Permanent,Glasgow,JobG8,include,include,Approved conservative Glasgow launch catchment.,glasgow,glasgow-service-administrator-jobs
include,jobg8-23643_225533514,Financial Services Administrator (3 months),Michael Page - Agency - Contract,Glasgow,JobG8,include,include,Approved conservative Glasgow launch catchment.,glasgow,glasgow-service-administrator-jobs
include,jobg8-107881043,HUB Operator - Roadspace Coordinator,Get Staffed Online Recruitment - Agency - Permanent,Glasgow,JobG8,include,include,Approved conservative Glasgow launch catchment.,glasgow,glasgow-service-administrator-jobs
include,jobg8-23643_225548786,Office Receptionist,Search Consultancy Ltd - Agency - Contract,Glasgow,JobG8,include,include,Approved conservative Glasgow launch catchment.,glasgow,glasgow-service-administrator-jobs
include,jobg8-23643_225595976,Receptionist,Adecco - Agency - Temporary,Glasgow,JobG8,include,include,Approved conservative Glasgow launch catchment.,glasgow,glasgow-service-administrator-jobs
review,jobg8-21618_20279_62718-5e1b2fa9c543df563e4c374a01c75b13,Sales Agent,EE - Company - Permanent,Not Specified,JobG8,review,review,No approved Glasgow catchment rule matched; local review required.,fallback,glasgow-service-administrator-jobs
