decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,jobg8-1916425,2 x Credit Controllers (contract to perm),CWC Recruitment Ltd - Agency - Permanent,Gloucester,JobG8,include,include,Exact approved Gloucester workplace.,exact:gloucester,gloucester-service-administrator-jobs
include,jobg8-1947766,Accounts Assistant,Autograph Recruitment Ltd - Agency - Permanent,Gloucester,JobG8,include,include,Exact approved Gloucester workplace.,exact:gloucester,gloucester-service-administrator-jobs
include,jobg8-1932916,Credit Controller 6 Month FTC,Michael Page Finance - Agency - Permanent,Gloucester,JobG8,include,include,Exact approved Gloucester workplace.,exact:gloucester,gloucester-service-administrator-jobs
include,nhs-5600422,Personal Assistant,Gloucestershire Health and Care NHS Foundation Trust,"Gloucester, GL1 3PX",NHS Jobs,include,include,Exact approved Gloucester workplace.,exact:gloucester,gloucester-service-administrator-jobs
include,jobg8-1899776,Purchase Ledger Clerk,Ashley Rees Associates - Agency - Permanent,Gloucester,JobG8,include,include,Exact approved Gloucester workplace.,exact:gloucester,gloucester-service-administrator-jobs
include,jobg8-1932863,Query Resolution Administrator 6 Month FTC,Michael Page Finance - Agency - Permanent,Gloucester,JobG8,include,include,Exact approved Gloucester workplace.,exact:gloucester,gloucester-service-administrator-jobs
review,jobg8-108025159,Customer Service Coordinator,RE Group - Agency - Temporary,Stonehouse,JobG8,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
review,jobg8-1892116,Finance Officer/Credit Controller,Hays Specialist Recruitment Limited - Agency - Permanent,Cheltenham,JobG8,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
review,jobg8-2022072,French speaking Payroll & HR Coordinator,Euro London - Agency - Permanent,Cirencester,JobG8,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
review,jobg8-1909553,HR & Payroll Administrator,Pertemps Gloucester - Agency - Permanent,Gloucestershire,JobG8,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
review,jobg8-1934798,HR Assistant,Reed - Agency - Permanent,Gloucestershire,JobG8,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
review,jobg8-1881580,HR Co-Ordinator,Cactus Search - Agency - Permanent,Cheltenham,JobG8,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
review,jobg8-1897570,Insurance Accounts Administrator,i2i Recruitment Consultancy - Agency - Permanent,Gloucestershire,JobG8,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
review,jobg8-1961373,Insurance Administrator,i2i Recruitment Consultancy - Agency - Permanent,Gloucestershire,JobG8,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
review,jobg8-1906007,Insurance Administrator - Hybrid Working + Career Progression!,Anderson Recruitment Ltd - Agency - Permanent,Cheltenham,JobG8,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
review,jobg8-1892075,Marketing Manager,Juice Recruitment Ltd - Agency - Permanent,Gloucestershire,JobG8,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
review,jobg8-1908383,Office Administrator,Adecco - Agency - Permanent,Gloucestershire,JobG8,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
review,jobg8-1907558,Part Time Accounts Administrator,Anderson Recruitment Ltd - Agency - Permanent,Gloucestershire,JobG8,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
review,jobg8-1883902,Part Time Bookkeeper/Administration,Anderson Recruitment Ltd - Agency - Permanent,Gloucestershire,JobG8,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
review,jobg8-1878997,Payroll Administrator,Robert Half - Agency - Permanent,Gloucestershire,JobG8,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
review,jobg8-107907113,Payroll Officer,Anderson Recruitment - Agency - Permanent,Gloucestershire,JobG8,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
review,jobg8-1883527,PR Account Manager - inhouse or agency welcome!,Moxie and Mettle Limited - Agency - Permanent,Gloucestershire,JobG8,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
review,jobg8-1912285,PR Account Manager - inhouse or agency welcome!,Moxie and Mettle Limited - Agency - Permanent,Gloucestershire,JobG8,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
review,nhs-5617075,Receptionist,G DOC Ltd,"Lydney, GL15 5NQ",NHS Jobs,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
review,nhs-5590140,Receptionist,Yorkleigh Surgery,"Cheltenham, GL50 3ED",NHS Jobs,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
review,jobg8-1961064,Service Advisor,Pembrook Resourcing - Agency - Permanent,Gloucestershire,JobG8,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
review,jobg8-2013271,Temporary HR Administrator,Anderson Recruitment Ltd - Agency - Permanent,Gloucestershire,JobG8,review,review,No exact Gloucester workplace matched; local geographic review is required.,fallback,gloucester-service-administrator-jobs
