decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,jobg8-1869342,Commercial Property Secretary,Allstaff Recruitment - Agency - Permanent,Leicester,JobG8,include,include,Exact approved Leicester workplace.,exact:leicester,leicester-service-administrator-jobs
include,jobg8-1914045,Commercial Property Secretary,Macildowie Recruitment and Retention - Agency - Permanent,Leicester,JobG8,include,include,Exact approved Leicester workplace.,exact:leicester,leicester-service-administrator-jobs
include,jobg8-1909307,Finance Assistant,Macildowie Recruitment and Retention - Agency - Permanent,Leicester,JobG8,include,include,Exact approved Leicester workplace.,exact:leicester,leicester-service-administrator-jobs
include,nhs-5597537,Mental Health Act Administrator,InMind,"Leicester, LE36QR",NHS Jobs,include,include,Exact approved Leicester workplace.,exact:leicester,leicester-service-administrator-jobs
include,jobg8-1936448,Part Time Accounts Assistant,Macildowie Recruitment and Retention - Agency - Permanent,Leicester,JobG8,include,include,Exact approved Leicester workplace.,exact:leicester,leicester-service-administrator-jobs
include,teaching-vacancies-receptionist-maternity-cover-manorfield-church-of-england-primary-school,Receptionist - Maternity Cover,Manorfield Church of England Primary School,Leicester,Teaching Vacancies,include,include,Exact approved Leicester workplace.,exact:leicester,leicester-service-administrator-jobs
include,teaching-vacancies-safeguarding-and-attendance-administrator-tudor-grange-samworth-academy-a-church-of-england-school,Safeguarding and Attendance Administrator,"Tudor Grange Samworth Academy, A church of England School",Leicester,Teaching Vacancies,include,include,Exact approved Leicester workplace.,exact:leicester,leicester-service-administrator-jobs
include,teaching-vacancies-senior-administrator-exams-data,Senior Administrator - Exams & Data,Bosworth Academy,Leicester,Teaching Vacancies,include,include,Exact approved Leicester workplace.,exact:leicester,leicester-service-administrator-jobs
review,jobg8-1908964,Accounts Payable Co-ordinator,Mixxos Group - Agency - Permanent,Leicestershire,JobG8,review,review,No exact Leicester workplace matched; local geographic review is required.,fallback,leicester-service-administrator-jobs
review,jobg8-1906598,Casualty Claims Handler,Adjusting Appointments Limited - Agency - Permanent,Leicestershire,JobG8,review,review,No exact Leicester workplace matched; local geographic review is required.,fallback,leicester-service-administrator-jobs
