decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
review,jobg8-1885417,Accounts Assistant,RG Consultancy Ltd - Agency - Permanent,Nantwich,JobG8,review,review,No exact Macclesfield workplace matched; local geographic review is required.,fallback,macclesfield-service-administrator-jobs
review,jobg8-20279_62648-ca303eac9d601a8b4b3e2629f842f6a8,Call Centre Agent - Uncapped Commission,EE - Company - Permanent,Knutsford,JobG8,review,review,No exact Macclesfield workplace matched; local geographic review is required.,fallback,macclesfield-service-administrator-jobs
review,jobg8-20279_62648-d1c6bd5673f826e43797e1c92de24d69,Call Centre Operator - Uncapped Commission,EE - Company - Permanent,Knutsford,JobG8,review,review,No exact Macclesfield workplace matched; local geographic review is required.,fallback,macclesfield-service-administrator-jobs
review,jobg8-108018276,Construction Secretary,Bloor Homes - Construction - Agency - Contract,Crewe,JobG8,review,review,No exact Macclesfield workplace matched; local geographic review is required.,fallback,macclesfield-service-administrator-jobs
review,jobg8-20279_62648-bce180f9075237062f9ba04857f8e0b6,Contact Centre Agent - Uncapped Commission,EE - Company - Permanent,Knutsford,JobG8,review,review,No exact Macclesfield workplace matched; local geographic review is required.,fallback,macclesfield-service-administrator-jobs
review,jobg8-1898376,Conveyancing Paralegal / Fee Earner,qed legal - Agency - Permanent,Wilmslow,JobG8,review,review,No exact Macclesfield workplace matched; local geographic review is required.,fallback,macclesfield-service-administrator-jobs
review,jobg8-1916284,Credit Controller,Adele Carr Recruitment Limited - Agency - Permanent,Nantwich,JobG8,review,review,No exact Macclesfield workplace matched; local geographic review is required.,fallback,macclesfield-service-administrator-jobs
review,jobg8-1873951,Credit Controller,Robert Walters - Agency - Permanent,Wilmslow,JobG8,review,review,No exact Macclesfield workplace matched; local geographic review is required.,fallback,macclesfield-service-administrator-jobs
review,jobg8-20279_62648-5f053ed6bc220092db88c81c1fa679dd,Customer Service Advisor - Uncapped Commission,EE - Company - Permanent,Knutsford,JobG8,review,review,No exact Macclesfield workplace matched; local geographic review is required.,fallback,macclesfield-service-administrator-jobs
review,jobg8-1914754,Finance Assistant,Acorn by Synergie - Agency - Permanent,Crewe,JobG8,review,review,No exact Macclesfield workplace matched; local geographic review is required.,fallback,macclesfield-service-administrator-jobs
review,jobg8-1905063,HR Administrator,Hays Specialist Recruitment Limited - Agency - Permanent,Crewe,JobG8,review,review,No exact Macclesfield workplace matched; local geographic review is required.,fallback,macclesfield-service-administrator-jobs
review,jobg8-1857329,Part Time Payroll Administrator,Cameron James - Agency - Permanent,Wilmslow,JobG8,review,review,No exact Macclesfield workplace matched; local geographic review is required.,fallback,macclesfield-service-administrator-jobs
review,jobg8-1870651,Part time Payroll Administrator,Imperium Financial Recruitment - Agency - Permanent,Wilmslow,JobG8,review,review,No exact Macclesfield workplace matched; local geographic review is required.,fallback,macclesfield-service-administrator-jobs
review,jobg8-1958866,Part Time Payroll Administrator,JANE GORSE RECRUITMENT LIMITED - Agency - Permanent,Knutsford,JobG8,review,review,No exact Macclesfield workplace matched; local geographic review is required.,fallback,macclesfield-service-administrator-jobs
review,jobg8-1912221,Payroll Administrator - Part time,Resource Matters Ltd - Agency - Permanent,Knutsford,JobG8,review,review,No exact Macclesfield workplace matched; local geographic review is required.,fallback,macclesfield-service-administrator-jobs
review,jobg8-1857326,Private Client Paralegal - Great Benefits,qed legal - Agency - Permanent,Wilmslow,JobG8,review,review,No exact Macclesfield workplace matched; local geographic review is required.,fallback,macclesfield-service-administrator-jobs
review,jobg8-1914758,Purchase Ledger,Time Recruitment - Agency - Permanent,Cheshire,JobG8,review,review,No exact Macclesfield workplace matched; local geographic review is required.,fallback,macclesfield-service-administrator-jobs
review,jobg8-1929698,Purchase Ledger Clerk,Adele Carr Recruitment Limited - Agency - Permanent,Cheshire,JobG8,review,review,No exact Macclesfield workplace matched; local geographic review is required.,fallback,macclesfield-service-administrator-jobs
review,jobg8-1875811,Service Administrator,Perfect Placement Uk Ltd - Agency - Permanent,Knutsford,JobG8,review,review,No exact Macclesfield workplace matched; local geographic review is required.,fallback,macclesfield-service-administrator-jobs
review,jobg8-107933798,Service Coordinator,Adullam Homes - Agency - Permanent,Congleton,JobG8,review,review,No exact Macclesfield workplace matched; local geographic review is required.,fallback,macclesfield-service-administrator-jobs
