decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,teaching-vacancies-administrator-brooklands-academy,Administrator,Brooklands Academy,Milton Keynes,Teaching Vacancies,include,include,Exact approved Milton Keynes workplace.,exact:milton keynes,milton-keynes-service-administrator-jobs
include,jobg8-107870227,E-commerce Specialist Private Label Products,Synergy Plus Recruitment Ltd - Agency - Permanent,Milton Keynes,JobG8,include,include,Exact approved Milton Keynes workplace.,exact:milton keynes,milton-keynes-service-administrator-jobs
include,jobg8-23643_225544622,Facilities Coordinator,Invictus Group - Agency - Contract,Milton Keynes,JobG8,include,include,Exact approved Milton Keynes workplace.,exact:milton keynes,milton-keynes-service-administrator-jobs
include,jobg8-23643_225570224,Internal Sales Co-ordinator,Working Solutions Recruitment - Agency - Permanent,Milton Keynes,JobG8,include,include,Exact approved Milton Keynes workplace.,exact:milton keynes,milton-keynes-service-administrator-jobs
include,jobg8-1877882,Marketing Automation Manager,Nextech - Agency - Permanent,Milton Keynes,JobG8,include,include,Exact approved Milton Keynes workplace.,exact:milton keynes,milton-keynes-service-administrator-jobs
include,jobg8-107870069,Product Content Creator Photography & Videography,Synergy Plus Recruitment Ltd - Agency - Permanent,Milton Keynes,JobG8,include,include,Exact approved Milton Keynes workplace.,exact:milton keynes,milton-keynes-service-administrator-jobs
include,nhs-5543958,Receptionist,Purbeck Health Centre,"Milton Keynes, MK14 6BL",NHS Jobs,include,include,Exact approved Milton Keynes workplace.,exact:milton keynes,milton-keynes-service-administrator-jobs
include,jobg8-23643_225522682,Service Delivery Coordinator,BSI - Agency - Permanent,Milton Keynes,JobG8,include,include,Exact approved Milton Keynes workplace.,exact:milton keynes,milton-keynes-service-administrator-jobs
review,jobg8-1780993,Account Coordinator,Think Specialist Recruitment - Agency - Permanent,Buckinghamshire,JobG8,review,review,No exact Milton Keynes workplace matched; local geographic review is required.,fallback,milton-keynes-service-administrator-jobs
review,jobg8-23643_225547263,Accounts and Office Administrator,Chiltern Recruitment - Agency - Permanent,Buckinghamshire,JobG8,review,review,No exact Milton Keynes workplace matched; local geographic review is required.,fallback,milton-keynes-service-administrator-jobs
