decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
review,jobg8-1897859,Accounts Assistant,Reed - Agency - Permanent,Lisburn,JobG8,review,review,No exact Newtownabbey workplace matched; local geographic review is required.,fallback,newtownabbey-service-administrator-jobs
review,jobg8-1906961,Accounts Assistant,Reed - Agency - Permanent,Belfast,JobG8,review,review,No exact Newtownabbey workplace matched; local geographic review is required.,fallback,newtownabbey-service-administrator-jobs
review,jobg8-107952610,Commercial Vehicles Administrator,Briggs Equipment Ltd - Agency - Permanent,Lisburn,JobG8,review,review,No exact Newtownabbey workplace matched; local geographic review is required.,fallback,newtownabbey-service-administrator-jobs
review,jobg8-1916549,Contract Administrator,Manpower - Agency - Permanent,Ballyclare,JobG8,review,review,No exact Newtownabbey workplace matched; local geographic review is required.,fallback,newtownabbey-service-administrator-jobs
review,jobg8-21582_110129390,External Communications Executive,A&O Shearman - Agency - Permanent,Belfast,JobG8,review,review,No exact Newtownabbey workplace matched; local geographic review is required.,fallback,newtownabbey-service-administrator-jobs
review,jobg8-21582_110129468,External Communications Executive,A&O Shearman - Agency - Permanent,County Antrim,JobG8,review,review,No exact Newtownabbey workplace matched; local geographic review is required.,fallback,newtownabbey-service-administrator-jobs
review,jobg8-107922303,Sales Coordinator,Brook Street UK - Agency - Permanent,Ballyclare,JobG8,review,review,No exact Newtownabbey workplace matched; local geographic review is required.,fallback,newtownabbey-service-administrator-jobs
review,jobg8-1858475,Sales Ledger Accounts Assistant,Reed - Agency - Permanent,Belfast,JobG8,review,review,No exact Newtownabbey workplace matched; local geographic review is required.,fallback,newtownabbey-service-administrator-jobs
review,jobg8-21582_110261480,Senior Marketing Assistant (12-month FTC),A&O Shearman - Agency - Permanent,County Down,JobG8,review,review,No exact Newtownabbey workplace matched; local geographic review is required.,fallback,newtownabbey-service-administrator-jobs
review,jobg8-21582_110261497,Senior Marketing Assistant (12-month FTC),A&O Shearman - Agency - Permanent,County Antrim,JobG8,review,review,No exact Newtownabbey workplace matched; local geographic review is required.,fallback,newtownabbey-service-administrator-jobs
review,jobg8-21582_110261545,Senior Marketing Assistant (12-month FTC),A&O Shearman - Agency - Permanent,Belfast,JobG8,review,review,No exact Newtownabbey workplace matched; local geographic review is required.,fallback,newtownabbey-service-administrator-jobs
