decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,nhs-5568486,Administration Assistant,The Market Surgery,"Rotherham, S63 7RA",NHS Jobs,include,include,Exact approved Rotherham workplace.,exact:rotherham,rotherham-service-administrator-jobs
include,nhs-5568418,Receptionist,The Market Surgery,"Rotherham, S63 7RA",NHS Jobs,include,include,Exact approved Rotherham workplace.,exact:rotherham,rotherham-service-administrator-jobs
review,jobg8-107804866,Account Coordinator - Part Time,Staffline Operations - Agency - Temporary,Doncaster,JobG8,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,jobg8-23643_225469996,Accounts Assistant,Sue Ross Recruitment Ltd - Agency - Permanent,Sheffield,JobG8,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,teaching-vacancies-admin-clerical-officer-level-2-rowan-school,Admin & Clerical Officer Level 2 Rowan School,The Rowan School,Sheffield,Teaching Vacancies,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,nhs-5584270,Administrator,Elysium Healthcare,"Barnsley, S71 4FL",NHS Jobs,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,jobg8-21618_20279_62308-153faf593eb64b88272f45adeaa28d87,Customer Service Advisor,EE - Company - Permanent,Doncaster,JobG8,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,jobg8-23643_225574970,Customer Service/Export Co-ordinator,Hays Business Support - Agency - Permanent,Sheffield,JobG8,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,jobg8-23643_225571785,Data Administrator,Hays Business Support - Agency - Temporary,Sheffield,JobG8,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,jobg8-23643_225546545,Executive Assistant,Sue Ross Recruitment Ltd - Agency - Contract,Sheffield,JobG8,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,jobg8-23643_225522912,Operations Administrator,Sue Ross Recruitment Ltd - Agency - Permanent,Sheffield,JobG8,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,jobg8-23643_225558215,Part Time Administrator - 12 Hour Per Week,Office Angels - Agency - Permanent,Sheffield,JobG8,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,jobg8-23643_225516026,Part Time Receptionist/Administrative Assistant,Beyond Talent Solutions Ltd - Agency - Contract,Brinsworth,JobG8,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,teaching-vacancies-permanent-admin-assistant,Permanent Admin Assistant,Wybourn Community Primary & Nursery School,Sheffield,Teaching Vacancies,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,jobg8-23643_225515295,Production Administrator,Austin Banks - Agency - Permanent,Doncaster,JobG8,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,jobg8-23643_225575501,Reception and Customer Service Administrator,Hays Business Support - Agency - Temporary,Brinsworth,JobG8,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,nhs-5586600,Receptionist,Manchester Road Surgery,"Sheffield, S10 5PN",NHS Jobs,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,teaching-vacancies-receptionist-totley-primary-school,Receptionist,Totley Primary School,Sheffield,Teaching Vacancies,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,jobg8-23643_225488492,Receptionist - AM shift - DN1,Ideal Recruit Ltd - Agency - Temporary,Doncaster,JobG8,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,nhs-5554992,Receptionist/Administrator,Tickhill and Colliery Medical Practice,"Doncaster, DN11 9NA, Doncaster, DN11 8JT",NHS Jobs,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,jobg8-107771227,Sales & Marketing Coordinator,Get Recruited (UK) Ltd - Agency - Permanent,Doncaster,JobG8,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,jobg8-23643_225563636,Sales & Operations Coordinator,Major Recruitment - Perm Manager - Agency - Permanent,Sheffield,JobG8,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,jobg8-107870378,Sales Coordinator,Ranson Barnes Recruitment Limited - Agency - Permanent,Sheffield,JobG8,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,teaching-vacancies-send-administrator-aston-academy-sheffield-south-yorkshire,SEND Administrator,Aston Academy,Sheffield,Teaching Vacancies,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
review,jobg8-1807172,Service Desk Analyst,Venn Group - Agency - Permanent,Sheffield,JobG8,review,review,No exact Rotherham workplace matched; local geographic review is required.,fallback,rotherham-service-administrator-jobs
