decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
review,jobg8-1936715,Bookkeeper,IPS Group - Agency - Permanent,Yorkshire,JobG8,review,review,No exact Scarborough workplace matched; local geographic review is required.,fallback,scarborough-service-administrator-jobs
review,jobg8-1869341,Client Accounts Assistant,Property Personnel - Agency - Permanent,Richmond,JobG8,review,review,No exact Scarborough workplace matched; local geographic review is required.,fallback,scarborough-service-administrator-jobs
review,jobg8-1778199,Content & Marketing Executive,IMPRESSION RECRUITMENT LIMITED - Agency - Permanent,Ripon,JobG8,review,review,No exact Scarborough workplace matched; local geographic review is required.,fallback,scarborough-service-administrator-jobs
review,jobg8-1835849,Credit Controller,Headstar - Agency - Permanent,Yorkshire,JobG8,review,review,No exact Scarborough workplace matched; local geographic review is required.,fallback,scarborough-service-administrator-jobs
review,jobg8-1939806,Credit Controller,Michael Page Finance - Agency - Permanent,Yorkshire,JobG8,review,review,No exact Scarborough workplace matched; local geographic review is required.,fallback,scarborough-service-administrator-jobs
review,jobg8-1778940,Finance Administrator,Autohorn Fleet Services Ltd - Agency - Permanent,York,JobG8,review,review,No exact Scarborough workplace matched; local geographic review is required.,fallback,scarborough-service-administrator-jobs
review,jobg8-107798375,Ledger Clerk,Optimum Recruitment Group Limited - Agency - Permanent,Ripon,JobG8,review,review,No exact Scarborough workplace matched; local geographic review is required.,fallback,scarborough-service-administrator-jobs
review,jobg8-107871574,Lifestyle Co-ordinator,Care UK - Company - Permanent,Whitby,JobG8,review,review,No exact Scarborough workplace matched; local geographic review is required.,fallback,scarborough-service-administrator-jobs
review,jobg8-1880492,Marketing Executive,IMPRESSION RECRUITMENT LIMITED - Agency - Permanent,Knaresborough,JobG8,review,review,No exact Scarborough workplace matched; local geographic review is required.,fallback,scarborough-service-administrator-jobs
review,jobg8-1824217,Marketing Manager,Holiday at Home - Agency - Permanent,Yorkshire,JobG8,review,review,No exact Scarborough workplace matched; local geographic review is required.,fallback,scarborough-service-administrator-jobs
review,jobg8-1880493,Marketing Manager,IMPRESSION RECRUITMENT LIMITED - Agency - Permanent,Knaresborough,JobG8,review,review,No exact Scarborough workplace matched; local geographic review is required.,fallback,scarborough-service-administrator-jobs
review,jobg8-1789732,Part Time Payroll Administrator (25 hours),Portfolio Payroll - Agency - Permanent,Yorkshire,JobG8,review,review,No exact Scarborough workplace matched; local geographic review is required.,fallback,scarborough-service-administrator-jobs
review,jobg8-1892503,Payroll Administrator,Portfolio Payroll - Agency - Permanent,Yorkshire,JobG8,review,review,No exact Scarborough workplace matched; local geographic review is required.,fallback,scarborough-service-administrator-jobs
review,jobg8-1908699,Payroll Clerk,Reed - Agency - Permanent,Yorkshire,JobG8,review,review,No exact Scarborough workplace matched; local geographic review is required.,fallback,scarborough-service-administrator-jobs
review,jobg8-1867235,Payroll Coordinator,Reed - Agency - Permanent,Yorkshire,JobG8,review,review,No exact Scarborough workplace matched; local geographic review is required.,fallback,scarborough-service-administrator-jobs
review,jobg8-1848150,Senior Content Creator,Si Recruitment - Agency - Permanent,Yorkshire,JobG8,review,review,No exact Scarborough workplace matched; local geographic review is required.,fallback,scarborough-service-administrator-jobs
review,jobg8-1916296,Temporary Bookkeeper,IPS Group - Agency - Permanent,Yorkshire,JobG8,review,review,No exact Scarborough workplace matched; local geographic review is required.,fallback,scarborough-service-administrator-jobs
