decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,teaching-vacancies-administration-assistant-severndale-specialist-academy-shrewsbury-shropshire,Administration Assistant,Severndale Specialist Academy,Shrewsbury,Teaching Vacancies,include,include,Exact approved Shrewsbury workplace.,exact:shrewsbury,shrewsbury-service-administrator-jobs
review,jobg8-1894730,Accounts & Finance Coordinator,Four Squared - Agency - Permanent,Shropshire,JobG8,review,review,No exact Shrewsbury workplace matched; local geographic review is required.,fallback,shrewsbury-service-administrator-jobs
review,jobg8-1905436,Accounts Assistant,Hays Specialist Recruitment Limited - Agency - Permanent,Shropshire,JobG8,review,review,No exact Shrewsbury workplace matched; local geographic review is required.,fallback,shrewsbury-service-administrator-jobs
review,jobg8-1906558,Bookkeeper,Gleeson Recruitment Group - Agency - Permanent,Shropshire,JobG8,review,review,No exact Shrewsbury workplace matched; local geographic review is required.,fallback,shrewsbury-service-administrator-jobs
review,jobg8-1961524,Claims Handler,"Everywhen, part of the Ardonagh Group - Agency - Permanent",Shropshire,JobG8,review,review,No exact Shrewsbury workplace matched; local geographic review is required.,fallback,shrewsbury-service-administrator-jobs
review,teaching-vacancies-finance-admin-assistant-beech-grove-primary-school,Finance & Admin Assistant,Beech Grove Primary School,Wellington,Teaching Vacancies,review,review,No exact Shrewsbury workplace matched; local geographic review is required.,fallback,shrewsbury-service-administrator-jobs
review,jobg8-108012415,In-House Recruitment Coordinator,Bethphage - Agency - Permanent,Shropshire,JobG8,review,review,No exact Shrewsbury workplace matched; local geographic review is required.,fallback,shrewsbury-service-administrator-jobs
review,nhs-5590172,Patient Services Advisor (Receptionist),Churchmere Medical Group,"Ellesmere, SY12 0DB, Whitchurch, SY13 1FQ",NHS Jobs,review,review,No exact Shrewsbury workplace matched; local geographic review is required.,fallback,shrewsbury-service-administrator-jobs
review,jobg8-1909867,Payroll Assistant,Sellick Partnership - Agency - Permanent,Shropshire,JobG8,review,review,No exact Shrewsbury workplace matched; local geographic review is required.,fallback,shrewsbury-service-administrator-jobs
review,teaching-vacancies-senco-and-safeguarding-admin-assistant-hlta-position,SENCo and Safeguarding Admin Assistant - HLTA position,Beech Grove Primary School,Wellington,Teaching Vacancies,review,review,No exact Shrewsbury workplace matched; local geographic review is required.,fallback,shrewsbury-service-administrator-jobs
review,jobg8-1928348,Service Advisor - Volkswagen Shrewsbury,Group 1 Automotive - Company - Permanent,Shropshire,JobG8,review,review,No exact Shrewsbury workplace matched; local geographic review is required.,fallback,shrewsbury-service-administrator-jobs
