decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,nhs-5580597,Administration Assistant,"Cumbria, Northumberland, Tyne and wear (CNTW) NHS Foundation Trust","Sunderland, SR5 1NB",NHS Jobs,include,include,Exact approved Sunderland workplace.,exact:sunderland,sunderland-service-administrator-jobs
include,nejobs-301377,Business Support Assistant - Children's Social Care,Together for Children - Sunderland,Sunderland,NEJobs,include,include,Exact approved Sunderland workplace.,exact:sunderland,sunderland-service-administrator-jobs
include,nhs-5580794,Receptionist,South Tyneside and Sunderland NHS Foundation Trust,"Sunderland, SR4 7TP",NHS Jobs,include,include,Exact approved Sunderland workplace.,exact:sunderland,sunderland-service-administrator-jobs
review,nejobs-301079,Active Sunderland Weight Management Support Officer,Sunderland City Council,Sunderland City Council,NEJobs,review,review,No exact Sunderland workplace matched; local geographic review is required.,fallback,sunderland-service-administrator-jobs
review,nhs-5307648,Admin Assistant,Birtley Medical Group,"Chester Le Street, DH3 2QT",NHS Jobs,review,review,No exact Sunderland workplace matched; local geographic review is required.,fallback,sunderland-service-administrator-jobs
review,jobg8-23643_225582004,Admin Assistant,Pin Point Recruitment - Agency - Temporary,Tyne And Wear,JobG8,review,review,No exact Sunderland workplace matched; local geographic review is required.,fallback,sunderland-service-administrator-jobs
review,nhs-5583602,Admin Assistant - Care Home,Barchester Healthcare,"Darlington, DL1 1JF",NHS Jobs,review,review,No exact Sunderland workplace matched; local geographic review is required.,fallback,sunderland-service-administrator-jobs
review,nhs-5580407,Administration Assistant,"Cumbria, Northumberland, Tyne and wear (CNTW) NHS Foundation Trust","Jarrow, NE32 3UX",NHS Jobs,review,review,No exact Sunderland workplace matched; local geographic review is required.,fallback,sunderland-service-administrator-jobs
review,nhs-5584416,Administration Assistant,"Cumbria, Northumberland, Tyne and wear (CNTW) NHS Foundation Trust","Ashington, NE63 8BL",NHS Jobs,review,review,No exact Sunderland workplace matched; local geographic review is required.,fallback,sunderland-service-administrator-jobs
review,nejobs-301513,Administration Assistant Level 3,Newcastle City Council,"Sir Charles Parsons School, Westbourne Avenue, Walker, Newcastle upon Tyne, NE6 4ED",NEJobs,review,review,No exact Sunderland workplace matched; local geographic review is required.,fallback,sunderland-service-administrator-jobs
review,jobg8-23643_225427868,Administrative Assistant,Blu Tech consulting - Agency - Contract,County Durham,JobG8,review,review,No exact Sunderland workplace matched; local geographic review is required.,fallback,sunderland-service-administrator-jobs
review,nejobs-301338,Administrative Assistant - Level 1,Newcastle City Council,"Lemington Riverside, Rokeby Street, Newcastle upon Tyne, NE15 8RR",NEJobs,review,review,No exact Sunderland workplace matched; local geographic review is required.,fallback,sunderland-service-administrator-jobs
review,nejobs-301544,Administrator,Age UK County Durham,Age UK County Durham,NEJobs,review,review,No exact Sunderland workplace matched; local geographic review is required.,fallback,sunderland-service-administrator-jobs
review,nhs-5588627,Administrator,Northumbria Healthcare NHS Foundation Trust,"North Shields, NE29 8NH",NHS Jobs,review,review,No exact Sunderland workplace matched; local geographic review is required.,fallback,sunderland-service-administrator-jobs
review,jobg8-23643_225581479,Administrator,The Best Connection - Agency - Temporary,Tyne And Wear,JobG8,review,review,No exact Sunderland workplace matched; local geographic review is required.,fallback,sunderland-service-administrator-jobs
review,jobg8-1788888,Administrator: Data,Norton Rose Fulbright LLP - Agency - Permanent,Tyne And Wear,JobG8,review,review,No exact Sunderland workplace matched; local geographic review is required.,fallback,sunderland-service-administrator-jobs
review,jobg8-107881364,Bid Coordinator,COLEMAN JAMES LTD - Agency - Permanent,Tyne And Wear,JobG8,review,review,No exact Sunderland workplace matched; local geographic review is required.,fallback,sunderland-service-administrator-jobs
review,jobg8-20279_61775-14ed80d091f0fb71e92c86010d5a3182,Call Centre Agent,EE - Company - Permanent,Newcastle upon Tyne,JobG8,review,review,No exact Sunderland workplace matched; local geographic review is required.,fallback,sunderland-service-administrator-jobs
review,jobg8-20279_61775-20fc350b6789c39cd18ccac91ac57148,Call Centre Agent,EE - Company - Permanent,Newcastle upon Tyne,JobG8,review,review,No exact Sunderland workplace matched; local geographic review is required.,fallback,sunderland-service-administrator-jobs
review,jobg8-20279_61775-2d6e64b23b0ce48f6b159ac15e45402e,Call Centre Agent,EE - Company - Permanent,Newcastle upon Tyne,JobG8,review,review,No exact Sunderland workplace matched; local geographic review is required.,fallback,sunderland-service-administrator-jobs
review,jobg8-20279_61775-33210dbc92626a35bffe42114b330ff3,Call Centre Agent,EE - Company - Permanent,Newcastle upon Tyne,JobG8,review,review,No exact Sunderland workplace matched; local geographic review is required.,fallback,sunderland-service-administrator-jobs
review,jobg8-20279_61775-3c79e0d2d8b9dc829f1439ebfbd69827,Call Centre Agent,EE - Company - Permanent,Newcastle upon Tyne,JobG8,review,review,No exact Sunderland workplace matched; local geographic review is required.,fallback,sunderland-service-administrator-jobs
