decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,jobg8-23643_225424866,Administrator,Forrest Recruitment - Agency - Temporary,Warrington,JobG8,include,include,Approved conservative Warrington launch catchment.,warrington,warrington-service-administrator-jobs
include,jobg8-1732411,Administrator,USDAW - Agency - Permanent,Warrington,JobG8,include,include,Approved conservative Warrington launch catchment.,warrington,warrington-service-administrator-jobs
include,nhs-5542085,Appointments Clerk (Higher Level),North Cheshire and Mersey NHS Foundation Trust (WHH),"Warrington, WA5 1QG",NHS Jobs,include,include,Approved conservative Warrington launch catchment.,warrington,warrington-service-administrator-jobs
include,jobg8-1743227,Bilingual Account Coordinator,Michael Page Business Support - Agency - Permanent,Warrington,JobG8,include,include,Approved conservative Warrington launch catchment.,warrington,warrington-service-administrator-jobs
include,jobg8-1733299,Business Support Officer,Hays Specialist Recruitment Limited - Agency - Permanent,Warrington,JobG8,include,include,Approved conservative Warrington launch catchment.,warrington,warrington-service-administrator-jobs
include,jobg8-21618_20279_61698-0e98839ddf36da8e64c34fe5ef0cda20-63789b22995f685322503af42147450a,Call Centre Agent - Uncapped Commission,EE - Company - Permanent,Warrington,JobG8,include,include,Approved conservative Warrington launch catchment.,warrington,warrington-service-administrator-jobs
include,jobg8-21618_20279_61698-22e23270f8ebd14d8abcf367c9b0bdc1,Call Centre Agent - Uncapped Commission,EE - Company - Permanent,Warrington,JobG8,include,include,Approved conservative Warrington launch catchment.,warrington,warrington-service-administrator-jobs
include,jobg8-21618_20279_61698-89740a075c6163b74ea2c52702062e5d,Call Centre Agent - Uncapped Commission,EE - Company - Permanent,Warrington,JobG8,include,include,Approved conservative Warrington launch catchment.,warrington,warrington-service-administrator-jobs
include,jobg8-21618_20279_61698-73862c8b83139033e4e4a8b6efca9a33,Call Centre Operator - Uncapped Commission,EE - Company - Permanent,Warrington,JobG8,include,include,Approved conservative Warrington launch catchment.,warrington,warrington-service-administrator-jobs
include,jobg8-21618_20279_61698-e22242ba84bf98abd1c8488521625d74,Call Centre Operator - Uncapped Commission,EE - Company - Permanent,Warrington,JobG8,include,include,Approved conservative Warrington launch catchment.,warrington,warrington-service-administrator-jobs
include,jobg8-21618_20279_61698-febc62af56f2024bba2b7d7e4822beac-63789b22995f685322503af42147450a,Call Centre Operator - Uncapped Commission,EE - Company - Permanent,Warrington,JobG8,include,include,Approved conservative Warrington launch catchment.,warrington,warrington-service-administrator-jobs
include,jobg8-21618_20279_61698-637fc511e4eb560482b6812cdcd0d531,Contact Centre Agent - Uncapped Commission,EE - Company - Permanent,Warrington,JobG8,include,include,Approved conservative Warrington launch catchment.,warrington,warrington-service-administrator-jobs
include,jobg8-21618_20279_61698-153faf593eb64b88272f45adeaa28d87,Customer Service Advisor - Uncapped Commission,EE - Company - Permanent,Warrington,JobG8,include,include,Approved conservative Warrington launch catchment.,warrington,warrington-service-administrator-jobs
include,jobg8-21618_20279_61698-be0da432b3a040b9318b55b27aa49c2a-63789b22995f685322503af42147450a,Customer Service Advisor - Uncapped Commission,EE - Company - Permanent,Warrington,JobG8,include,include,Approved conservative Warrington launch catchment.,warrington,warrington-service-administrator-jobs
include,jobg8-21618_20279_61698-ecde51dab00e54d27ce575427a4ba514,Customer Service Advisor - Uncapped Commission,EE - Company - Permanent,Warrington,JobG8,include,include,Approved conservative Warrington launch catchment.,warrington,warrington-service-administrator-jobs
include,nhs-5543509,Medical Receptionist,High Street Surgery,"Warrington, WA3 3GS",NHS Jobs,include,include,Approved conservative Warrington launch catchment.,warrington,warrington-service-administrator-jobs
include,nhs-5503663,Workforce Administrator,Elysium Healthcare,"Warrington, WA2 8TR",NHS Jobs,include,include,Approved conservative Warrington launch catchment.,warrington,warrington-service-administrator-jobs
review,jobg8-21618_20279_61698-97868bcab5ea2ebd43f55cf59028e39c,Call Centre Agent - Uncapped Commission,EE - Company - Permanent,Widnes,JobG8,review,review,No approved Warrington catchment rule matched; local review required.,fallback,warrington-service-administrator-jobs
review,jobg8-21618_20279_61698-acae1f6c5bc74101c4f7e20ffb81ad67,Call Centre Agent - Uncapped Commission,EE - Company - Permanent,Lymm,JobG8,review,review,No approved Warrington catchment rule matched; local review required.,fallback,warrington-service-administrator-jobs
review,jobg8-21618_20279_61698-2848878a98147df0051e7d135d2d5210,Call Centre Operator - Uncapped Commission,EE - Company - Permanent,Widnes,JobG8,review,review,No approved Warrington catchment rule matched; local review required.,fallback,warrington-service-administrator-jobs
review,jobg8-21618_20279_61698-bebd6b72712070dd058ae6bc358e899c,Call Centre Operator - Uncapped Commission,EE - Company - Permanent,Lymm,JobG8,review,review,No approved Warrington catchment rule matched; local review required.,fallback,warrington-service-administrator-jobs
review,jobg8-21618_20279_61698-497d591f62e546863483312dd53dfef9,Contact Centre Agent - Uncapped Commission,EE - Company - Permanent,Lymm,JobG8,review,review,No approved Warrington catchment rule matched; local review required.,fallback,warrington-service-administrator-jobs
review,jobg8-21618_20279_61698-e821632b595e066f84bc5bc2227491aa,Contact Centre Agent - Uncapped Commission,EE - Company - Permanent,Widnes,JobG8,review,review,No approved Warrington catchment rule matched; local review required.,fallback,warrington-service-administrator-jobs
review,jobg8-21618_20279_61698-74576f7712f4d2665711d742594a5e6e,Customer Service Advisor - Uncapped Commission,EE - Company - Permanent,Widnes,JobG8,review,review,No approved Warrington catchment rule matched; local review required.,fallback,warrington-service-administrator-jobs
review,jobg8-21618_20279_61698-872ae37268a541755e97df9c9ced56fa,Customer Service Advisor - Uncapped Commission,EE - Company - Permanent,Lymm,JobG8,review,review,No approved Warrington catchment rule matched; local review required.,fallback,warrington-service-administrator-jobs
exclude,jobg8-21618_20279_61698-f95fb0abe95ec1d699d270ffff941d6f,Call Centre Agent - Uncapped Commission,EE - Company - Permanent,Runcorn,JobG8,exclude,exclude,Separate employment market.,runcorn,warrington-service-administrator-jobs
exclude,jobg8-21618_20279_61698-00a9a6350da241ecc876a19e242c605c,Call Centre Operator - Uncapped Commission,EE - Company - Permanent,Runcorn,JobG8,exclude,exclude,Separate employment market.,runcorn,warrington-service-administrator-jobs
