decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
review,jobg8-1936737,Accounts Payable,SF Partners - Agency - Permanent,Leicestershire,JobG8,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,jobg8-1908964,Accounts Payable Co-ordinator,Mixxos Group - Agency - Permanent,Leicestershire,JobG8,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,jobg8-1885227,BMW Service Advisor,Sytner Group - Agency - Permanent,Leicestershire,JobG8,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,jobg8-1907172,Cash Allocation/Credit Control,Gleeson Recruitment Group - Agency - Permanent,Leicestershire,JobG8,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,jobg8-1906598,Casualty Claims Handler,Adjusting Appointments Limited - Agency - Permanent,Leicestershire,JobG8,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,jobg8-1869342,Commercial Property Secretary,Allstaff Recruitment - Agency - Permanent,Leicester,JobG8,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,jobg8-1914045,Commercial Property Secretary,Macildowie Recruitment and Retention - Agency - Permanent,Leicester,JobG8,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,jobg8-1956515,Credit Control,Reed - Agency - Permanent,Leicestershire,JobG8,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,jobg8-1907829,Credit Control - interim,Gleeson Recruitment Group - Agency - Permanent,Leicestershire,JobG8,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,jobg8-1882271,Depot Coordinator,Whistl - Agency - Permanent,Leicestershire,JobG8,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,jobg8-1909307,Finance Assistant,Macildowie Recruitment and Retention - Agency - Permanent,Leicester,JobG8,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,jobg8-1858417,Finance Assistant,Trinity House Group - Agency - Permanent,Leicestershire,JobG8,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,jobg8-1873852,Finance Support Officer - Credit Control,SF Partners - Agency - Permanent,Leicestershire,JobG8,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,nhs-5597537,Mental Health Act Administrator,InMind,"Leicester, LE36QR",NHS Jobs,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,jobg8-1936448,Part Time Accounts Assistant,Macildowie Recruitment and Retention - Agency - Permanent,Leicester,JobG8,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,jobg8-1898269,Payroll Coordinator,Portfolio Payroll - Agency - Permanent,Leicestershire,JobG8,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,jobg8-1938574,Payroll Officer,Counted Recruitment - Agency - Permanent,Coalville,JobG8,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,jobg8-23643_225628775,Purchasing Assistant,Seismic Recruitment - Agency - Contract,Leicestershire,JobG8,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,teaching-vacancies-receptionist-maternity-cover-manorfield-church-of-england-primary-school,Receptionist - Maternity Cover,Manorfield Church of England Primary School,Leicester,Teaching Vacancies,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,teaching-vacancies-safeguarding-and-attendance-administrator-tudor-grange-samworth-academy-a-church-of-england-school,Safeguarding and Attendance Administrator,"Tudor Grange Samworth Academy, A church of England School",Leicester,Teaching Vacancies,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,jobg8-1870863,School Finance Assistant,Hays Specialist Recruitment Limited - Agency - Permanent,Leicestershire,JobG8,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,teaching-vacancies-senior-administrator-exams-data,Senior Administrator - Exams & Data,Bosworth Academy,Leicester,Teaching Vacancies,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
review,jobg8-108004550,Technical Hub Coordinator,PermaRock - Agency - Permanent,Loughborough,JobG8,review,review,No exact Wigston workplace matched; local geographic review is required.,fallback,wigston-service-administrator-jobs
